miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	100561	8804.447427	N
hsa-let-7a-2	101001	8842.970880	Y
hsa-let-7a-3	101377	8875.890920	N
hsa-let-7b	153182	13411.589640	N
hsa-let-7c	83601	7319.543455	Y
hsa-let-7d	2430	212.754520	N
hsa-let-7e	7046	616.900554	N
hsa-let-7f-1	39981	3500.468498	N
hsa-let-7f-2	40395	3536.715564	N
hsa-let-7g	2527	221.247190	N
hsa-let-7i	3287	287.787698	N
hsa-mir-1-1	24	2.101279	N
hsa-mir-1-2	21	1.838619	N
hsa-mir-100	96317	8432.871221	Y
hsa-mir-101-1	52549	4600.838375	N
hsa-mir-101-2	53049	4644.615026	N
hsa-mir-103a-1	95323	8345.843241	Y
hsa-mir-103a-2	95403	8352.847505	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	454	39.749198	N
hsa-mir-105-2	423	37.035046	N
hsa-mir-106a	98	8.580223	Y
hsa-mir-106b	2450	214.505586	N
hsa-mir-107	558	48.854742	Y
hsa-mir-10a	990	86.677767	N
hsa-mir-10b	60589	5304.766909	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	22	1.926173	N
hsa-mir-1180	287	25.127797	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.262660	N
hsa-mir-1185-2	2	0.175107	N
hsa-mir-1193	1	0.087553	N
hsa-mir-1197	3	0.262660	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	63	5.515858	N
hsa-mir-1225	1	0.087553	N
hsa-mir-1226	9	0.787980	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	0.787980	N
hsa-mir-1229	1	0.087553	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	243	21.275452	N
hsa-mir-124-2	213	18.648853	N
hsa-mir-124-3	225	19.699493	N
hsa-mir-1243	4	0.350213	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
