miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	230581	19242.972815	N
hsa-let-7a-2	230889	19268.676735	Y
hsa-let-7a-3	231717	19337.776885	N
hsa-let-7b	223751	18672.980039	N
hsa-let-7c	255993	21363.713142	Y
hsa-let-7d	3715	310.032674	N
hsa-let-7e	39421	3289.851425	N
hsa-let-7f-1	117168	9778.171830	N
hsa-let-7f-2	119948	10010.174747	N
hsa-let-7g	12199	1018.058840	N
hsa-let-7i	6525	544.539219	N
hsa-mir-1-1	15	1.251814	N
hsa-mir-1-2	16	1.335269	N
hsa-mir-100	165776	13834.717784	Y
hsa-mir-101-1	73085	6099.256522	N
hsa-mir-101-2	75209	6276.513427	N
hsa-mir-103a-1	95393	7960.954744	Y
hsa-mir-103a-2	95599	7978.146327	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	85	7.093614	N
hsa-mir-105-2	100	8.345429	N
hsa-mir-106a	217	18.109580	Y
hsa-mir-106b	3340	278.737317	N
hsa-mir-107	573	47.819306	Y
hsa-mir-10a	792	66.095795	N
hsa-mir-10b	87442	7297.409712	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	11	0.917997	N
hsa-mir-1180	543	45.315678	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.083454	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.166909	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	13	1.084906	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	21	1.752540	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	0.917997	N
hsa-mir-1229	4	0.333817	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	76	6.342526	N
hsa-mir-124-2	63	5.257620	N
hsa-mir-124-3	84	7.010160	N
hsa-mir-1243	6	0.500726	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	25	2.086357	N
hsa-mir-1248	8	0.667634	N
hsa-mir-1249	77	6.425980	N
hsa-mir-1250	9	0.751089	N
hsa-mir-1251	123	10.264877	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.500726	N
hsa-mir-1254-2	2	0.166909	N
hsa-mir-1255a	4	0.333817	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.083454	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.166909	N
hsa-mir-125a	11008	918.664785	N
hsa-mir-125b-1	33440	2790.711338	N
hsa-mir-125b-2	34689	2894.945741	N
hsa-mir-126	6189	516.498579	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	23	1.919449	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.083454	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	32	2.670537	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6	0.500726	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1862	155.391881	N
hsa-mir-1270	3	0.250363	N
hsa-mir-1271	103	8.595792	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.083454	N
hsa-mir-1275	1	0.083454	N
hsa-mir-1276	2	0.166909	N
hsa-mir-1277	7	0.584180	N
hsa-mir-1278	1	0.083454	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4775	398.494218	N
hsa-mir-128-2	2823	235.591451	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.083454	N
hsa-mir-1285-1	1	0.083454	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	65	5.424529	N
hsa-mir-1288	1	0.083454	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	710	59.252543	N
hsa-mir-129-2	852	71.103052	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	10	0.834543	N
hsa-mir-1292	5	0.417271	N
hsa-mir-1293	1	0.083454	N
hsa-mir-1294	2	0.166909	N
hsa-mir-1295a	11	0.917997	N
hsa-mir-1295b	1	0.083454	N
hsa-mir-1296	355	29.626272	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	7	0.584180	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	110	9.179972	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.166909	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	223	18.610306	N
hsa-mir-1307	4394	366.698134	N
hsa-mir-130a	689	57.500003	N
hsa-mir-130b	184	15.355589	N
hsa-mir-132	1401	116.919455	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.083454	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	15	1.251814	N
hsa-mir-133a-2	12	1.001451	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	465	38.806243	N
