miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	46477	8386.563238	N
hsa-let-7a-2	46176	8332.249157	Y
hsa-let-7a-3	46589	8406.773128	N
hsa-let-7b	43186	7792.717258	N
hsa-let-7c	57397	10357.027565	Y
hsa-let-7d	2174	392.288411	N
hsa-let-7e	14417	2601.482071	N
hsa-let-7f-1	25022	4515.106081	N
hsa-let-7f-2	25511	4603.343907	N
hsa-let-7g	3376	609.183843	N
hsa-let-7i	1665	300.441676	N
hsa-mir-1-1	29	5.232918	N
hsa-mir-1-2	27	4.872027	N
hsa-mir-100	139183	25114.939241	Y
hsa-mir-101-1	29424	5309.426958	N
hsa-mir-101-2	29587	5338.839566	N
hsa-mir-103a-1	84597	15265.143839	Y
hsa-mir-103a-2	84052	15166.801068	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	297	53.592299	N
hsa-mir-105-2	307	55.396754	N
hsa-mir-106a	62	11.187618	Y
hsa-mir-106b	1640	295.930540	N
hsa-mir-107	433	78.132880	Y
hsa-mir-10a	995	179.543224	N
hsa-mir-10b	48643	8777.408085	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.360891	N
hsa-mir-1180	394	71.095508	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	1.624009	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	2	0.360891	N
hsa-mir-1197	1	0.180445	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7	1.263118	N
hsa-mir-1224	3	0.541336	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	18	3.248018	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	26	4.691582	N
hsa-mir-1229	3	0.541336	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.180445	N
hsa-mir-124-1	41	7.398264	N
hsa-mir-124-2	35	6.315591	N
hsa-mir-124-3	37	6.676482	N
hsa-mir-1243	7	1.263118	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.360891	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	94	16.961872	N
hsa-mir-1248	2	0.360891	N
hsa-mir-1249	31	5.593809	N
hsa-mir-1250	1	0.180445	N
hsa-mir-1251	40	7.217818	N
hsa-mir-1252	1	0.180445	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.180445	N
hsa-mir-1254-2	2	0.360891	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.360891	N
hsa-mir-125a	2874	518.600227	N
hsa-mir-125b-1	9217	1663.165724	N
hsa-mir-125b-2	9752	1759.704041	N
hsa-mir-126	4854	875.882220	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	70	12.631182	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	11	1.984900	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7	1.263118	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	19119	3449.936582	N
hsa-mir-1270	3	0.541336	N
hsa-mir-1271	36	6.496036	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.360891	N
hsa-mir-1276	2	0.360891	N
hsa-mir-1277	4	0.721782	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2390	431.264628	N
hsa-mir-128-2	1539	277.705549	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.721782	N
hsa-mir-1285-1	1	0.180445	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	45	8.120045	N
hsa-mir-1288	3	0.541336	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	733	132.266516	N
hsa-mir-129-2	772	139.303888	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	2	0.360891	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.721782	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	77	13.894300	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	3	0.541336	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	106	19.127218	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	8	1.443564	N
hsa-mir-1306	74	13.352963	N
hsa-mir-1307	9084	1639.166479	N
hsa-mir-130a	436	78.674217	N
hsa-mir-130b	106	19.127218	N
hsa-mir-132	1554	280.412231	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	38	6.856927	Y
hsa-mir-133a-2	29	5.232918	N
hsa-mir-133b	4	0.721782	Y
hsa-mir-134	6238	1125.618725	N
hsa-mir-1343	3	0.541336	N
hsa-mir-135a-1	125	22.555681	N
hsa-mir-135a-2	65	11.728954	N
hsa-mir-135b	10	1.804455	N
hsa-mir-136	934	168.536051	N
hsa-mir-137	29	5.232918	N
hsa-mir-138-1	65	11.728954	N
hsa-mir-138-2	46	8.300491	N
hsa-mir-139	898	162.040015	N
hsa-mir-140	9239	1667.135524	N
hsa-mir-141	51	9.202718	N
hsa-mir-142	1789	322.816912	N
hsa-mir-143	97726	17634.212169	N
hsa-mir-144	1281	231.150623	N
hsa-mir-145	1169	210.940733	N
hsa-mir-1468	41	7.398264	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	19	3.428464	N
hsa-mir-146b	1386	250.097395	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	12383	2234.456023	N
hsa-mir-148b	568	102.493016	N
hsa-mir-149	665	119.996225	N
hsa-mir-150	238	42.946017	N
hsa-mir-151a	6724	1213.315214	N
hsa-mir-151b	7	1.263118	N
hsa-mir-152	1896	342.124576	N
hsa-mir-153-1	50	9.022273	N
hsa-mir-153-2	670	120.898452	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.180445	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	116	20.931672	N
hsa-mir-155	139	25.081918	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1191	214.910532	N
hsa-mir-15b	671	121.078898	N
hsa-mir-16-1	744	134.251416	N
hsa-mir-16-2	755	136.236316	N
hsa-mir-17	2183	393.912420	Y
hsa-mir-181a-1	11284	2036.146472	N
hsa-mir-181a-2	24751	4466.205364	N
hsa-mir-181b-1	1858	335.267648	N
hsa-mir-181b-2	1830	330.215176	N
hsa-mir-181c	3016	544.223481	N
hsa-mir-181d	357	64.419026	N
hsa-mir-182	18446	3328.496794	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	8464	1527.290299	N
hsa-mir-184	86	15.518309	N
hsa-mir-185	658	118.733107	N
hsa-mir-186	1253	226.098150	N
hsa-mir-187	25	4.511136	N
hsa-mir-188	10	1.804455	N
hsa-mir-18a	21	3.789354	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	1	0.180445	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	42	7.578709	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	3108	560.824462	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1807	326.064930	N
hsa-mir-193a	830	149.769725	N
hsa-mir-193b	207	37.352208	N
