miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	141190	11522.000909	N
hsa-let-7a-2	141006	11506.985341	Y
hsa-let-7a-3	143401	11702.432555	N
hsa-let-7b	196393	16026.916386	N
hsa-let-7c	109231	8913.943490	Y
hsa-let-7d	6492	529.788440	N
hsa-let-7e	24153	1971.038232	N
hsa-let-7f-1	48159	3930.080330	N
hsa-let-7f-2	48533	3960.601106	N
hsa-let-7g	8723	711.852213	N
hsa-let-7i	4622	377.184561	N
hsa-mir-1-1	12	0.979276	N
hsa-mir-1-2	15	1.224095	N
hsa-mir-100	163324	13328.275916	Y
hsa-mir-101-1	70314	5738.069070	N
hsa-mir-101-2	71957	5872.148307	N
hsa-mir-103a-1	212912	17374.971723	Y
hsa-mir-103a-2	213050	17386.233400	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	498	40.639964	N
hsa-mir-105-2	531	43.332973	N
hsa-mir-106a	113	9.221518	Y
hsa-mir-106b	3476	283.663681	N
hsa-mir-107	841	68.630942	Y
hsa-mir-10a	253	20.646407	N
hsa-mir-10b	12653	1032.565178	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	24	1.958552	N
hsa-mir-1180	729	59.491031	N
hsa-mir-1181	3	0.244819	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.163213	N
hsa-mir-1185-2	2	0.163213	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.081606	N
hsa-mir-1224	56	4.569956	N
hsa-mir-1225	1	0.081606	N
hsa-mir-1226	38	3.101041	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.163213	N
hsa-mir-1229	16	1.305702	N
