miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	24925	5702.738710	N
hsa-let-7a-2	24774	5668.190524	Y
hsa-let-7a-3	24853	5686.265403	N
hsa-let-7b	7917	1811.377427	N
hsa-let-7c	7301	1670.439130	Y
hsa-let-7d	509	116.457132	N
hsa-let-7e	780	178.460830	N
hsa-let-7f-1	4612	1055.206858	N
hsa-let-7f-2	4727	1081.518391	N
hsa-let-7g	1337	305.900167	N
hsa-let-7i	396	90.603191	N
hsa-mir-1-1	5	1.143980	N
hsa-mir-1-2	7	1.601572	N
hsa-mir-100	76365	17472.001669	N
hsa-mir-101-1	61711	14119.226020	N
hsa-mir-101-2	62179	14226.302518	N
hsa-mir-103a-1	72870	16672.359872	Y
hsa-mir-103a-2	72833	16663.894423	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	753	172.283340	N
hsa-mir-105-2	785	179.604810	N
hsa-mir-106a	16	3.660735	Y
hsa-mir-106b	3108	711.097770	N
hsa-mir-107	926	211.865037	Y
hsa-mir-10a	24674	5645.310930	N
hsa-mir-10b	63753	14586.427322	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	79	18.074879	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	187255	42843.183037	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.372776	N
hsa-mir-1227	1	0.228796	N
hsa-mir-1228	13	2.974347	N
hsa-mir-1229	4	0.915184	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.686388	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2	0.457592	N
hsa-mir-1248	4	0.915184	N
hsa-mir-1249	10	2.287959	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.457592	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.457592	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.457592	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	17	3.889531	N
hsa-mir-125a	427	97.695865	N
hsa-mir-125b-1	2018	461.710199	N
hsa-mir-125b-2	2237	511.816509	N
hsa-mir-126	23426	5359.773602	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	1.601572	N
hsa-mir-1263	1	0.228796	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	64	14.642940	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	17394	3979.676515	N
hsa-mir-1269b	4	0.915184	N
hsa-mir-127	516	118.058703	N
hsa-mir-1270	9	2.059163	N
hsa-mir-1271	9	2.059163	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	5	1.143980	N
hsa-mir-1277	12	2.745551	N
hsa-mir-1278	1	0.228796	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1951	446.380872	N
hsa-mir-128-2	1074	245.726835	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.228796	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	28	6.406286	N
hsa-mir-1288	1	0.228796	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.457592	N
hsa-mir-129-2	1	0.228796	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	3	0.686388	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.228796	N
hsa-mir-1295a	7	1.601572	N
hsa-mir-1295b	230	52.623065	N
hsa-mir-1296	9	2.059163	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	9	2.059163	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	35	8.007858	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.228796	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	79	18.074879	N
hsa-mir-1307	9684	2215.659846	N
