miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	113993	12864.373305	N
hsa-let-7a-2	113202	12775.107128	Y
hsa-let-7a-3	114613	12934.341736	N
hsa-let-7b	124412	14040.181516	N
hsa-let-7c	12011	1355.469088	Y
hsa-let-7d	9231	1041.739668	N
hsa-let-7e	33424	3771.975589	N
hsa-let-7f-1	70109	7911.962559	N
hsa-let-7f-2	71104	8024.250607	N
hsa-let-7g	7155	807.458274	N
hsa-let-7i	2832	319.597740	N
hsa-mir-1-1	59	6.658286	N
hsa-mir-1-2	74	8.351071	N
hsa-mir-100	33209	3747.712343	N
hsa-mir-101-1	31593	3565.343011	N
hsa-mir-101-2	31855	3594.910316	N
hsa-mir-103a-1	245189	27670.144888	Y
hsa-mir-103a-2	245666	27723.975439	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	36	4.062683	Y
hsa-mir-106b	5669	639.759742	N
hsa-mir-107	1143	128.990190	Y
hsa-mir-10a	149846	16910.467153	N
hsa-mir-10b	263340	29718.527155	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.225705	N
hsa-mir-1180	201	22.683314	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.451409	N
hsa-mir-1185-2	2	0.225705	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.112852	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	29140	3288.516296	N
hsa-mir-1224	5	0.564262	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	18	2.031342	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	14	1.579932	N
hsa-mir-1229	7	0.789966	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.112852	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.112852	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	13	1.467080	N
hsa-mir-1245b	1	0.112852	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	104	11.736640	N
hsa-mir-1248	12	1.354228	N
hsa-mir-1249	8	0.902818	N
hsa-mir-1250	2	0.225705	N
hsa-mir-1251	70	7.899662	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.112852	N
hsa-mir-1254-2	1	0.112852	N
hsa-mir-1255a	2	0.225705	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.112852	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.451409	N
hsa-mir-125a	9299	1049.413625	N
hsa-mir-125b-1	2183	246.356591	N
hsa-mir-125b-2	2263	255.384776	N
hsa-mir-126	35920	4053.654953	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.451409	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	80	9.028185	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11	1.241375	N
hsa-mir-1269b	3	0.338557	N
hsa-mir-127	9197	1037.902689	N
hsa-mir-1270	24	2.708455	N
hsa-mir-1271	18	2.031342	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	6	0.677114	N
hsa-mir-1276	5	0.564262	N
hsa-mir-1277	27	3.047012	N
hsa-mir-1278	0	0.000000	N
