miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	124631	17872.686916	N
hsa-let-7a-2	124247	17817.619463	Y
hsa-let-7a-3	123967	17777.466111	N
hsa-let-7b	114136	16367.653263	N
hsa-let-7c	37963	5444.077424	Y
hsa-let-7d	2965	425.195310	N
hsa-let-7e	2743	393.359439	N
hsa-let-7f-1	87933	12610.016598	N
hsa-let-7f-2	88721	12723.019601	N
hsa-let-7g	6022	863.583864	N
hsa-let-7i	1571	225.288982	N
hsa-mir-1-1	5	0.717024	N
hsa-mir-1-2	10	1.434048	N
hsa-mir-100	142364	20415.684702	Y
hsa-mir-101-1	67009	9609.414011	N
hsa-mir-101-2	68224	9783.650875	N
hsa-mir-103a-1	52773	7567.902902	Y
hsa-mir-103a-2	52793	7570.770999	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.143405	N
hsa-mir-106a	24	3.441716	Y
hsa-mir-106b	2616	375.147026	N
hsa-mir-107	591	84.752252	Y
hsa-mir-10a	40206	5765.734449	N
hsa-mir-10b	167725	24052.574504	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.286810	N
hsa-mir-1180	157	22.514558	N
hsa-mir-1181	1	0.143405	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	71428	10243.119938	N
hsa-mir-1224	1	0.143405	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.286810	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	1.290643	N
hsa-mir-1229	1	0.143405	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	0.573619	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	2	0.286810	N
hsa-mir-1250	1	0.143405	N
hsa-mir-1251	22	3.154906	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.430214	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	15	2.151072	N
hsa-mir-125a	495	70.985389	N
hsa-mir-125b-1	2942	421.896999	N
hsa-mir-125b-2	3131	449.000511	N
hsa-mir-126	11207	1607.137889	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.286810	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	47	6.740027	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	19	2.724692	N
hsa-mir-1269b	7809	1119.848289	N
hsa-mir-127	1275	182.841154	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	1	0.143405	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.286810	N
hsa-mir-1276	2	0.286810	N
hsa-mir-1277	3	0.430214	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1473	211.235309	N
hsa-mir-128-2	1057	151.578901	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	3	0.430214	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	133	19.072842	N
hsa-mir-1288	12	1.720858	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	2	0.286810	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	291	41.730804	N
hsa-mir-1296	11	1.577453	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	39	5.592788	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	8	1.147239	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	73	10.468552	N
hsa-mir-1307	17155	2460.109796	N
hsa-mir-130a	197	28.250751	N
hsa-mir-130b	90	12.906434	N
hsa-mir-132	148	21.223914	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	7	1.003834	Y
hsa-mir-133a-2	3	0.430214	Y
hsa-mir-133b	2	0.286810	Y
hsa-mir-134	750	107.553620	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	50	7.170241	N
hsa-mir-135a-2	84	12.046005	N
hsa-mir-135b	1	0.143405	N
hsa-mir-136	49	7.026836	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	561	80.450108	N
hsa-mir-140	5449	781.412899	N
hsa-mir-141	11	1.577453	N
hsa-mir-142	1448	207.650189	N
hsa-mir-143	220739	31655.037969	N
hsa-mir-144	525	75.287534	N
hsa-mir-145	1470	210.805095	N
hsa-mir-1468	137	19.646461	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	86	12.332815	N
hsa-mir-146b	10550	1512.920918	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	1105946	158597.994111	N
hsa-mir-148b	1987	284.945390	N
hsa-mir-149	22	3.154906	N
hsa-mir-150	523	75.000724	N
hsa-mir-151a	14197	2035.918320	N
hsa-mir-151b	9	1.290643	N
hsa-mir-152	5715	819.558583	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	5	0.717024	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	3	0.430214	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	15	2.151072	N
hsa-mir-155	286	41.013780	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	466	66.826649	N
hsa-mir-15b	425	60.947051	N
hsa-mir-16-1	314	45.029115	N
hsa-mir-16-2	335	48.040617	N
hsa-mir-17	4843	694.509574	Y
hsa-mir-181a-1	1136	162.907883	N
hsa-mir-181a-2	2961	424.621691	N
hsa-mir-181b-1	282	40.440161	N
hsa-mir-181b-2	248	35.564397	N
hsa-mir-181c	33	4.732359	N
hsa-mir-181d	12	1.720858	N
hsa-mir-182	10682	1531.850355	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	5595	802.350004	N
hsa-mir-184	8	1.147239	N
hsa-mir-185	810	116.157909	N
hsa-mir-186	741	106.262976	N
hsa-mir-187	1	0.143405	N
hsa-mir-188	11	1.577453	N
hsa-mir-18a	51	7.313646	Y
hsa-mir-18b	2	0.286810	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	118	16.921770	N
hsa-mir-190b	4	0.573619	N
hsa-mir-191	2144	307.459948	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	1	0.143405	N
hsa-mir-192	522840	74977.779422	Y
hsa-mir-193a	4601	659.805606	N
hsa-mir-193b	453	64.962386	N
hsa-mir-194-1	136792	19616.633010	N
hsa-mir-194-2	144234	20683.851727	N
hsa-mir-195	124	17.782198	N
hsa-mir-196a-1	2	0.286810	N
hsa-mir-196a-2	2	0.286810	N
hsa-mir-196b	1127	161.617239	N
hsa-mir-197	424	60.803646	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	8	1.147239	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	607	87.046730	Y
hsa-mir-199a-2	1071	153.586569	Y
hsa-mir-199b	1227	175.957722	Y
hsa-mir-19a	148	21.223914	N
hsa-mir-19b-1	322	46.176354	N
hsa-mir-19b-2	275	39.436327	N
hsa-mir-200a	552	79.159464	N
hsa-mir-200b	441	63.241528	N
hsa-mir-200c	228	32.696300	N
hsa-mir-202	1	0.143405	N
hsa-mir-203a	11687	1675.972206	N
hsa-mir-203b	1	0.143405	N
hsa-mir-204	43	6.166408	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	6	0.860429	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1625	233.032843	N
hsa-mir-20b	18	2.581287	N
hsa-mir-21	606150	86924.835507	N
hsa-mir-210	477	68.404102	N
hsa-mir-211	17	2.437882	N
hsa-mir-2110	12	1.720858	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.143405	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	7	1.003834	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	5	0.717024	N
hsa-mir-214	13	1.864263	N
hsa-mir-215	2003	287.239867	Y
hsa-mir-216a	56	8.030670	N
hsa-mir-216b	36	5.162574	N
hsa-mir-217	2426	347.900109	N
hsa-mir-218-1	32	4.588954	N
hsa-mir-218-2	29	4.158740	N
hsa-mir-219a-1	34	4.875764	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	1	0.143405	N
hsa-mir-22	1836300	263334.282673	N
hsa-mir-221	281	40.296756	N
hsa-mir-222	61	8.747694	N
hsa-mir-223	231	33.126515	N
hsa-mir-224	582	83.461609	N
hsa-mir-2276	2	0.286810	N
hsa-mir-2277	6	0.860429	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	106	15.200912	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	3074	440.826436	Y
hsa-mir-23b	7088	1016.453409	Y
hsa-mir-23c	1	0.143405	N
hsa-mir-24-1	3072	440.539627	N
hsa-mir-24-2	2975	426.629358	N
hsa-mir-2467	1	0.143405	N
hsa-mir-25	54445	7807.675772	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	9982	1431.466977	N
hsa-mir-26a-2	9941	1425.587379	N
hsa-mir-26b	10481	1503.025985	N
hsa-mir-27a	1253	179.686247	Y
hsa-mir-27b	11247	1612.874082	Y
hsa-mir-28	20358	2919.435455	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	11	1.577453	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	3	0.430214	N
hsa-mir-29a	14941	2142.611511	N
hsa-mir-29b-1	266	38.145684	N
hsa-mir-29b-2	398	57.075121	N
hsa-mir-29c	9195	1318.607379	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	20	2.868097	N
hsa-mir-301b	4	0.573619	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	0	0.000000	N
hsa-mir-3065	1415	202.917829	N
hsa-mir-3074	12	1.720858	N
hsa-mir-30a	279128	40028.302377	Y
hsa-mir-30b	1740	249.524398	Y
hsa-mir-30c-1	1463	209.801261	Y
hsa-mir-30c-2	2413	346.035846	Y
hsa-mir-30d	98563	14134.409902	N
hsa-mir-30e	118220	16953.318574	Y
hsa-mir-31	0	0.000000	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	1	0.143405	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	20	2.868097	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	3	0.430214	N
hsa-mir-3130-1	19	2.724692	N
hsa-mir-3130-2	19	2.724692	N
hsa-mir-3131	6	0.860429	N
hsa-mir-3132	2	0.286810	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
