miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	118185	16969.814450	N
hsa-let-7a-2	117792	16913.384809	Y
hsa-let-7a-3	118548	17021.936484	N
hsa-let-7b	92063	13219.038183	N
hsa-let-7c	38018	5458.885694	Y
hsa-let-7d	3168	454.883210	N
hsa-let-7e	9848	1414.043514	N
hsa-let-7f-1	84238	12095.470911	N
hsa-let-7f-2	86009	12349.763261	N
hsa-let-7g	10212	1466.309135	N
hsa-let-7i	2693	386.679446	N
hsa-mir-1-1	48	6.892170	N
hsa-mir-1-2	63	9.045973	N
hsa-mir-100	78041	11205.663066	Y
hsa-mir-101-1	120628	17320.597178	N
hsa-mir-101-2	121546	17452.409926	N
hsa-mir-103a-1	56473	8108.781414	Y
hsa-mir-103a-2	56314	8085.951101	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	40	5.743475	Y
hsa-mir-106b	2054	294.927435	N
hsa-mir-107	608	87.300818	Y
hsa-mir-10a	308035	44229.782071	N
hsa-mir-10b	104837	15053.216884	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.287174	N
hsa-mir-1180	36	5.169127	N
hsa-mir-1181	1	0.143587	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.143587	N
hsa-mir-1185-2	2	0.287174	N
hsa-mir-1193	1	0.143587	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	169091	24279.247748	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.143587	N
hsa-mir-1226	2	0.287174	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	1.435869	N
hsa-mir-1229	2	0.287174	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.143587	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.292282	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	150	21.538031	N
hsa-mir-1248	13	1.866629	N
hsa-mir-1249	7	1.005108	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.143587	N
hsa-mir-1255a	3	0.430761	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	3	0.430761	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	44	6.317822	N
hsa-mir-125a	5202	746.938907	N
hsa-mir-125b-1	4238	608.521163	N
hsa-mir-125b-2	4406	632.643757	N
hsa-mir-126	53692	7709.466323	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.717934	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.861521	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	214	30.727591	N
hsa-mir-1269b	4	0.574347	N
hsa-mir-127	6589	946.093899	N
hsa-mir-1270	3	0.430761	N
hsa-mir-1271	23	3.302498	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	6	0.861521	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	26	3.733259	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	700	100.510810	N
hsa-mir-128-2	484	69.496046	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.143587	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	176	25.271289	N
hsa-mir-1288	3	0.430761	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.287174	N
hsa-mir-129-2	4	0.574347	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.143587	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.574347	N
hsa-mir-1295a	9	1.292282	N
hsa-mir-1295b	107	15.363795	N
hsa-mir-1296	9	1.292282	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	40	5.743475	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	4	0.574347	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	64	9.189560	N
hsa-mir-1307	6319	907.325443	N
hsa-mir-130a	802	115.156671	N
hsa-mir-130b	86	12.348471	N
hsa-mir-132	616	88.449513	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	23	3.302498	Y
hsa-mir-133a-2	20	2.871737	Y
hsa-mir-133b	10	1.435869	Y
hsa-mir-134	2612	375.048909	N
hsa-mir-1343	1	0.143587	N
hsa-mir-135a-1	1	0.143587	N
hsa-mir-135a-2	2	0.287174	N
hsa-mir-135b	11	1.579456	N
hsa-mir-136	277	39.773564	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	5	0.717934	N
hsa-mir-139	2166	311.009164	N
hsa-mir-140	9602	1378.721144	N
hsa-mir-141	45	6.461409	N
hsa-mir-142	43890	6302.027806	N
hsa-mir-143	682117	97943.046267	N
hsa-mir-144	2045	293.635153	N
hsa-mir-145	20077	2882.793626	N
hsa-mir-1468	134	19.240641	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1210	173.740115	N
hsa-mir-146b	10249	1471.621850	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	874096	125508.710339	N
hsa-mir-148b	1275	183.073262	N
hsa-mir-149	49	7.035757	N
hsa-mir-150	17457	2506.596022	N
hsa-mir-151a	15555	2233.493792	N
hsa-mir-151b	33	4.738367	N
hsa-mir-152	3790	544.194244	N
hsa-mir-153-1	11	1.579456	N
hsa-mir-153-2	198	28.430201	N
hsa-mir-1537	5	0.717934	N
hsa-mir-1538	2	0.287174	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	41	5.887062	N
hsa-mir-155	2758	396.012593	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	976	140.140787	N
hsa-mir-15b	1324	190.109018	N
hsa-mir-16-1	2196	315.316771	N
hsa-mir-16-2	2084	299.235041	N
hsa-mir-17	3537	507.866766	Y
hsa-mir-181a-1	3573	513.035893	N
hsa-mir-181a-2	8143	1169.227897	N
hsa-mir-181b-1	637	91.464837	N
hsa-mir-181b-2	591	84.859841	N
hsa-mir-181c	186	26.707158	N
hsa-mir-181d	37	5.312714	N
hsa-mir-182	11986	1721.032246	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3123	448.421801	N
hsa-mir-184	1	0.143587	N
hsa-mir-185	471	67.629417	N
hsa-mir-186	2218	318.475682	N
hsa-mir-187	16	2.297390	N
hsa-mir-188	33	4.738367	N
hsa-mir-18a	46	6.604996	Y
hsa-mir-18b	6	0.861521	Y
hsa-mir-1908	4	0.574347	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	18	2.584564	N
hsa-mir-190b	2	0.287174	N
hsa-mir-191	5170	742.344127	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.143587	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	221409	31791.425710	Y
hsa-mir-193a	4380	628.910499	N
hsa-mir-193b	1111	159.525015	N
hsa-mir-194-1	48645	6984.783381	N
hsa-mir-194-2	51701	7423.584862	N
hsa-mir-195	757	108.695262	N
hsa-mir-196a-1	1	0.143587	N
hsa-mir-196a-2	3	0.430761	N
hsa-mir-196b	148	21.250857	N
hsa-mir-197	2182	313.306554	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	83	11.917710	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	15358	2205.207178	Y
hsa-mir-199a-2	23922	3434.885148	Y
hsa-mir-199b	25638	3681.280221	Y
hsa-mir-19a	90	12.922818	N
hsa-mir-19b-1	378	54.275838	N
hsa-mir-19b-2	331	47.527255	N
hsa-mir-200a	990	142.151003	N
hsa-mir-200b	902	129.515358	N
hsa-mir-200c	253	36.327479	N
hsa-mir-202	5	0.717934	N
hsa-mir-203a	3951	567.311731	N
hsa-mir-203b	4	0.574347	N
hsa-mir-204	230	33.024981	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1485	213.226505	N
hsa-mir-20b	20	2.871737	N
hsa-mir-21	664387	95397.251029	N
hsa-mir-210	1482	212.795744	N
hsa-mir-211	8	1.148695	N
hsa-mir-2110	13	1.866629	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	2	0.287174	N
hsa-mir-2115	1	0.143587	N
hsa-mir-2116	3	0.430761	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	34	4.881954	N
hsa-mir-214	425	61.024421	N
hsa-mir-215	689	98.931355	Y
hsa-mir-216a	15	2.153803	N
hsa-mir-216b	15	2.153803	N
hsa-mir-217	574	82.418864	N
hsa-mir-218-1	165	23.691834	N
hsa-mir-218-2	161	23.117486	N
hsa-mir-219a-1	26	3.733259	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	2	0.287174	N
hsa-mir-22	1190987	171010.097747	N
hsa-mir-221	724	103.956895	N
hsa-mir-222	205	29.435309	N
hsa-mir-223	2750	394.863898	N
hsa-mir-224	378	54.275838	N
hsa-mir-2276	1	0.143587	N
hsa-mir-2277	3	0.430761	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	226	32.450633	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	14140	2030.318368	Y
hsa-mir-23b	11003	1579.886351	Y
hsa-mir-23c	1	0.143587	N
hsa-mir-24-1	6038	866.977532	N
hsa-mir-24-2	5919	849.890694	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	45096	6475.193573	N
hsa-mir-2681	2	0.287174	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	16653	2391.152177	N
hsa-mir-26a-2	16453	2362.434803	N
hsa-mir-26b	15705	2255.031822	N
hsa-mir-27a	5954	854.916235	Y
hsa-mir-27b	18014	2586.573910	Y
hsa-mir-28	30999	4451.049441	N
hsa-mir-2861	0	0.000000	N
