miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	74823	16302.894857	N
hsa-let-7a-2	74216	16170.637968	N
hsa-let-7a-3	75025	16346.907858	N
hsa-let-7b	85169	18557.144890	N
hsa-let-7c	2462	536.435683	N
hsa-let-7d	4272	930.809602	N
hsa-let-7e	3168	690.263300	N
hsa-let-7f-1	54479	11870.219169	N
hsa-let-7f-2	56148	12233.871142	N
hsa-let-7g	4929	1073.960797	N
hsa-let-7i	1320	287.609708	N
hsa-mir-1-1	16	3.486178	N
hsa-mir-1-2	14	3.050406	N
hsa-mir-100	1442	314.191818	N
hsa-mir-101-1	33793	7363.026421	N
hsa-mir-101-2	33794	7363.244307	N
hsa-mir-103a-1	31821	6933.354948	Y
hsa-mir-103a-2	32101	6994.363068	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	104	22.660159	Y
hsa-mir-106b	2827	615.964125	N
hsa-mir-107	419	91.294294	Y
hsa-mir-10a	35128	7653.904422	N
hsa-mir-10b	55115	12008.794756	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	309	67.326818	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.653658	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	62126	13536.394503	N
hsa-mir-1224	3	0.653658	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.307317	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	2.178861	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.653658	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	5	1.089431	N
hsa-mir-1248	7	1.525203	N
hsa-mir-1249	9	1.960975	N
hsa-mir-1250	1	0.217886	N
hsa-mir-1251	10	2.178861	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.435772	N
hsa-mir-1255a	2	0.435772	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.217886	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	819	178.448751	N
hsa-mir-125b-1	97	21.134956	N
hsa-mir-125b-2	118	25.710565	N
hsa-mir-126	26863	5853.075452	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	26	5.665040	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	16	3.486178	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	26	5.665040	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	2033	442.962528	N
hsa-mir-1270	6	1.307317	N
hsa-mir-1271	15	3.268292	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.217886	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	7	1.525203	N
hsa-mir-1277	16	3.486178	N
hsa-mir-1278	1	0.217886	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	735	160.146315	N
hsa-mir-128-2	602	131.167458	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.217886	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.435772	N
hsa-mir-1287	30	6.536584	N
hsa-mir-1288	7	1.525203	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.217886	N
hsa-mir-129-2	1	0.217886	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.653658	N
hsa-mir-1292	3	0.653658	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	105	22.878045	N
hsa-mir-1295b	51	11.112193	N
hsa-mir-1296	17	3.704064	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	103	22.442273	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	4	0.871545	N
hsa-mir-1304	4	0.871545	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	143	31.157718	N
hsa-mir-1307	6523	1421.271309	N
hsa-mir-130a	111	24.185362	N
hsa-mir-130b	218	47.499179	N
hsa-mir-132	562	122.452012	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	8	1.743089	Y
hsa-mir-133a-2	3	0.653658	Y
hsa-mir-133b	4	0.871545	Y
hsa-mir-134	736	160.364201	N
hsa-mir-1343	8	1.743089	N
hsa-mir-135a-1	8	1.743089	N
hsa-mir-135a-2	10	2.178861	N
hsa-mir-135b	2	0.435772	N
hsa-mir-136	45	9.804876	N
hsa-mir-137	23	5.011381	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.217886	N
hsa-mir-139	223	48.588610	N
hsa-mir-140	6076	1323.876203	N
hsa-mir-141	19	4.139837	N
hsa-mir-142	7885	1718.032235	N
hsa-mir-143	355632	77487.284709	N
hsa-mir-144	402	87.590229	N
hsa-mir-145	3321	723.599880	N
hsa-mir-1468	69	15.034144	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	449	97.830878	N
hsa-mir-146b	4400	958.699028	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	1.307317	N
hsa-mir-148a	491815	107159.673284	N
hsa-mir-148b	1769	385.440586	N
hsa-mir-149	120	26.146337	N
hsa-mir-150	428	93.255269	N
hsa-mir-151a	30365	6616.112724	N
hsa-mir-151b	13	2.832520	N
hsa-mir-152	3107	676.972245	N
hsa-mir-153-1	2	0.435772	N
hsa-mir-153-2	76	16.559347	N
hsa-mir-1537	1	0.217886	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	11	2.396748	N
hsa-mir-155	755	164.504038	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	527	114.825997	N
hsa-mir-15b	2267	493.947886	N
hsa-mir-16-1	1689	368.009695	N
hsa-mir-16-2	1620	352.975551	N
hsa-mir-17	5428	1182.685983	Y
hsa-mir-181a-1	1735	378.032458	N
hsa-mir-181a-2	2834	617.489328	N
hsa-mir-181b-1	414	90.204863	N
hsa-mir-181b-2	421	91.730066	N
hsa-mir-181c	86	18.738208	N
hsa-mir-181d	26	5.665040	N
hsa-mir-182	3356	731.225895	N
hsa-mir-1825	2	0.435772	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1742	379.557661	N
hsa-mir-184	1	0.217886	N
hsa-mir-185	555	120.926809	N
hsa-mir-186	3535	770.227515	N
hsa-mir-187	1	0.217886	N
hsa-mir-188	36	7.843901	N
hsa-mir-18a	62	13.508941	Y
hsa-mir-18b	4	0.871545	Y
hsa-mir-1908	2	0.435772	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	16	3.486178	N
hsa-mir-190b	5	1.089431	N
hsa-mir-191	1810	394.373918	N
hsa-mir-1910	4	0.871545	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	164317	35802.397314	Y
hsa-mir-193a	1903	414.637330	N
hsa-mir-193b	1329	289.570684	N
hsa-mir-194-1	20613	4491.287060	N
hsa-mir-194-2	22156	4827.485378	N
hsa-mir-195	349	76.042264	N
hsa-mir-196a-1	0	0.000000	N
hsa-mir-196a-2	0	0.000000	N
hsa-mir-196b	30	6.536584	N
hsa-mir-197	5264	1146.952655	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	21	4.575609	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	807	175.834117	Y
hsa-mir-199a-2	1373	299.157674	Y
hsa-mir-199b	1747	380.647091	Y
hsa-mir-19a	80	17.430891	N
hsa-mir-19b-1	196	42.705684	N
hsa-mir-19b-2	165	35.951214	N
hsa-mir-200a	168	36.604872	N
hsa-mir-200b	91	19.827639	N
hsa-mir-200c	195	42.487798	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	750	163.414607	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	36	7.843901	N
hsa-mir-205	1	0.217886	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1923	418.995052	N
hsa-mir-20b	189	41.180481	N
hsa-mir-21	1415276	308369.028531	N
hsa-mir-210	2668	581.320229	N
hsa-mir-211	4	0.871545	N
hsa-mir-2110	10	2.178861	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	1	0.217886	N
hsa-mir-2116	5	1.089431	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	52	11.330079	N
hsa-mir-214	18	3.921951	N
hsa-mir-215	3915	853.024249	Y
hsa-mir-216a	1	0.217886	N
hsa-mir-216b	3	0.653658	N
hsa-mir-217	19	4.139837	N
hsa-mir-218-1	28	6.100812	N
hsa-mir-218-2	23	5.011381	N
hsa-mir-219a-1	28	6.100812	N
hsa-mir-219a-2	1	0.217886	N
hsa-mir-219b	2	0.435772	N
hsa-mir-22	601976	131162.228653	N
hsa-mir-221	409	89.115432	N
hsa-mir-222	187	40.744709	N
hsa-mir-223	635	138.357701	N
hsa-mir-224	72	15.687802	N
hsa-mir-2276	10	2.178861	N
hsa-mir-2277	12	2.614634	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	159	34.643897	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	9401	2048.347628	Y
hsa-mir-23b	6413	1397.303833	Y
hsa-mir-23c	3	0.653658	N
hsa-mir-24-1	3598	783.954342	N
hsa-mir-24-2	3588	781.775480	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	29401	6406.070482	N
hsa-mir-2681	2	0.435772	N
hsa-mir-2682	2	0.435772	N
hsa-mir-26a-1	6983	1521.498935	N
hsa-mir-26a-2	6920	1507.772108	N
hsa-mir-26b	3601	784.608000	N
hsa-mir-27a	3434	748.221014	Y
hsa-mir-27b	9006	1962.282601	Y
hsa-mir-28	20237	4409.361870	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	5	1.089431	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	9	1.960975	N
hsa-mir-29a	34931	7610.980852	N
hsa-mir-29b-1	1142	248.825975	Y
hsa-mir-29b-2	1218	265.385322	Y
hsa-mir-29c	8107	1766.402959	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	46	10.022763	N
hsa-mir-301b	7	1.525203	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	2	0.435772	N
hsa-mir-3065	19	4.139837	N
hsa-mir-3074	59	12.855282	N
hsa-mir-30a	71112	15494.319381	Y
hsa-mir-30b	2410	525.105604	Y
hsa-mir-30c-1	770	167.772330	Y
hsa-mir-30c-2	891	194.136553	Y
hsa-mir-30d	70451	15350.296641	N
hsa-mir-30e	55528	12098.781733	Y
hsa-mir-31	0	0.000000	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	1	0.217886	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	1	0.217886	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	2	0.435772	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	38	8.279673	N
hsa-mir-3128	1	0.217886	N
hsa-mir-3129	1	0.217886	N
hsa-mir-3130-1	0	0.000000	N
hsa-mir-3130-2	2	0.435772	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	2	0.435772	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	1	0.217886	N
hsa-mir-3140	3	0.653658	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	1	0.217886	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	4	0.871545	N
hsa-mir-3146	1	0.217886	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	1	0.217886	N
hsa-mir-3150a	2	0.435772	N
hsa-mir-3150b	6	1.307317	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	4	0.871545	N
hsa-mir-3158-1	0	0.000000	N
hsa-mir-3158-2	3	0.653658	N
hsa-mir-3159	1	0.217886	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	30	6.536584	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	82	17.866664	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	8	1.743089	N
hsa-mir-3174	0	0.000000	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	2	0.435772	N
hsa-mir-3177	2	0.435772	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	0	0.000000	N
hsa-mir-3188	2	0.435772	N
hsa-mir-3189	2	0.435772	N
hsa-mir-3190	1	0.217886	N
hsa-mir-3191	7	1.525203	N
hsa-mir-3192	1	0.217886	N
hsa-mir-3193	2	0.435772	N
hsa-mir-3194	10	2.178861	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	1	0.217886	N
hsa-mir-3199-1	0	0.000000	N
hsa-mir-3199-2	1	0.217886	N
hsa-mir-32	281	61.226006	N
hsa-mir-3200	55	11.983738	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	0	0.000000	N
hsa-mir-3202-2	0	0.000000	N
hsa-mir-320a	926	201.762568	Y
hsa-mir-320b-1	5	1.089431	Y
hsa-mir-320b-2	15	3.268292	Y
hsa-mir-320c-1	2	0.435772	N
hsa-mir-320c-2	6	1.307317	N
hsa-mir-320d-1	4	0.871545	N
hsa-mir-320d-2	5	1.089431	N
hsa-mir-320e	2	0.435772	N
hsa-mir-323a	22	4.793495	N
hsa-mir-323b	5	1.089431	N
hsa-mir-324	321	69.941452	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	120	26.146337	N
hsa-mir-328	93	20.263411	N
hsa-mir-329-1	0	0.000000	N
hsa-mir-329-2	2	0.435772	N
hsa-mir-330	236	51.421130	N
hsa-mir-331	177	38.565847	N
hsa-mir-335	269	58.611372	N
hsa-mir-337	72	15.687802	N
hsa-mir-338	996	217.014598	N
hsa-mir-339	162	35.297555	N
hsa-mir-33a	785	171.040622	N
hsa-mir-33b	146	31.811377	N
hsa-mir-340	205	44.666659	N
hsa-mir-342	280	61.008120	N
hsa-mir-345	120	26.146337	N
hsa-mir-346	0	0.000000	N
hsa-mir-34a	573	124.848760	N
hsa-mir-34b	1	0.217886	N
hsa-mir-34c	5	1.089431	N
hsa-mir-3529	0	0.000000	N
hsa-mir-3591	2	0.435772	N
hsa-mir-3605	3	0.653658	N
hsa-mir-3606	0	0.000000	N
hsa-mir-3607	1891	412.022696	N
hsa-mir-3609	4	0.871545	N
hsa-mir-361	1709	372.367418	N
hsa-mir-3610	1	0.217886	N
hsa-mir-3611	2	0.435772	N
hsa-mir-3612	0	0.000000	N
hsa-mir-3613	52	11.330079	N
hsa-mir-3614	5	1.089431	N
hsa-mir-3615	110	23.967476	N
hsa-mir-3616	0	0.000000	N
hsa-mir-3617	0	0.000000	N
hsa-mir-3618	2	0.435772	N
hsa-mir-3619	1	0.217886	N
hsa-mir-362	20	4.357723	N
hsa-mir-3620	2	0.435772	N
hsa-mir-3621	0	0.000000	N
hsa-mir-3622a	0	0.000000	N
hsa-mir-3622b	0	0.000000	N
hsa-mir-363	103	22.442273	N
hsa-mir-3646	0	0.000000	N
hsa-mir-3648-1	0	0.000000	N
hsa-mir-3648-2	0	0.000000	N
hsa-mir-3649	0	0.000000	N
hsa-mir-3650	1	0.217886	N
hsa-mir-3651	8	1.743089	N
hsa-mir-3652	1	0.217886	N
hsa-mir-3653	43	9.369104	N
hsa-mir-3654	0	0.000000	N
hsa-mir-3655	1	0.217886	N
hsa-mir-3656	1	0.217886	N
hsa-mir-3657	0	0.000000	N
hsa-mir-3658	0	0.000000	N
hsa-mir-3659	0	0.000000	N
hsa-mir-365a	570	124.195101	Y
hsa-mir-365b	564	122.887784	Y
hsa-mir-3660	0	0.000000	N
hsa-mir-3661	0	0.000000	N
hsa-mir-3662	9	1.960975	N
hsa-mir-3663	0	0.000000	N
hsa-mir-3664	7	1.525203	N
hsa-mir-3665	0	0.000000	N
hsa-mir-3666	0	0.000000	N
hsa-mir-3667	1	0.217886	N
hsa-mir-3668	0	0.000000	N
hsa-mir-367	0	0.000000	N
hsa-mir-3670-1	0	0.000000	N
hsa-mir-3670-2	0	0.000000	N
hsa-mir-3670-3	0	0.000000	N
hsa-mir-3670-4	0	0.000000	N
hsa-mir-3671	0	0.000000	N
hsa-mir-3672	0	0.000000	N
hsa-mir-3674	0	0.000000	N
hsa-mir-3675	0	0.000000	N
hsa-mir-3677	121	26.364223	N
hsa-mir-3678	1	0.217886	N
hsa-mir-3679	0	0.000000	N
hsa-mir-3680-1	6	1.307317	N
hsa-mir-3680-2	2	0.435772	N
hsa-mir-3681	0	0.000000	N
hsa-mir-3682	10	2.178861	N
hsa-mir-3683	0	0.000000	N
hsa-mir-3684	4	0.871545	N
hsa-mir-3685	0	0.000000	N
hsa-mir-3686	0	0.000000	N
hsa-mir-3687-1	0	0.000000	N
hsa-mir-3687-2	0	0.000000	N
hsa-mir-3688-1	0	0.000000	N
hsa-mir-3688-2	0	0.000000	N
hsa-mir-3689a	0	0.000000	N
hsa-mir-3689b	0	0.000000	N
hsa-mir-3689c	0	0.000000	N
hsa-mir-3689d-1	0	0.000000	N
hsa-mir-3689d-2	0	0.000000	N
hsa-mir-3689e	0	0.000000	N
hsa-mir-3689f	0	0.000000	N
hsa-mir-369	32	6.972357	N
hsa-mir-3690-1	16	3.486178	N
hsa-mir-3690-2	0	0.000000	N
hsa-mir-3691	3	0.653658	N
hsa-mir-3692	1	0.217886	N
hsa-mir-370	27	5.882926	N
hsa-mir-3713	0	0.000000	N
hsa-mir-3714	0	0.000000	N
hsa-mir-371a	0	0.000000	N
hsa-mir-371b	0	0.000000	N
hsa-mir-372	0	0.000000	N
hsa-mir-373	0	0.000000	N
hsa-mir-374a	4648	1012.734791	N
hsa-mir-374b	314	68.416249	N
hsa-mir-374c	0	0.000000	N
hsa-mir-375	2459	535.782025	N
hsa-mir-376a-1	5	1.089431	N
hsa-mir-376a-2	3	0.653658	N
hsa-mir-376b	5	1.089431	Y
hsa-mir-376c	13	2.832520	Y
hsa-mir-377	6	1.307317	N
hsa-mir-378a	3754	817.944580	N
hsa-mir-378b	0	0.000000	N
hsa-mir-378c	42	9.151218	N
hsa-mir-378d-1	4	0.871545	N
hsa-mir-378d-2	2	0.435772	N
hsa-mir-378e	0	0.000000	N
hsa-mir-378f	0	0.000000	N
hsa-mir-378g	0	0.000000	N
hsa-mir-378h	0	0.000000	N
hsa-mir-378i	1	0.217886	N
hsa-mir-378j	0	0.000000	N
hsa-mir-379	2636	574.347872	N
hsa-mir-380	0	0.000000	N
hsa-mir-381	113	24.621134	N
hsa-mir-382	57	12.419510	N
hsa-mir-383	1	0.217886	N
hsa-mir-384	0	0.000000	N
hsa-mir-3907	0	0.000000	N
hsa-mir-3908	0	0.000000	N
hsa-mir-3909	17	3.704064	N
hsa-mir-3910-1	0	0.000000	N
hsa-mir-3910-2	0	0.000000	N
hsa-mir-3911	0	0.000000	N
hsa-mir-3912	6	1.307317	N
hsa-mir-3913-1	5	1.089431	N
