miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	191442	25489.130153	N
hsa-let-7a-2	191969	25559.296425	Y
hsa-let-7a-3	192254	25597.242133	N
hsa-let-7b	159411	21224.432083	N
hsa-let-7c	11607	1545.388858	Y
hsa-let-7d	7246	964.752965	N
hsa-let-7e	8103	1078.856372	N
hsa-let-7f-1	156434	20828.065870	N
hsa-let-7f-2	158877	21153.333810	N
hsa-let-7g	7974	1061.680947	N
hsa-let-7i	2431	323.670226	N
hsa-mir-1-1	11	1.464571	N
hsa-mir-1-2	23	3.062285	N
hsa-mir-100	42237	5623.553819	Y
hsa-mir-101-1	57149	7608.979738	N
hsa-mir-101-2	58440	7780.867135	N
hsa-mir-103a-1	115684	15402.495443	Y
hsa-mir-103a-2	115298	15351.102309	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.133143	N
hsa-mir-105-2	3	0.399428	N
hsa-mir-106a	39	5.192570	Y
hsa-mir-106b	3961	527.378760	N
hsa-mir-107	681	90.670269	Y
hsa-mir-10a	126576	16852.687175	N
hsa-mir-10b	921241	122656.636218	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	198	26.362281	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	1.464571	N
hsa-mir-1185-2	4	0.532571	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	8	1.065143	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	51181	6814.383314	N
hsa-mir-1224	3	0.399428	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	16	2.130285	N
hsa-mir-1227	1	0.133143	N
hsa-mir-1228	13	1.730857	N
hsa-mir-1229	4	0.532571	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.133143	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.133143	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.266286	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	645	85.877127	N
hsa-mir-1248	4	0.532571	N
hsa-mir-1249	10	1.331428	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	10	1.331428	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.133143	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1653	220.085102	N
hsa-mir-125b-1	1017	135.406261	N
hsa-mir-125b-2	1083	144.193688	N
hsa-mir-126	22546	3001.838303	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	149	19.838282	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5	0.665714	N
hsa-mir-1269b	1	0.133143	N
hsa-mir-127	16154	2150.789317	N
hsa-mir-1270	45	5.991427	N
hsa-mir-1271	2	0.266286	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.266286	N
hsa-mir-1276	1	0.133143	N
hsa-mir-1277	11	1.464571	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1070	142.462831	N
hsa-mir-128-2	832	110.774837	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	12	1.597714	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	220	29.291423	N
hsa-mir-1288	13	1.730857	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.532571	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.532571	N
hsa-mir-1292	5	0.665714	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.133143	N
hsa-mir-1295a	23	3.062285	N
hsa-mir-1295b	58	7.722284	N
hsa-mir-1296	42	5.591999	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	60	7.988570	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	8	1.065143	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	95	12.648569	N
hsa-mir-1307	13215	1759.482532	N
hsa-mir-130a	147	19.571996	N
hsa-mir-130b	135	17.974282	N
hsa-mir-132	422	56.186275	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	10	1.331428	Y
hsa-mir-133a-2	8	1.065143	Y
hsa-mir-133b	4	0.532571	Y
hsa-mir-134	6047	805.114709	N
hsa-mir-1343	3	0.399428	N
hsa-mir-135a-1	7	0.932000	N
hsa-mir-135a-2	11	1.464571	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	401	53.390276	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	293	39.010850	N
hsa-mir-140	9457	1259.131768	N
hsa-mir-141	6548	871.819268	N
hsa-mir-142	3154	419.932494	N
hsa-mir-143	632821	84255.580449	N
hsa-mir-144	194	25.829710	N
hsa-mir-145	5741	764.373002	N
hsa-mir-1468	38	5.059428	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1052	140.066260	N
hsa-mir-146b	15213	2025.501912	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	323934	43129.490325	N
hsa-mir-148b	2044	272.143950	N
hsa-mir-149	51	6.790284	N
hsa-mir-150	1190	158.439971	N
hsa-mir-151a	28084	3739.183310	N
hsa-mir-151b	14	1.864000	N
hsa-mir-152	4569	608.329602	N
hsa-mir-153-1	9	1.198285	N
hsa-mir-153-2	34	4.526856	N
hsa-mir-1537	1	0.133143	N
hsa-mir-1538	2	0.266286	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	76	10.118855	N
hsa-mir-155	651	86.675984	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	701	93.333126	N
hsa-mir-15b	1493	198.782249	N
hsa-mir-16-1	853	113.570836	N
hsa-mir-16-2	895	119.162835	N
hsa-mir-17	6160	820.159849	Y
hsa-mir-181a-1	7131	949.441539	N
hsa-mir-181a-2	32332	4304.774063	N
hsa-mir-181b-1	2137	284.526233	N
hsa-mir-181b-2	2186	291.050232	N
hsa-mir-181c	179	23.832567	N
hsa-mir-181d	68	9.053713	N
hsa-mir-182	483586	64386.009830	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	264998	35282.584345	N
hsa-mir-184	31	4.127428	N
hsa-mir-185	690	91.868554	N
hsa-mir-186	951	126.618834	N
hsa-mir-187	8	1.065143	N
hsa-mir-188	27	3.594856	N
hsa-mir-18a	90	11.982855	Y
hsa-mir-18b	3	0.399428	Y
hsa-mir-1908	1	0.133143	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	32	4.260571	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	3605	479.979911	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.133143	N
hsa-mir-1915	4	0.532571	N
hsa-mir-192	285373	37995.369559	Y
hsa-mir-193a	6257	833.074703	N
hsa-mir-193b	584	77.755414	N
hsa-mir-194-1	81138	10802.943149	N
hsa-mir-194-2	84399	11237.121926	N
hsa-mir-195	331	44.070278	N
hsa-mir-196a-1	1	0.133143	N
hsa-mir-196a-2	1	0.133143	N
hsa-mir-196b	24	3.195428	N
hsa-mir-197	760	101.188553	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	10	1.331428	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	3071	408.881639	Y
hsa-mir-199a-2	4891	651.201594	Y
hsa-mir-199b	5572	741.871863	Y
hsa-mir-19a	181	24.098853	N
hsa-mir-19b-1	711	94.664554	N
hsa-mir-19b-2	619	82.415413	N
hsa-mir-200a	4110	547.217042	N
hsa-mir-200b	5010	667.045591	N
hsa-mir-200c	97864	13029.890166	N
hsa-mir-202	4	0.532571	N
hsa-mir-203a	3805	506.608478	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	66	8.787427	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	3	0.399428	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2507	333.789081	N
hsa-mir-20b	10	1.331428	N
hsa-mir-21	1009130	134358.426630	N
hsa-mir-210	1284	170.955397	N
hsa-mir-211	1	0.133143	N
hsa-mir-2110	17	2.263428	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.133143	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	8	1.065143	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	34	4.526856	N
hsa-mir-214	106	14.113140	N
hsa-mir-215	1587	211.297675	Y
hsa-mir-216a	11	1.464571	N
hsa-mir-216b	5	0.665714	N
hsa-mir-217	305	40.608564	N
hsa-mir-218-1	67	8.920570	N
hsa-mir-218-2	61	8.121713	N
hsa-mir-219a-1	62	8.254856	N
hsa-mir-219a-2	4	0.532571	N
hsa-mir-219b	3	0.399428	N
hsa-mir-22	284304	37853.039871	N
hsa-mir-221	1924	256.166810	N
hsa-mir-222	335	44.602849	N
hsa-mir-223	497	66.171988	N
hsa-mir-224	793	105.582266	N
hsa-mir-2276	1	0.133143	N
hsa-mir-2277	2	0.266286	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	136	18.107425	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	11007	1465.503158	Y
hsa-mir-23b	14922	1986.757348	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	6606	879.541552	N
hsa-mir-24-2	6317	841.063273	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	104704	13940.587141	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	13819	1839.900803	N
hsa-mir-26a-2	13868	1846.424802	N
hsa-mir-26b	11918	1586.796279	N
hsa-mir-27a	4642	618.049029	Y
hsa-mir-27b	27496	3660.895324	Y
hsa-mir-28	31558	4201.721510	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	46	6.124570	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	54	7.189713	N
hsa-mir-29a	17292	2302.305861	N
hsa-mir-29b-1	280	37.279993	Y
hsa-mir-29b-2	313	41.673707	N
hsa-mir-29c	5132	683.289017	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	46	6.124570	N
hsa-mir-301b	7	0.932000	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.133143	N
hsa-mir-3065	528	70.299416	N
hsa-mir-3074	27	3.594856	N
hsa-mir-30a	102492	13646.075196	Y
hsa-mir-30b	2289	304.763944	Y
hsa-mir-30c-1	1270	169.091397	Y
hsa-mir-30c-2	1412	187.997680	Y
hsa-mir-30d	70381	9370.725699	N
hsa-mir-30e	130881	17425.867069	Y
hsa-mir-31	2	0.266286	N
hsa-mir-3115	3	0.399428	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	1	0.133143	N
hsa-mir-3117	3	0.399428	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	51	6.790284	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	0	0.000000	N
hsa-mir-3130-1	27	3.594856	N
hsa-mir-3130-2	30	3.994285	N
hsa-mir-3131	1	0.133143	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	3	0.399428	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	1	0.133143	N
hsa-mir-3145	2	0.266286	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	2	0.266286	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	5	0.665714	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	1	0.133143	N
hsa-mir-3158-1	0	0.000000	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	0	0.000000	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	12	1.597714	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	3	0.399428	N
hsa-mir-3174	4	0.532571	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	5	0.665714	N
hsa-mir-3177	1	0.133143	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	1	0.133143	N
hsa-mir-3187	7	0.932000	N
hsa-mir-3188	0	0.000000	N
hsa-mir-3189	0	0.000000	N
hsa-mir-3190	0	0.000000	N
hsa-mir-3191	6	0.798857	N
hsa-mir-3192	0	0.000000	N
hsa-mir-3193	7	0.932000	N
hsa-mir-3194	4	0.532571	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	0	0.000000	N
hsa-mir-3199-1	2	0.266286	N
hsa-mir-3199-2	8	1.065143	N
hsa-mir-32	467	62.177703	N
hsa-mir-3200	103	13.713712	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	1	0.133143	N
hsa-mir-3202-2	0	0.000000	N
hsa-mir-320a	9501	1264.990052	Y
hsa-mir-320b-1	27	3.594856	Y
hsa-mir-320b-2	33	4.393713	Y
hsa-mir-320c-1	8	1.065143	N
hsa-mir-320c-2	5	0.665714	N
hsa-mir-320d-1	6	0.798857	N
hsa-mir-320d-2	14	1.864000	N
hsa-mir-320e	2	0.266286	N
hsa-mir-323a	100	13.314283	N
hsa-mir-323b	124	16.509711	N
hsa-mir-324	192	25.563424	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	12	1.597714	N
hsa-mir-328	165	21.968567	N
hsa-mir-329-1	7	0.932000	N
hsa-mir-329-2	9	1.198285	N
hsa-mir-330	111	14.778854	N
hsa-mir-331	314	41.806849	N
hsa-mir-335	1074	142.995402	N
hsa-mir-337	562	74.826272	N
hsa-mir-338	18108	2410.950412	N
hsa-mir-339	104	13.846855	N
hsa-mir-33a	220	29.291423	N
hsa-mir-33b	19	2.529714	N
hsa-mir-340	557	74.160558	N
hsa-mir-342	244	32.486851	N
hsa-mir-345	196	26.095995	N
hsa-mir-346	0	0.000000	N
hsa-mir-34a	787	104.783409	N
hsa-mir-34b	1	0.133143	N
hsa-mir-34c	24	3.195428	N
hsa-mir-3529	0	0.000000	N
hsa-mir-3591	78	10.385141	N
hsa-mir-3605	11	1.464571	N
hsa-mir-3606	0	0.000000	N
hsa-mir-3607	75	9.985712	N
hsa-mir-3609	0	0.000000	N
hsa-mir-361	2322	309.157657	N
hsa-mir-3610	4	0.532571	N
hsa-mir-3611	0	0.000000	N
hsa-mir-3612	0	0.000000	N
hsa-mir-3613	118	15.710854	N
hsa-mir-3614	5	0.665714	N
hsa-mir-3615	30	3.994285	N
hsa-mir-3616	0	0.000000	N
hsa-mir-3617	0	0.000000	N
hsa-mir-3618	0	0.000000	N
hsa-mir-3619	0	0.000000	N
hsa-mir-362	97	12.914855	N
hsa-mir-3620	2	0.266286	N
hsa-mir-3621	0	0.000000	N
hsa-mir-3622a	0	0.000000	N
hsa-mir-3622b	0	0.000000	N
hsa-mir-363	9	1.198285	N
hsa-mir-3646	0	0.000000	N
hsa-mir-3648-1	0	0.000000	N
hsa-mir-3648-2	0	0.000000	N
hsa-mir-3649	0	0.000000	N
hsa-mir-3650	0	0.000000	N
hsa-mir-3651	0	0.000000	N
hsa-mir-3652	5	0.665714	N
hsa-mir-3653	6	0.798857	N
hsa-mir-3654	1	0.133143	N
hsa-mir-3655	0	0.000000	N
hsa-mir-3656	0	0.000000	N
hsa-mir-3657	0	0.000000	N
hsa-mir-3658	0	0.000000	N
hsa-mir-3659	0	0.000000	N
hsa-mir-365a	1074	142.995402	Y
hsa-mir-365b	1072	142.729117	Y
hsa-mir-3660	0	0.000000	N
hsa-mir-3661	1	0.133143	N
hsa-mir-3662	0	0.000000	N
hsa-mir-3663	0	0.000000	N
hsa-mir-3664	7	0.932000	N
hsa-mir-3665	0	0.000000	N
hsa-mir-3666	0	0.000000	N
hsa-mir-3667	1	0.133143	N
hsa-mir-3668	0	0.000000	N
hsa-mir-367	0	0.000000	N
hsa-mir-3670-1	0	0.000000	N
hsa-mir-3670-2	0	0.000000	N
hsa-mir-3670-3	0	0.000000	N
hsa-mir-3670-4	0	0.000000	N
hsa-mir-3671	0	0.000000	N
hsa-mir-3672	0	0.000000	N
hsa-mir-3674	0	0.000000	N
hsa-mir-3675	0	0.000000	N
hsa-mir-3677	45	5.991427	N
hsa-mir-3678	14	1.864000	N
hsa-mir-3679	0	0.000000	N
hsa-mir-3680-1	0	0.000000	N
hsa-mir-3680-2	3	0.399428	N
hsa-mir-3681	1	0.133143	N
hsa-mir-3682	22	2.929142	N
hsa-mir-3683	0	0.000000	N
hsa-mir-3684	0	0.000000	N
hsa-mir-3685	0	0.000000	N
hsa-mir-3686	0	0.000000	N
hsa-mir-3687-1	0	0.000000	N
hsa-mir-3687-2	0	0.000000	N
hsa-mir-3688-1	0	0.000000	N
hsa-mir-3688-2	0	0.000000	N
hsa-mir-3689a	0	0.000000	N
hsa-mir-3689b	0	0.000000	N
hsa-mir-3689c	0	0.000000	N
hsa-mir-3689d-1	0	0.000000	N
hsa-mir-3689d-2	0	0.000000	N
hsa-mir-3689e	0	0.000000	N
hsa-mir-3689f	0	0.000000	N
hsa-mir-369	307	40.874850	N
hsa-mir-3690-1	3	0.399428	N
hsa-mir-3690-2	0	0.000000	N
hsa-mir-3691	11	1.464571	N
hsa-mir-3692	0	0.000000	N
hsa-mir-370	154	20.503996	N
hsa-mir-3713	0	0.000000	N
hsa-mir-3714	0	0.000000	N
hsa-mir-371a	0	0.000000	N
hsa-mir-371b	0	0.000000	N
hsa-mir-372	2	0.266286	N
hsa-mir-373	0	0.000000	N
hsa-mir-374a	9870	1314.119757	N
hsa-mir-374b	692	92.134840	N
hsa-mir-374c	0	0.000000	N
hsa-mir-375	189323	25207.000490	N
hsa-mir-376a-1	15	1.997142	N
hsa-mir-376a-2	9	1.198285	N
hsa-mir-376b	23	3.062285	Y
hsa-mir-376c	130	17.308568	Y
hsa-mir-377	43	5.725142	N
hsa-mir-378a	1170	155.777114	N
hsa-mir-378b	0	0.000000	N
hsa-mir-378c	18	2.396571	N
hsa-mir-378d-1	0	0.000000	N
hsa-mir-378d-2	2	0.266286	N
hsa-mir-378e	0	0.000000	N
hsa-mir-378f	0	0.000000	N
hsa-mir-378g	0	0.000000	N
hsa-mir-378h	0	0.000000	N
hsa-mir-378i	1	0.133143	N
hsa-mir-378j	0	0.000000	N
hsa-mir-379	26149	3481.551929	N
hsa-mir-380	39	5.192570	N
hsa-mir-381	876	116.633121	N
hsa-mir-382	447	59.514846	N
hsa-mir-383	2	0.266286	N
hsa-mir-384	0	0.000000	N
hsa-mir-3907	0	0.000000	N
hsa-mir-3908	0	0.000000	N
hsa-mir-3909	5	0.665714	N
hsa-mir-3910-1	0	0.000000	N
hsa-mir-3910-2	0	0.000000	N
hsa-mir-3911	0	0.000000	N
hsa-mir-3912	11	1.464571	N
hsa-mir-3913-1	12	1.597714	N
hsa-mir-3913-2	8	1.065143	N
hsa-mir-3914-1	0	0.000000	N
hsa-mir-3914-2	0	0.000000	N
hsa-mir-3915	0	0.000000	N
hsa-mir-3916	0	0.000000	N
hsa-mir-3917	6	0.798857	N
hsa-mir-3918	0	0.000000	N
hsa-mir-3919	0	0.000000	N
hsa-mir-3920	0	0.000000	N
hsa-mir-3921	0	0.000000	N
hsa-mir-3922	0	0.000000	N
hsa-mir-3923	0	0.000000	N
hsa-mir-3924	0	0.000000	N
hsa-mir-3925	0	0.000000	N
hsa-mir-3926-1	1	0.133143	N
hsa-mir-3926-2	1	0.133143	N
hsa-mir-3927	0	0.000000	N
hsa-mir-3928	27	3.594856	N
hsa-mir-3929	0	0.000000	N
hsa-mir-3934	0	0.000000	N
hsa-mir-3935	0	0.000000	N
hsa-mir-3936	1	0.133143	N
hsa-mir-3937	0	0.000000	N
hsa-mir-3938	0	0.000000	N
hsa-mir-3939	1	0.133143	N
hsa-mir-3940	4	0.532571	N
hsa-mir-3941	0	0.000000	N
hsa-mir-3942	6	0.798857	N
hsa-mir-3943	0	0.000000	N
hsa-mir-3944	9	1.198285	N
