miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	49757	7574.664265	N
hsa-let-7a-2	49391	7518.946936	Y
hsa-let-7a-3	49404	7520.925967	N
hsa-let-7b	80340	12230.410335	N
hsa-let-7c	2217	337.500868	Y
hsa-let-7d	2936	446.956494	N
hsa-let-7e	6262	953.283912	N
hsa-let-7f-1	22251	3387.339561	N
hsa-let-7f-2	22314	3396.930249	N
hsa-let-7g	2725	414.835302	N
hsa-let-7i	1555	236.722530	N
hsa-mir-1-1	4	0.608933	N
hsa-mir-1-2	10	1.522331	N
hsa-mir-100	14426	2196.115254	N
hsa-mir-101-1	26803	4080.304807	N
hsa-mir-101-2	27281	4153.072247	N
hsa-mir-103a-1	42289	6437.787188	Y
hsa-mir-103a-2	42045	6400.642302	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	57	8.677289	Y
hsa-mir-106b	5650	860.117232	N
hsa-mir-107	513	78.095600	Y
hsa-mir-10a	80400	12239.544324	N
hsa-mir-10b	18374	2797.131684	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	68	10.351853	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.152233	N
hsa-mir-1185-2	1	0.152233	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	7667	1167.171472	N
hsa-mir-1224	1	0.152233	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.456699	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.217865	N
hsa-mir-1229	4	0.608933	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.152233	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.608933	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	119	18.115743	N
hsa-mir-1248	7	1.065632	N
hsa-mir-1249	5	0.761166	N
hsa-mir-1250	3	0.456699	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.456699	N
hsa-mir-1254-2	5	0.761166	N
hsa-mir-1255a	6	0.913399	N
hsa-mir-1255b-1	0	0.000000	N
