miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	82413	11904.951072	N
hsa-let-7a-2	82164	11868.981834	Y
hsa-let-7a-3	83139	12009.825236	N
hsa-let-7b	27041	3906.201472	N
hsa-let-7c	16057	2319.510264	Y
hsa-let-7d	1459	210.759511	N
hsa-let-7e	12192	1761.192572	N
hsa-let-7f-1	17563	2537.059149	N
hsa-let-7f-2	18127	2618.531640	N
hsa-let-7g	3674	530.726830	N
hsa-let-7i	1203	173.779090	N
hsa-mir-1-1	7	1.011183	N
hsa-mir-1-2	7	1.011183	N
hsa-mir-100	8108	1171.239286	Y
hsa-mir-101-1	153174	22126.715148	N
hsa-mir-101-2	153380	22156.472831	N
hsa-mir-103a-1	149732	21629.501825	Y
hsa-mir-103a-2	149146	21544.851329	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1226	177.101550	N
hsa-mir-105-2	1193	172.334542	N
hsa-mir-106a	506	73.094114	Y
hsa-mir-106b	8518	1230.465742	N
hsa-mir-107	1587	229.249722	Y
hsa-mir-10a	45693	6600.571868	N
hsa-mir-10b	103672	14975.915056	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.144455	N
hsa-mir-1180	280	40.447336	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.577819	N
hsa-mir-1185-2	1	0.144455	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.288910	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	75453	10899.545863	N
hsa-mir-1224	2	0.288910	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	2.022367	N
hsa-mir-1227	1	0.144455	N
hsa-mir-1228	8	1.155638	N
hsa-mir-1229	4	0.577819	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.288910	N
hsa-mir-1237	1	0.144455	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1	0.144455	N
hsa-mir-1248	4	0.577819	N
hsa-mir-1249	6	0.866729	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.144455	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.722274	N
hsa-mir-1254-2	5	0.722274	N
hsa-mir-1255a	22	3.178005	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.577819	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.433364	N
hsa-mir-125a	5516	796.812519	N
hsa-mir-125b-1	1472	212.637423	N
hsa-mir-125b-2	1719	248.317752	N
hsa-mir-126	47118	6806.419917	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.144455	N
hsa-mir-1263	6	0.866729	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	140	20.223668	N
hsa-mir-1267	1	0.144455	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	33350	4817.566625	N
hsa-mir-1269b	4	0.577819	N
hsa-mir-127	2399	346.546996	N
hsa-mir-1270	98	14.156568	N
hsa-mir-1271	29	4.189188	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	19	2.744641	N
hsa-mir-1277	17	2.455731	N
hsa-mir-1278	4	0.577819	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2907	419.930020	N
hsa-mir-128-2	1942	280.531166	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	15	2.166822	N
hsa-mir-1285-1	1	0.144455	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.144455	N
hsa-mir-1287	113	16.323389	N
hsa-mir-1288	2	0.288910	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.433364	N
hsa-mir-129-2	2	0.288910	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	5	0.722274	N
hsa-mir-1293	1	0.144455	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	9	1.300093	N
hsa-mir-1295b	128	18.490211	N
hsa-mir-1296	264	38.136060	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.144455	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	117	16.901208	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	3	0.433364	N
hsa-mir-1304	2	0.288910	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	276	39.869517	N
hsa-mir-1307	37209	5375.017587	N
hsa-mir-130a	171	24.701766	N
hsa-mir-130b	352	50.848080	N
hsa-mir-132	572	82.628129	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.144455	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	5	0.722274	N
hsa-mir-133a-2	7	1.011183	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	601	86.817318	N
hsa-mir-1343	28	4.044734	N
hsa-mir-135a-1	1	0.144455	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	2	0.288910	N
hsa-mir-136	98	14.156568	N
hsa-mir-137	1	0.144455	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.144455	N
hsa-mir-139	509	73.527479	N
hsa-mir-140	17413	2515.390934	N
hsa-mir-141	6	0.866729	N
hsa-mir-142	4382	633.000808	N
hsa-mir-143	367522	53090.306478	N
hsa-mir-144	1010	145.899319	N
hsa-mir-145	5001	722.418312	N
hsa-mir-1468	40	5.778191	N
hsa-mir-1469	0	0.000000	N
