miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	123155	15438.442103	N
hsa-let-7a-2	122989	15417.632705	Y
hsa-let-7a-3	122917	15408.606942	N
hsa-let-7b	69864	8757.998612	N
hsa-let-7c	53468	6702.631825	Y
hsa-let-7d	2438	305.622361	N
hsa-let-7e	5362	672.168621	N
hsa-let-7f-1	87106	10919.418114	N
hsa-let-7f-2	89686	11242.841285	N
hsa-let-7g	8784	1101.143075	N
hsa-let-7i	1778	222.886201	N
hsa-mir-1-1	24	3.008588	N
hsa-mir-1-2	24	3.008588	N
hsa-mir-100	68520	8589.517705	Y
hsa-mir-101-1	194575	24391.497481	N
hsa-mir-101-2	196335	24612.127241	N
hsa-mir-103a-1	55406	6945.575276	Y
hsa-mir-103a-2	55440	6949.837442	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	50	6.267891	Y
hsa-mir-106b	1888	236.675561	N
hsa-mir-107	721	90.382987	Y
hsa-mir-10a	172321	21601.784594	N
hsa-mir-10b	14776	1852.287122	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	37	4.638239	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.125358	N
hsa-mir-1185-2	1	0.125358	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.125358	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	307885	38595.791863	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
