miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	31043	10446.300637	N
hsa-let-7a-2	30699	10330.540968	N
hsa-let-7a-3	31040	10445.291105	N
hsa-let-7b	38303	12889.368080	N
hsa-let-7c	5818	1957.819061	N
hsa-let-7d	6475	2178.906569	N
hsa-let-7e	1414	475.826083	N
hsa-let-7f-1	18351	6175.307251	N
hsa-let-7f-2	18767	6315.295689	N
hsa-let-7g	2483	835.555986	N
hsa-let-7i	1140	383.622160	N
hsa-mir-1-1	7	2.355575	N
hsa-mir-1-2	8	2.692085	N
hsa-mir-100	5287	1779.131897	Y
hsa-mir-101-1	16720	5626.458353	N
hsa-mir-101-2	16851	5670.541250	N
hsa-mir-103a-1	130333	43858.444769	Y
hsa-mir-103a-2	129904	43714.081693	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	25	8.412767	Y
hsa-mir-106b	1588	534.378939	N
hsa-mir-107	1013	340.885306	Y
hsa-mir-10a	21590	7265.265302	N
hsa-mir-10b	236455	79569.629778	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	71	23.892257	N
hsa-mir-1181	1	0.336511	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	3.365107	N
hsa-mir-1185-2	5	1.682553	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	1.009532	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	39504	13293.517391	N
hsa-mir-1224	1	0.336511	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	17	5.720681	N
hsa-mir-1227	1	0.336511	N
hsa-mir-1228	1	0.336511	N
hsa-mir-1229	5	1.682553	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.673021	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.336511	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	303	101.962732	N
hsa-mir-1248	3	1.009532	N
hsa-mir-1249	1	0.336511	N
hsa-mir-1250	0	0.000000	N
