miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	26687	5423.590617	N
hsa-let-7a-2	26495	5384.570518	N
hsa-let-7a-3	26832	5453.058922	N
hsa-let-7b	12188	2476.963407	N
hsa-let-7c	5372	1091.749871	N
hsa-let-7d	3082	626.353891	N
hsa-let-7e	520	105.679436	N
hsa-let-7f-1	21281	4324.930937	N
hsa-let-7f-2	21813	4433.049130	N
hsa-let-7g	4777	970.828208	N
hsa-let-7i	859	174.574300	N
hsa-mir-1-1	1	0.203230	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	5760	1170.602989	Y
hsa-mir-101-1	38744	7873.930936	N
hsa-mir-101-2	38932	7912.138117	N
hsa-mir-103a-1	44815	9107.738356	Y
hsa-mir-103a-2	44882	9121.354745	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	11	2.235527	N
hsa-mir-105-2	9	1.829067	N
hsa-mir-106a	66	13.413159	Y
hsa-mir-106b	2256	458.486171	N
hsa-mir-107	506	102.834221	Y
hsa-mir-10a	5385	1094.391857	N
hsa-mir-10b	42310	8598.647994	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	133	27.029548	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.203230	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	182961	37183.106492	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.609689	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	2.032297	N
hsa-mir-1229	3	0.609689	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1	0.203230	N
hsa-mir-1248	19	3.861364	N
hsa-mir-1249	11	2.235527	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	5	1.016148	N
hsa-mir-1252	1	0.203230	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.609689	N
hsa-mir-1254-2	2	0.406459	N
hsa-mir-1255a	4	0.812919	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	14	2.845216	N
hsa-mir-125a	208	42.271775	N
hsa-mir-125b-1	935	190.019756	N
hsa-mir-125b-2	1028	208.920117	N
hsa-mir-126	9071	1843.496477	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.406459	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	1.016148	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	322	65.439959	N
hsa-mir-1269b	59	11.990551	N
hsa-mir-127	825	167.664491	N
hsa-mir-1270	27	5.487202	N
hsa-mir-1271	5	1.016148	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.203230	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	4	0.812919	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	543	110.353719	N
hsa-mir-128-2	350	71.130390	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.203230	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	16	3.251675	N
hsa-mir-1288	2	0.406459	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	1.016148	N
hsa-mir-1292	5	1.016148	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.203230	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	25	5.080742	N
hsa-mir-1296	35	7.113039	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	44	8.942106	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
