miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	41585	7520.262754	N
hsa-let-7a-2	41460	7497.657660	Y
hsa-let-7a-3	42206	7632.564863	N
hsa-let-7b	49257	8907.673019	N
hsa-let-7c	20935	3785.901185	Y
hsa-let-7d	2173	392.966958	N
hsa-let-7e	2664	481.759769	N
hsa-let-7f-1	19263	3483.535444	N
hsa-let-7f-2	19794	3579.561884	N
hsa-let-7g	3873	700.396240	N
hsa-let-7i	1627	294.227907	N
hsa-mir-1-1	16	2.893452	N
hsa-mir-1-2	21	3.797656	N
hsa-mir-100	35268	6377.891711	N
hsa-mir-101-1	122499	22152.811522	N
hsa-mir-101-2	124037	22430.944602	N
hsa-mir-103a-1	57494	10397.258309	Y
hsa-mir-103a-2	57979	10484.966075	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	83	15.009783	Y
hsa-mir-106b	2039	368.734297	N
hsa-mir-107	658	118.993216	Y
hsa-mir-10a	106558	19270.029063	N
hsa-mir-10b	4409	797.326884	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.180841	N
hsa-mir-1180	34	6.148586	N
hsa-mir-1181	3	0.542522	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.542522	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.180841	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	272920	49355.058577	N
hsa-mir-1224	1	0.180841	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.542522	N
