miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12667	2889.929439	N
hsa-let-7a-2	12698	2897.001975	N
hsa-let-7a-3	12887	2940.121629	N
hsa-let-7b	4588	1046.735317	N
hsa-let-7c	450	102.665844	N
hsa-let-7d	544	124.111598	N
hsa-let-7e	913	208.297590	N
hsa-let-7f-1	6877	1568.962245	N
hsa-let-7f-2	7050	1608.431558	N
hsa-let-7g	869	198.259152	N
hsa-let-7i	545	124.339745	N
hsa-mir-1-1	2	0.456293	N
hsa-mir-1-2	1	0.228146	N
hsa-mir-100	1340	305.716069	N
hsa-mir-101-1	34766	7931.734971	N
hsa-mir-101-2	35055	7997.669257	N
hsa-mir-103a-1	96902	22107.834727	Y
hsa-mir-103a-2	97020	22134.755993	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	36	8.213268	N
hsa-mir-105-2	36	8.213268	N
hsa-mir-106a	41	9.353999	Y
hsa-mir-106b	4760	1085.976485	N
hsa-mir-107	1017	232.024808	Y
hsa-mir-10a	15975	3644.637466	N
hsa-mir-10b	84173	19203.760216	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.228146	N
hsa-mir-1180	843	192.327348	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	23	5.247365	N
hsa-mir-1185-2	12	2.737756	N
hsa-mir-1193	1	0.228146	N
hsa-mir-1197	31	7.072536	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	215231	49104.160659	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	29	6.616243	N
hsa-mir-1227	1	0.228146	N
hsa-mir-1228	85	19.392437	N
hsa-mir-1229	9	2.053317	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	2	0.456293	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.228146	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	8	1.825171	N
hsa-mir-1249	6	1.368878	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	27	6.159951	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.228146	N
hsa-mir-1254-2	2	0.456293	N
hsa-mir-1255a	3	0.684439	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.228146	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.228146	N
hsa-mir-125a	304	69.356481	N
hsa-mir-125b-1	110	25.096095	N
hsa-mir-125b-2	118	26.921266	N
hsa-mir-126	19027	4340.940036	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.228146	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	38	8.669560	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4211	960.724155	N
hsa-mir-1269b	1638	373.703673	N
hsa-mir-127	26923	6142.383381	N
hsa-mir-1270	7	1.597024	N
hsa-mir-1271	6	1.368878	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.228146	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	4	0.912585	N
hsa-mir-1277	8	1.825171	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	763	174.075642	N
hsa-mir-128-2	583	133.009305	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.228146	N
hsa-mir-1284	3	0.684439	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	98	22.358339	N
hsa-mir-1288	11	2.509610	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.456293	N
hsa-mir-129-2	1	0.228146	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.684439	N
hsa-mir-1292	9	2.053317	N
hsa-mir-1293	1	0.228146	N
hsa-mir-1294	2	0.456293	N
hsa-mir-1295a	1	0.228146	N
hsa-mir-1295b	192	43.804093	N
