miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	88551	15104.529670	N
hsa-let-7a-2	88007	15011.737221	Y
hsa-let-7a-3	89319	15235.530775	N
hsa-let-7b	72647	12391.715135	N
hsa-let-7c	36822	6280.888883	Y
hsa-let-7d	2856	487.160357	N
hsa-let-7e	4410	752.232904	N
hsa-let-7f-1	65760	11216.969556	N
hsa-let-7f-2	66742	11384.473572	N
hsa-let-7g	7339	1251.845188	N
hsa-let-7i	1968	335.690330	N
hsa-mir-1-1	45	7.675846	N
hsa-mir-1-2	49	8.358143	N
hsa-mir-100	53832	9182.358654	Y
hsa-mir-101-1	106636	18189.366872	N
hsa-mir-101-2	108132	18444.546107	N
hsa-mir-103a-1	40044	6830.479454	Y
hsa-mir-103a-2	40096	6839.349320	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	22	3.752636	Y
hsa-mir-106b	1742	297.140526	N
hsa-mir-107	674	114.967115	Y
hsa-mir-10a	183136	31238.304996	N
hsa-mir-10b	11410	1946.253385	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.170574	N
hsa-mir-1180	68	11.599056	N
hsa-mir-1181	2	0.341149	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.170574	N
hsa-mir-1185-2	1	0.170574	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	258891	44160.165225	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.170574	N
hsa-mir-1226	2	0.341149	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	18	3.070338	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.341149	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
