miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	147122	19015.800918	N
hsa-let-7a-2	146790	18972.889281	Y
hsa-let-7a-3	146711	18962.678379	N
hsa-let-7b	200259	25883.860171	N
hsa-let-7c	52579	6795.936682	Y
hsa-let-7d	4528	585.252692	N
hsa-let-7e	7388	954.913182	N
hsa-let-7f-1	73780	9536.206629	N
hsa-let-7f-2	73386	9485.281373	N
hsa-let-7g	8710	1125.784220	N
hsa-let-7i	2948	381.034659	N
hsa-mir-1-1	52	6.721100	N
hsa-mir-1-2	51	6.591848	N
hsa-mir-100	128174	16566.735545	Y
hsa-mir-101-1	180286	23302.311580	N
hsa-mir-101-2	181126	23410.883193	N
hsa-mir-103a-1	36888	4767.844811	Y
hsa-mir-103a-2	37244	4813.858494	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	65	8.401375	Y
hsa-mir-106b	3071	396.932645	N
hsa-mir-107	1478	191.034337	Y
hsa-mir-10a	373846	48320.313141	N
hsa-mir-10b	27888	3604.577534	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	124	16.027238	N
hsa-mir-1181	2	0.258504	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.387756	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	263553	34064.731171	N
hsa-mir-1224	8	1.034015	N
hsa-mir-1225	2	0.258504	N
hsa-mir-1226	3	0.387756	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	41	5.299329	N
hsa-mir-1229	6	0.775512	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.129252	N
hsa-mir-124-1	1	0.129252	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.517008	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	185	23.911605	N
hsa-mir-1248	16	2.068031	N
hsa-mir-1249	14	1.809527	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	0.517008	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.387756	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	4	0.517008	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	111	14.346963	N
hsa-mir-125a	5167	667.844669	N
hsa-mir-125b-1	3709	479.395370	N
