miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	31478	6438.862106	N
hsa-let-7a-2	31359	6414.520516	Y
hsa-let-7a-3	31220	6386.087901	N
hsa-let-7b	34806	7119.608440	N
hsa-let-7c	14303	2925.695556	Y
hsa-let-7d	2244	459.012852	N
hsa-let-7e	2464	504.014112	N
hsa-let-7f-1	13640	2790.078122	N
hsa-let-7f-2	14177	2899.922107	N
hsa-let-7g	3735	763.998665	N
hsa-let-7i	1617	330.759261	N
hsa-mir-1-1	41	8.386598	N
hsa-mir-1-2	44	9.000252	N
hsa-mir-100	37851	7742.466789	Y
hsa-mir-101-1	130330	26659.155547	N
hsa-mir-101-2	131007	26797.636697	N
hsa-mir-103a-1	60951	12467.599093	Y
hsa-mir-103a-2	61317	12542.464825	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.204551	N
hsa-mir-105-2	2	0.409102	N
hsa-mir-106a	96	19.636913	Y
hsa-mir-106b	3041	622.040144	N
hsa-mir-107	497	101.661937	Y
hsa-mir-10a	241316	49361.473030	N
hsa-mir-10b	48050	9828.684294	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.409102	N
hsa-mir-1180	85	17.386850	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.613654	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	143266	29305.229637	N
hsa-mir-1224	1	0.204551	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.204551	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	1.227307	N
hsa-mir-1229	1	0.204551	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	1.636409	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	172	35.182803	N
hsa-mir-1248	16	3.272819	N
hsa-mir-1249	4	0.818205	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.409102	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	35	7.159291	N
hsa-mir-125a	2741	560.674790	N
hsa-mir-125b-1	2791	570.902349	N
hsa-mir-125b-2	2948	603.016884	N
hsa-mir-126	59977	12268.366242	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.204551	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	1.636409	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2257	461.672018	N
hsa-mir-1269b	4	0.818205	N
hsa-mir-127	5707	1167.373596	N
hsa-mir-1270	3	0.613654	N
hsa-mir-1271	23	4.704677	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.204551	N
hsa-mir-1276	1	0.204551	N
hsa-mir-1277	6	1.227307	N
hsa-mir-1278	1	0.204551	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	332	67.910992	N
hsa-mir-128-2	187	38.251071	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	2	0.409102	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.204551	N
hsa-mir-1287	82	16.773197	N
hsa-mir-1288	1	0.204551	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.818205	N
hsa-mir-129-2	7	1.431858	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.409102	N
hsa-mir-1292	2	0.409102	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.409102	N
hsa-mir-1295a	15	3.068268	N
hsa-mir-1295b	76	15.545890	N
hsa-mir-1296	45	9.204803	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	37	7.568394	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.409102	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	34	6.954740	N
hsa-mir-1307	7206	1473.995817	N
hsa-mir-130a	1098	224.597198	N
hsa-mir-130b	196	40.092032	N
hsa-mir-132	333	68.115544	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	6	1.227307	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	40	8.182047	Y
hsa-mir-133a-2	29	5.931984	Y
hsa-mir-133b	13	2.659165	Y
hsa-mir-134	2460	503.195908	N
hsa-mir-1343	4	0.818205	N
hsa-mir-135a-1	1	0.204551	N
hsa-mir-135a-2	2	0.409102	N
hsa-mir-135b	8	1.636409	N
hsa-mir-136	387	79.161307	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.204551	N
hsa-mir-138-2	3	0.613654	N
hsa-mir-139	2919	597.084900	N
hsa-mir-140	9040	1849.142685	N
hsa-mir-141	26	5.318331	N
hsa-mir-142	15357	3141.292502	N
hsa-mir-143	271559	55547.714427	N
hsa-mir-144	6568	1343.492163	N
hsa-mir-145	16492	3373.458093	N
hsa-mir-1468	190	38.864725	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	562	114.957764	N
hsa-mir-146b	2552	522.014616	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	4	0.818205	N
hsa-mir-148a	537175	109879.781179	N
hsa-mir-148b	871	178.164080	N
hsa-mir-149	62	12.682173	N
hsa-mir-150	5171	1057.734162	N
hsa-mir-151a	7086	1449.449676	N
hsa-mir-151b	13	2.659165	N
hsa-mir-152	1535	313.986064	N
hsa-mir-153-1	11	2.250063	N
hsa-mir-153-2	110	22.500630	N
