miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	84207	15921.202272	N
hsa-let-7a-2	84530	15982.272591	Y
hsa-let-7a-3	84934	16058.657758	N
hsa-let-7b	35027	6622.631753	N
hsa-let-7c	31666	5987.160107	Y
hsa-let-7d	5150	973.721801	N
hsa-let-7e	4600	869.732094	N
hsa-let-7f-1	80482	15216.908348	N
hsa-let-7f-2	81354	15381.779302	N
hsa-let-7g	7640	1444.511565	N
hsa-let-7i	1519	287.200663	N
hsa-mir-1-1	12	2.268866	N
hsa-mir-1-2	10	1.890722	N
hsa-mir-100	139294	26336.622244	Y
hsa-mir-101-1	138612	26207.675008	N
hsa-mir-101-2	140052	26479.938967	N
hsa-mir-103a-1	32364	6119.132499	Y
hsa-mir-103a-2	32355	6117.430849	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	21	3.970516	Y
hsa-mir-106b	2705	511.440286	N
hsa-mir-107	812	153.526622	Y
hsa-mir-10a	67247	12714.537856	N
hsa-mir-10b	101372	19166.626489	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	87	16.449281	N
hsa-mir-1181	2	0.378144	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.567217	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	365407	69088.303332	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.189072	N
hsa-mir-1226	2	0.378144	N
hsa-mir-1227	1	0.189072	N
hsa-mir-1228	12	2.268866	N
hsa-mir-1229	7	1.323505	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.189072	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.189072	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	9	1.701650	N
hsa-mir-1248	5	0.945361	N
hsa-mir-1249	7	1.323505	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	36	6.806599	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.189072	N
hsa-mir-1254-2	3	0.567217	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	61	11.533404	N
hsa-mir-125a	1203	227.453850	N
hsa-mir-125b-1	2953	558.330190	N
hsa-mir-125b-2	3506	662.887114	N
hsa-mir-126	76431	14450.976889	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	17	3.214227	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	53	10.020826	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1029	194.555288	N
hsa-mir-1269b	2	0.378144	N
hsa-mir-127	4534	857.253329	N
hsa-mir-1270	8	1.512578	N
hsa-mir-1271	6	1.134433	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.378144	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	53	10.020826	N
hsa-mir-1278	5	0.945361	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1396	263.944783	N
hsa-mir-128-2	1128	213.273435	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.945361	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	72	13.613198	N
hsa-mir-1288	4	0.756289	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	0.945361	N
hsa-mir-129-2	5	0.945361	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	1.134433	N
hsa-mir-1292	4	0.756289	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.189072	N
hsa-mir-1295a	2	0.378144	N
hsa-mir-1295b	275	51.994853	N
hsa-mir-1296	39	7.373816	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	90	17.016497	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.189072	N
hsa-mir-1304	5	0.945361	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	135	25.524746	N
hsa-mir-1307	22705	4292.884173	N
hsa-mir-130a	311	58.801452	N
hsa-mir-130b	273	51.616709	N
hsa-mir-132	284	53.696503	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	7	1.323505	Y
hsa-mir-133a-2	6	1.134433	Y
hsa-mir-133b	4	0.756289	Y
hsa-mir-134	1045	197.580443	N
hsa-mir-1343	18	3.403299	N
hsa-mir-135a-1	21	3.970516	N
hsa-mir-135a-2	28	5.294021	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	129	24.390313	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.189072	N
hsa-mir-138-2	5	0.945361	N
hsa-mir-139	1188	224.617767	N
hsa-mir-140	5917	1118.740174	N
hsa-mir-141	26	4.915877	N
hsa-mir-142	5565	1052.186762	N
hsa-mir-143	555365	105004.079233	N
hsa-mir-144	1306	246.928286	N
hsa-mir-145	5537	1046.892740	N
hsa-mir-1468	145	27.415468	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	106	20.041653	N
hsa-mir-146b	3141	593.875763	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	1.134433	N
hsa-mir-148a	736262	139206.671980	N
hsa-mir-148b	2328	440.160069	N
hsa-mir-149	30	5.672166	N
hsa-mir-150	782	147.854456	N
hsa-mir-151a	27044	5113.268425	N
hsa-mir-151b	59	11.155259	N
hsa-mir-152	11909	2251.660763	N
hsa-mir-153-1	1	0.189072	N
hsa-mir-153-2	23	4.348660	N
hsa-mir-1537	1	0.189072	N
hsa-mir-1538	3	0.567217	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	18	3.403299	N
hsa-mir-155	824	155.795488	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	587	110.985378	N
hsa-mir-15b	1296	245.037564	N
hsa-mir-16-1	1708	322.935308	N
hsa-mir-16-2	1795	339.384589	N
hsa-mir-17	1340	253.356740	Y
hsa-mir-181a-1	1424	269.238805	N
hsa-mir-181a-2	2397	453.206050	N
hsa-mir-181b-1	262	49.536915	N
hsa-mir-181b-2	225	42.541244	N
hsa-mir-181c	70	13.235054	N
hsa-mir-181d	13	2.457939	N
hsa-mir-182	3745	708.075368	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1209	228.588283	N
hsa-mir-184	2	0.378144	N
hsa-mir-185	668	126.300226	N
hsa-mir-186	3248	614.106487	N
hsa-mir-187	0	0.000000	N
hsa-mir-188	20	3.781444	N
hsa-mir-18a	14	2.647011	Y
hsa-mir-18b	3	0.567217	Y
hsa-mir-1908	1	0.189072	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	25	4.726805	N
hsa-mir-190b	0	0.000000	N
hsa-mir-191	4297	812.443219	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.189072	N
hsa-mir-1915	1	0.189072	N
hsa-mir-192	186281	35220.557442	Y
hsa-mir-193a	5807	1097.942233	N
hsa-mir-193b	922	174.324563	N
hsa-mir-194-1	27983	5290.807215	N
hsa-mir-194-2	29446	5567.419836	N
hsa-mir-195	192	36.301861	N
hsa-mir-196a-1	1	0.189072	N
hsa-mir-196a-2	0	0.000000	N
hsa-mir-196b	17	3.214227	N
hsa-mir-197	3697	698.999903	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	52	9.831754	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	1026	193.988071	Y
hsa-mir-199a-2	1812	342.598816	Y
hsa-mir-199b	2191	414.257178	Y
hsa-mir-19a	37	6.995671	N
hsa-mir-19b-1	125	23.634024	N
hsa-mir-19b-2	81	15.314848	N
hsa-mir-200a	8	1.512578	N
hsa-mir-200b	6	1.134433	N
hsa-mir-200c	149	28.171757	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	383	72.414650	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	94	17.772786	N
hsa-mir-205	1	0.189072	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	366	69.200423	N
hsa-mir-20b	16	3.025155	N
hsa-mir-21	302764	57244.253860	N
hsa-mir-210	1238	234.071377	N
hsa-mir-211	6	1.134433	N
hsa-mir-2110	13	2.457939	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	4	0.756289	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	33	6.239382	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	20	3.781444	N
hsa-mir-214	24	4.537733	N
hsa-mir-215	2643	499.717810	Y
hsa-mir-216a	226	42.730316	N
hsa-mir-216b	315	59.557741	N
hsa-mir-217	5755	1088.110479	N
hsa-mir-218-1	45	8.508249	N
hsa-mir-218-2	46	8.697321	N
hsa-mir-219a-1	40	7.562888	N
hsa-mir-219a-2	3	0.567217	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	957255	180990.303433	N
hsa-mir-221	264	49.915059	N
hsa-mir-222	102	19.285364	N
hsa-mir-223	410	77.519600	N
hsa-mir-224	60	11.344332	N
