miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	68315	10131.224682	N
hsa-let-7a-2	68658	10182.092135	N
hsa-let-7a-3	68694	10187.430993	N
hsa-let-7b	42721	6335.593203	N
hsa-let-7c	1474	218.596577	N
hsa-let-7d	4708	698.203993	N
hsa-let-7e	20579	3051.898891	N
hsa-let-7f-1	45669	6772.786357	N
hsa-let-7f-2	45973	6817.870048	N
hsa-let-7g	7641	1133.172624	N
hsa-let-7i	2431	360.521221	N
hsa-mir-1-1	3	0.444905	N
hsa-mir-1-2	3	0.444905	N
hsa-mir-100	64743	9601.491321	Y
hsa-mir-101-1	118654	17596.579572	N
hsa-mir-101-2	120033	17801.087496	N
hsa-mir-103a-1	90632	13440.871776	Y
hsa-mir-103a-2	90345	13398.309213	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.148302	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	202	29.956926	Y
hsa-mir-106b	5043	747.885034	N
hsa-mir-107	1197	177.517031	Y
hsa-mir-10a	53601	7949.114751	N
hsa-mir-10b	261957	38848.645598	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.296603	N
hsa-mir-1180	408	60.507058	N
hsa-mir-1181	1	0.148302	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.779619	N
hsa-mir-1185-2	4	0.593206	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	7	1.038111	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	579798	85984.978530	N
hsa-mir-1224	4	0.593206	N
hsa-mir-1225	1	0.148302	N
hsa-mir-1226	7	1.038111	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.593206	N
hsa-mir-1229	6	0.889810	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.148302	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.148302	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.148302	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	5	0.741508	N
hsa-mir-1249	7	1.038111	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.296603	N
hsa-mir-1254-2	2	0.296603	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	7328	1086.754219	N
hsa-mir-125b-1	1374	203.766416	N
hsa-mir-125b-2	1319	195.609827	N
hsa-mir-126	46419	6884.012567	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.296603	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	10	1.483016	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
