miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	68881	10549.196554	N
hsa-let-7a-2	68855	10545.214627	Y
hsa-let-7a-3	69041	10573.700720	N
hsa-let-7b	34653	5307.142872	N
hsa-let-7c	20721	3173.442630	Y
hsa-let-7d	1924	294.662594	N
hsa-let-7e	3292	504.173213	N
hsa-let-7f-1	44980	6888.733628	N
hsa-let-7f-2	46711	7153.838072	N
hsa-let-7g	6067	929.167339	N
hsa-let-7i	1004	153.763641	N
hsa-mir-1-1	5	0.765755	N
hsa-mir-1-2	9	1.378359	N
hsa-mir-100	89981	13780.683427	Y
hsa-mir-101-1	152094	23293.353766	N
hsa-mir-101-2	156004	23892.174319	N
hsa-mir-103a-1	63007	9649.587365	Y
hsa-mir-103a-2	63577	9736.883456	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	225	34.458983	N
hsa-mir-105-2	234	35.837343	N
hsa-mir-106a	72	11.026875	Y
hsa-mir-106b	2354	360.517540	N
hsa-mir-107	909	139.214292	Y
hsa-mir-10a	33793	5175.432981	N
hsa-mir-10b	197797	30292.815593	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	82	12.558385	N
hsa-mir-1181	2	0.306302	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	224725	34416.866707	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	1.225208	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.612604	N
hsa-mir-1229	1	0.153151	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	0.612604	N
hsa-mir-1248	1	0.153151	N
hsa-mir-1249	10	1.531510	N
hsa-mir-1250	1	0.153151	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.306302	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.306302	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.153151	N
hsa-mir-1257	1	0.153151	N
hsa-mir-1258	13	1.990963	N
hsa-mir-125a	1161	177.808354	N
hsa-mir-125b-1	4302	658.855760	N
hsa-mir-125b-2	4687	717.818909	N
hsa-mir-126	30888	4730.529220	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	1.990963	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	32	4.900833	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2587	396.201732	N
hsa-mir-1269b	3	0.459453	N
hsa-mir-127	1251	191.591947	N
hsa-mir-1270	2	0.306302	N
hsa-mir-1271	33	5.053984	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.306302	N
hsa-mir-1277	18	2.756719	N
hsa-mir-1278	1	0.153151	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	836	128.034267	N
hsa-mir-128-2	483	73.971951	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.153151	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.306302	N
hsa-mir-1285-1	1	0.153151	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	5	0.765755	N
hsa-mir-1288	4	0.612604	N
hsa-mir-1289-1	1	0.153151	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	0.765755	N
hsa-mir-129-2	0	0.000000	N
