miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	66652	11280.483471	N
hsa-let-7a-2	66035	11176.059623	Y
hsa-let-7a-3	66124	11191.122382	N
hsa-let-7b	31691	5363.527001	N
hsa-let-7c	7394	1251.393728	Y
hsa-let-7d	1022	172.967865	N
hsa-let-7e	4654	787.663837	N
hsa-let-7f-1	28261	4783.018414	N
hsa-let-7f-2	29011	4909.951779	N
hsa-let-7g	3393	574.246540	N
hsa-let-7i	2025	342.720084	N
hsa-mir-1-1	68	11.508625	N
hsa-mir-1-2	67	11.339381	N
hsa-mir-100	21526	3643.156802	N
hsa-mir-101-1	30399	5144.863125	N
hsa-mir-101-2	31141	5270.442534	N
hsa-mir-103a-1	84992	14384.427341	Y
hsa-mir-103a-2	85913	14540.301512	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	682	115.424739	N
hsa-mir-105-2	592	100.192736	N
hsa-mir-106a	18	3.046401	Y
hsa-mir-106b	4281	724.535644	N
hsa-mir-107	946	160.105284	Y
hsa-mir-10a	107054	18118.299188	N
hsa-mir-10b	39803	6736.438270	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	229	38.756987	N
hsa-mir-1181	1	0.169244	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.507733	N
hsa-mir-1185-2	1	0.169244	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	39266	6645.553981	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.846222	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	1.861689	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.169244	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.169244	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	22	3.723379	N
hsa-mir-1248	14	2.369423	N
hsa-mir-1249	4	0.676978	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	63	10.662403	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.507733	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.169244	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.169244	N
hsa-mir-125a	2170	367.260534	N
hsa-mir-125b-1	1156	195.646626	N
hsa-mir-125b-2	1194	202.077916	N
hsa-mir-126	22145	3747.919139	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.169244	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.338489	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	91	15.401248	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	328	55.512191	N
hsa-mir-1269b	3	0.507733	N
hsa-mir-127	1577	266.898554	N
hsa-mir-1270	34	5.754313	N
hsa-mir-1271	7	1.184711	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.169244	N
hsa-mir-1276	2	0.338489	N
hsa-mir-1277	30	5.077335	N
hsa-mir-1278	2	0.338489	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2059	348.474396	N
hsa-mir-128-2	1233	208.678451	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.338489	N
hsa-mir-1285-1	2	0.338489	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	3	0.507733	N
hsa-mir-1287	216	36.556809	N
hsa-mir-1288	5	0.846222	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.169244	N
hsa-mir-129-2	1	0.169244	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.507733	N
hsa-mir-1292	3	0.507733	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	4	0.676978	N
hsa-mir-1295b	37	6.262046	N
hsa-mir-1296	37	6.262046	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	84	14.216537	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.338489	N
hsa-mir-1304	2	0.338489	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	102	17.262938	N
hsa-mir-1307	12166	2059.028415	N
hsa-mir-130a	280	47.388456	N
hsa-mir-130b	776	131.333721	N
hsa-mir-132	587	99.346513	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	27	4.569601	Y
hsa-mir-133a-2	9	1.523200	N
hsa-mir-133b	7	1.184711	Y
hsa-mir-134	372	62.958949	N
