miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	100452	11335.948505	N
hsa-let-7a-2	100404	11330.531734	N
hsa-let-7a-3	101014	11399.369871	N
hsa-let-7b	57590	6498.997277	N
hsa-let-7c	16723	1887.180612	N
hsa-let-7d	3909	441.128327	N
hsa-let-7e	30510	3443.035369	N
hsa-let-7f-1	74673	8426.803675	N
hsa-let-7f-2	74868	8448.809309	N
hsa-let-7g	5603	632.295220	N
hsa-let-7i	2528	285.283298	N
hsa-mir-1-1	432	48.750943	N
hsa-mir-1-2	407	45.929708	N
hsa-mir-100	70925	8003.844102	N
hsa-mir-101-1	55090	6216.873762	N
hsa-mir-101-2	56026	6322.500806	N
hsa-mir-103a-1	93986	10606.264248	Y
hsa-mir-103a-2	94205	10630.978268	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.112849	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	160	18.055905	Y
hsa-mir-106b	5948	671.228265	N
hsa-mir-107	1243	140.271811	Y
hsa-mir-10a	248420	28034.049374	N
hsa-mir-10b	93974	10604.910055	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	129	14.557573	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.677096	N
hsa-mir-1185-2	2	0.225699	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	1	0.112849	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	79674	8991.163553	N
hsa-mir-1224	10	1.128494	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	0.902795	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	1.128494	N
hsa-mir-1229	5	0.564247	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.112849	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.112849	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.112849	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.015645	N
hsa-mir-1245b	1	0.112849	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	447	50.443684	N
hsa-mir-1248	36	4.062579	N
hsa-mir-1249	7	0.789946	N
hsa-mir-1250	1	0.112849	N
hsa-mir-1251	6	0.677096	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.677096	N
hsa-mir-1254-2	7	0.789946	N
hsa-mir-1255a	1	0.112849	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.112849	N
hsa-mir-1257	1	0.112849	N
hsa-mir-1258	2	0.225699	N
hsa-mir-125a	7156	807.550347	N
hsa-mir-125b-1	3153	355.814176	N
hsa-mir-125b-2	3354	378.496907	N
hsa-mir-126	34800	3927.159320	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.789946	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	1	0.112849	N
hsa-mir-1266	18	2.031289	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6822	769.858646	N
hsa-mir-1269b	3	0.338548	N
hsa-mir-127	6538	737.809415	N
hsa-mir-1270	5	0.564247	N
hsa-mir-1271	11	1.241343	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.451398	N
hsa-mir-1276	7	0.789946	N
hsa-mir-1277	11	1.241343	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	840	94.793501	N
hsa-mir-128-2	655	73.916361	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.564247	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	109	12.300585	N
hsa-mir-1288	6	0.677096	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	11	1.241343	N
hsa-mir-129-2	11	1.241343	N
hsa-mir-1290	1	0.112849	N
hsa-mir-1291	5	0.564247	N
hsa-mir-1292	7	0.789946	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.112849	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	16	1.805590	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	62	6.996663	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.338548	N
hsa-mir-1305	1	0.112849	N
hsa-mir-1306	44	4.965374	N
hsa-mir-1307	10906	1230.735619	N
hsa-mir-130a	829	93.552157	N
hsa-mir-130b	205	23.134128	N
hsa-mir-132	1074	121.200262	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	102	11.510639	Y
hsa-mir-133a-2	94	10.607844	Y
hsa-mir-133b	11	1.241343	Y
hsa-mir-134	1712	193.198183	N
hsa-mir-1343	1	0.112849	N
hsa-mir-135a-1	4	0.451398	N
hsa-mir-135a-2	9	1.015645	N
hsa-mir-135b	3	0.338548	N
hsa-mir-136	668	75.383403	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.112849	N
hsa-mir-138-2	3	0.338548	N
hsa-mir-139	1356	153.023794	N
hsa-mir-140	16701	1884.697925	N
hsa-mir-141	11	1.241343	N
hsa-mir-142	6946	783.851972	N
hsa-mir-143	1518918	171408.993669	N
hsa-mir-144	3040	343.062193	N
hsa-mir-145	20339	2295.244063	N
hsa-mir-1468	53	5.981019	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	381	42.995624	N
hsa-mir-146b	3862	435.824405	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	673891	76048.198884	N
hsa-mir-148b	1795	202.564683	N
hsa-mir-149	19	2.144139	N
hsa-mir-150	3002	338.773916	N
hsa-mir-151a	16540	1866.529171	N
hsa-mir-151b	11	1.241343	N
hsa-mir-152	2573	290.361521	N
hsa-mir-153-1	2	0.225699	N
hsa-mir-153-2	39	4.401127	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	61	6.883814	N
hsa-mir-155	756	85.314151	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1604	181.010447	N
hsa-mir-15b	1059	119.507521	N
hsa-mir-16-1	1219	137.563426	N
hsa-mir-16-2	1242	140.158962	N
hsa-mir-17	52947	5975.037486	Y
hsa-mir-181a-1	4362	492.249108	N
hsa-mir-181a-2	8350	942.292538	N
hsa-mir-181b-1	978	110.366719	N
hsa-mir-181b-2	978	110.366719	N
hsa-mir-181c	536	60.487281	N
hsa-mir-181d	108	12.187736	N
hsa-mir-182	93052	10500.862903	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	47378	5346.579145	N
