miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	41938	17383.331516	N
hsa-let-7a-2	41873	17356.388969	N
hsa-let-7a-3	42262	17517.629752	N
hsa-let-7b	23028	9545.122756	N
hsa-let-7c	10210	4232.052429	N
hsa-let-7d	1094	453.463796	N
hsa-let-7e	3148	1304.848291	N
hsa-let-7f-1	24947	10340.549653	N
hsa-let-7f-2	25679	10643.964185	N
hsa-let-7g	2455	1017.599286	N
hsa-let-7i	797	330.357080	N
hsa-mir-1-1	32	13.264023	N
hsa-mir-1-2	21	8.704515	N
hsa-mir-100	22580	9359.426430	N
hsa-mir-101-1	27804	11524.778232	N
hsa-mir-101-2	28189	11684.361012	N
hsa-mir-103a-1	54375	22538.477066	Y
hsa-mir-103a-2	54252	22487.493477	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	7	2.901505	N
hsa-mir-105-2	2	0.829001	N
hsa-mir-106a	32	13.264023	Y
hsa-mir-106b	872	361.444635	N
hsa-mir-107	381	157.924777	Y
hsa-mir-10a	58462	24232.541540	N
hsa-mir-10b	25649	10631.529164	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.414501	N
hsa-mir-1180	10	4.145007	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.414501	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	55100	22838.990094	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.829001	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.414501	N
hsa-mir-1229	3	1.243502	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.414501	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	11	4.559508	N
hsa-mir-1248	4	1.658003	N
hsa-mir-1249	2	0.829001	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.414501	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.414501	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	2.901505	N
hsa-mir-125a	1280	530.560931	N
hsa-mir-125b-1	1071	443.930279	N
hsa-mir-125b-2	1188	492.426864	N
hsa-mir-126	13085	5423.742021	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.414501	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	2.487004	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	25	10.362518	N
hsa-mir-1269b	7	2.901505	N
hsa-mir-127	1013	419.889237	N
hsa-mir-1270	2	0.829001	N
hsa-mir-1271	1	0.414501	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	5	2.072504	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	711	294.710017	N
hsa-mir-128-2	259	107.355688	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	31	12.849523	N
hsa-mir-1288	1	0.414501	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	2	0.829001	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.829001	N
hsa-mir-1292	2	0.829001	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	26	10.777019	N
hsa-mir-1296	4	1.658003	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	18	7.461013	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.414501	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	11	4.559508	N
hsa-mir-1307	3712	1538.626701	N
hsa-mir-130a	160	66.320116	N
hsa-mir-130b	48	19.896035	N
hsa-mir-132	153	63.418611	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	8	3.316006	Y
hsa-mir-133a-2	16	6.632012	N
hsa-mir-133b	1	0.414501	Y
hsa-mir-134	430	178.235313	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	2	0.829001	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	77	31.916556	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.414501	N
hsa-mir-139	796	329.942579	N
hsa-mir-140	4217	1747.949569	N
hsa-mir-141	7	2.901505	N
hsa-mir-142	3030	1255.937205	N
hsa-mir-143	99932	41421.886716	N
hsa-mir-144	465	192.742838	N
hsa-mir-145	4180	1732.613042	N
hsa-mir-1468	34	14.093025	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	117	48.496585	N
hsa-mir-146b	6404	2654.462660	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	266222	110349.212718	N
hsa-mir-148b	270	111.915196	N
hsa-mir-149	6	2.487004	N
hsa-mir-150	696	288.492506	N
hsa-mir-151a	2791	1156.871531	N
hsa-mir-151b	5	2.072504	N
hsa-mir-152	522	216.369380	N
hsa-mir-153-1	5	2.072504	N
hsa-mir-153-2	80	33.160058	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	12	4.974009	N
hsa-mir-155	356	147.562259	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	754	312.533549	N
hsa-mir-15b	375	155.437773	N
hsa-mir-16-1	342	141.759249	N
hsa-mir-16-2	330	136.785240	N
hsa-mir-17	2503	1037.495321	Y
hsa-mir-181a-1	1510	625.896099	N
hsa-mir-181a-2	2784	1153.970026	N
