miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	36947	7933.193437	N
hsa-let-7a-2	36663	7872.213468	N
hsa-let-7a-3	36899	7922.886964	N
hsa-let-7b	25260	5423.781802	N
hsa-let-7c	6194	1329.964548	N
hsa-let-7d	1833	393.578466	N
hsa-let-7e	12706	2728.209484	N
hsa-let-7f-1	25077	5384.488371	N
hsa-let-7f-2	26406	5669.848862	N
hsa-let-7g	2968	637.283626	N
hsa-let-7i	1133	243.275724	N
hsa-mir-1-1	14	3.006055	N
hsa-mir-1-2	5	1.073591	N
hsa-mir-100	13803	2963.755353	N
hsa-mir-101-1	49477	10623.612518	N
hsa-mir-101-2	50458	10834.251075	N
hsa-mir-103a-1	134864	28957.755697	Y
hsa-mir-103a-2	134443	28867.359333	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	729	156.529570	N
hsa-mir-105-2	769	165.118298	N
hsa-mir-106a	25	5.367955	Y
hsa-mir-106b	1135	243.705160	N
hsa-mir-107	1084	232.754532	Y
hsa-mir-10a	26753	5744.356078	N
hsa-mir-10b	109985	23615.781530	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.214718	N
hsa-mir-1180	201	43.158359	N
hsa-mir-1181	2	0.429436	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	14	3.006055	N
hsa-mir-1185-2	8	1.717746	N
hsa-mir-1193	1	0.214718	N
hsa-mir-1197	10	2.147182	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	80421	17267.852584	N
hsa-mir-1224	1	0.214718	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.503027	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.644155	N
hsa-mir-1229	5	1.073591	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.429436	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	8	1.717746	N
hsa-mir-1248	2	0.429436	N
hsa-mir-1249	1	0.214718	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.214718	N
hsa-mir-1254-2	2	0.429436	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.429436	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	4748	1019.482027	N
hsa-mir-125b-1	589	126.469021	N
hsa-mir-125b-2	593	127.327894	N
hsa-mir-126	18532	3979.157733	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	1.288309	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	19	4.079646	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	14245	3058.660798	N
hsa-mir-1269b	1	0.214718	N
hsa-mir-127	23468	5039.006782	N
hsa-mir-1270	35	7.515137	N
hsa-mir-1271	5	1.073591	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.644155	N
hsa-mir-1276	1	0.214718	N
hsa-mir-1277	16	3.435491	N
hsa-mir-1278	2	0.429436	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	552	118.524448	N
hsa-mir-128-2	304	65.274334	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	68	14.600838	N
hsa-mir-1283-2	99	21.257102	Y
hsa-mir-1284	1	0.214718	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	743	159.535625	N
hsa-mir-1288	8	1.717746	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.214718	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.429436	N
hsa-mir-1292	3	0.644155	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.214718	N
hsa-mir-1295a	2	0.429436	N
hsa-mir-1295b	142	30.489985	N
