miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	18781	7558.671161	N
hsa-let-7a-2	19052	7667.738830	Y
hsa-let-7a-3	19239	7742.999546	N
hsa-let-7b	5978	2405.928130	N
hsa-let-7c	1061	427.014009	Y
hsa-let-7d	483	194.389978	N
hsa-let-7e	2319	933.313371	N
hsa-let-7f-1	9276	3733.253485	N
hsa-let-7f-2	10204	4106.739818	N
hsa-let-7g	1018	409.708069	N
hsa-let-7i	289	116.312016	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	1	0.402464	N
hsa-mir-100	13915	5600.282691	Y
hsa-mir-101-1	19729	7940.206770	N
hsa-mir-101-2	19919	8016.674877	N
hsa-mir-103a-1	74711	30068.467128	Y
hsa-mir-103a-2	74695	30062.027709	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	769	309.494602	N
hsa-mir-105-2	796	320.361123	N
hsa-mir-106a	8	3.219710	Y
hsa-mir-106b	1767	711.153397	N
hsa-mir-107	1132	455.588933	Y
hsa-mir-10a	8343	3357.754832	N
hsa-mir-10b	16521	6649.103150	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	163	65.601587	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	20	8.049274	N
hsa-mir-1185-2	6	2.414782	N
hsa-mir-1193	2	0.804927	N
hsa-mir-1197	19	7.646811	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
