miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	43954	10583.248880	N
hsa-let-7a-2	43511	10476.583292	N
hsa-let-7a-3	43477	10468.396768	N
hsa-let-7b	21199	5104.297516	N
hsa-let-7c	10809	2602.592190	N
hsa-let-7d	4580	1102.772896	N
hsa-let-7e	894	215.257417	N
hsa-let-7f-1	33826	8144.627943	N
hsa-let-7f-2	34999	8427.063010	N
hsa-let-7g	6538	1574.220348	N
hsa-let-7i	1194	287.491449	N
hsa-mir-1-1	3	0.722340	N
hsa-mir-1-2	0	0.000000	N
hsa-mir-100	954	229.704223	N
hsa-mir-101-1	52562	12655.884052	N
hsa-mir-101-2	53770	12946.746423	N
hsa-mir-103a-1	71088	17116.576338	Y
hsa-mir-103a-2	71421	17196.756114	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.481560	N
hsa-mir-106a	55	13.242906	Y
hsa-mir-106b	4014	966.491355	N
hsa-mir-107	685	164.934374	Y
hsa-mir-10a	17005	4094.465741	N
hsa-mir-10b	31942	7690.998219	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	78	18.780848	N
hsa-mir-1181	1	0.240780	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	49873	12008.426341	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.444681	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	2.407801	N
hsa-mir-1229	3	0.722340	N
hsa-mir-1231	1	0.240780	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.240780	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	201	48.396802	N
hsa-mir-1248	1	0.240780	N
hsa-mir-1249	11	2.648581	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	2	0.481560	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	1.444681	N
hsa-mir-1254-2	5	1.203901	N
hsa-mir-1255a	5	1.203901	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.481560	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	25	6.019503	N
hsa-mir-125a	299	71.993252	N
hsa-mir-125b-1	788	189.734725	N
hsa-mir-125b-2	895	215.498197	N
hsa-mir-126	21510	5179.180129	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.481560	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	77	18.540068	N
