miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	54093	7557.820618	N
hsa-let-7a-2	53780	7514.088567	Y
hsa-let-7a-3	54079	7555.864552	N
hsa-let-7b	17771	2482.946596	N
hsa-let-7c	17272	2413.226808	Y
hsa-let-7d	2362	330.016311	N
hsa-let-7e	1896	264.907250	N
hsa-let-7f-1	55156	7706.341930	N
hsa-let-7f-2	56851	7943.165658	N
hsa-let-7g	6154	859.830811	N
hsa-let-7i	842	117.643410	N
hsa-mir-1-1	11	1.536909	N
hsa-mir-1-2	4	0.558876	N
hsa-mir-100	31618	4417.635781	N
hsa-mir-101-1	50075	6996.429620	N
hsa-mir-101-2	50595	7069.083508	N
hsa-mir-103a-1	104843	14648.560573	Y
hsa-mir-103a-2	104873	14652.752143	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.279438	N
hsa-mir-106a	23	3.213537	Y
hsa-mir-106b	3409	476.302118	N
hsa-mir-107	1418	198.121562	Y
hsa-mir-10a	7866	1099.029763	N
hsa-mir-10b	46510	6498.331336	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	122	17.045720	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.139719	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.419157	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	142959	19974.090506	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.279438	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	1.536909	N
hsa-mir-1229	2	0.279438	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.139719	N
hsa-mir-1238	1	0.139719	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.139719	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.139719	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1	0.139719	N
hsa-mir-1248	7	0.978033	N
hsa-mir-1249	5	0.698595	N
hsa-mir-1250	1	0.139719	N
hsa-mir-1251	2	0.279438	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.279438	N
hsa-mir-1255a	2	0.279438	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	285	39.819919	N
hsa-mir-125b-1	1510	210.975711	N
hsa-mir-125b-2	1823	254.707762	N
hsa-mir-126	16551	2312.489399	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	26	3.632694	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	10	1.397190	N
hsa-mir-1269b	43	6.007918	N
hsa-mir-127	2375	331.832658	N
hsa-mir-1270	5	0.698595	N
hsa-mir-1271	1	0.139719	N
