miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	50203	7950.562492	N
hsa-let-7a-2	50612	8015.335117	N
hsa-let-7a-3	50762	8039.090358	N
hsa-let-7b	40458	6407.263656	N
hsa-let-7c	14551	2304.416764	N
hsa-let-7d	3571	565.533109	N
hsa-let-7e	3983	630.780838	N
hsa-let-7f-1	27460	4348.792822	N
hsa-let-7f-2	28349	4489.582218	N
hsa-let-7g	5618	889.712967	N
hsa-let-7i	2258	357.595564	N
hsa-mir-1-1	17	2.692261	N
hsa-mir-1-2	20	3.167365	N
hsa-mir-100	31112	4927.153761	N
hsa-mir-101-1	73041	11567.377149	N
hsa-mir-101-2	73689	11669.999791	N
hsa-mir-103a-1	73548	11647.669864	Y
hsa-mir-103a-2	73737	11677.601468	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	434	68.731831	N
hsa-mir-105-2	441	69.840409	N
hsa-mir-106a	34	5.384521	Y
hsa-mir-106b	3388	536.551715	N
hsa-mir-107	903	143.006552	Y
hsa-mir-10a	67226	10646.465632	N
hsa-mir-10b	53152	8417.590534	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	53	8.393519	N
hsa-mir-1181	2	0.316737	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.316737	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.158368	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	179424	28415.069311	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	1	0.158368	N
hsa-mir-1228	19	3.008997	N
hsa-mir-1229	10	1.583683	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.158368	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.475105	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	11	1.742051	N
hsa-mir-1248	5	0.791841	N
hsa-mir-1249	25	3.959207	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.158368	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.316737	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.158368	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.158368	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1709	270.651381	N
hsa-mir-125b-1	1650	261.307653	N
hsa-mir-125b-2	1796	284.429421	N
hsa-mir-126	37762	5980.302787	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	36	5.701258	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4077	645.667456	N
hsa-mir-1269b	1103	174.680207	N
hsa-mir-127	1617	256.081500	N
hsa-mir-1270	10	1.583683	N
hsa-mir-1271	5	0.791841	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.158368	N
hsa-mir-1276	1	0.158368	N
hsa-mir-1277	14	2.217156	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1218	192.892559	N
hsa-mir-128-2	916	145.065340	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.158368	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	1	0.158368	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	51	8.076782	N
hsa-mir-1288	2	0.316737	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	1.108578	N
hsa-mir-129-2	2	0.316737	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.158368	N
hsa-mir-1292	1	0.158368	N
hsa-mir-1293	1	0.158368	N
hsa-mir-1294	2	0.316737	N
hsa-mir-1295a	359	56.854211	N
hsa-mir-1295b	130	20.587876	N
hsa-mir-1296	62	9.818833	N
