miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	10111	2866.073496	N
hsa-let-7a-2	9934	2815.900911	N
hsa-let-7a-3	10236	2901.506113	N
hsa-let-7b	5592	1585.113539	N
hsa-let-7c	834	236.406418	N
hsa-let-7d	719	203.808411	N
hsa-let-7e	1203	341.003503	N
hsa-let-7f-1	4413	1250.913099	N
hsa-let-7f-2	4670	1323.762558	N
hsa-let-7g	1134	321.444698	N
hsa-let-7i	862	244.343324	N
hsa-mir-1-1	17	4.818836	N
hsa-mir-1-2	10	2.834609	N
hsa-mir-100	7525	2133.043523	N
hsa-mir-101-1	14454	4097.144330	N
hsa-mir-101-2	14889	4220.449835	N
hsa-mir-103a-1	112082	31770.868323	Y
hsa-mir-103a-2	112848	31987.999398	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	528	149.667373	N
hsa-mir-105-2	512	145.131998	N
hsa-mir-106a	149	42.235679	Y
hsa-mir-106b	1794	508.528914	N
hsa-mir-107	520	147.399685	Y
hsa-mir-10a	38791	10995.733063	N
hsa-mir-10b	151298	42887.072282	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.850383	N
hsa-mir-1180	66	18.708422	N
hsa-mir-1181	1	0.283461	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	17	4.818836	N
hsa-mir-1185-2	6	1.700766	N
hsa-mir-1193	2	0.566922	N
hsa-mir-1197	12	3.401531	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	56825	16107.667533	N
hsa-mir-1224	1	0.283461	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	3.968453	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	15	4.251914	N
hsa-mir-1229	3	0.850383	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.283461	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	2	0.566922	N
hsa-mir-1249	4	1.133844	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	1.133844	N
hsa-mir-1254-2	4	1.133844	N
hsa-mir-1255a	1	0.283461	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	883	250.296004	N
hsa-mir-125b-1	352	99.778249	N
hsa-mir-125b-2	365	103.463241	N
hsa-mir-126	30082	8527.071795	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.850383	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	1.984227	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2507	710.636560	N
hsa-mir-1269b	869	246.327551	N
hsa-mir-127	20126	5704.934743	N
hsa-mir-1270	23	6.519601	N
hsa-mir-1271	10	2.834609	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.283461	N
hsa-mir-1275	1	0.283461	N
hsa-mir-1276	3	0.850383	N
hsa-mir-1277	8	2.267687	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	418	118.486670	N
hsa-mir-128-2	214	60.660640	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	184	52.156812	N
hsa-mir-1283-2	253	71.715616	Y
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	2	0.566922	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	14	3.968453	N
hsa-mir-1288	7	1.984227	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.566922	N
hsa-mir-129-2	1	0.283461	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	1.417305	N
hsa-mir-1292	4	1.133844	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.283461	N
hsa-mir-1295b	66	18.708422	N
hsa-mir-1296	6	1.700766	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	69	19.558804	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	19	5.385758	N
hsa-mir-1307	11060	3135.077922	N
hsa-mir-130a	239	67.747163	N
hsa-mir-130b	80	22.676875	N
hsa-mir-132	531	150.517756	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	531	150.517756	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	7	1.984227	N
hsa-mir-133a-2	6	1.700766	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	5546	1572.074336	N
hsa-mir-1343	1	0.283461	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	6	1.700766	N
hsa-mir-136	3638	1031.230875	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	2	0.566922	N
hsa-mir-139	428	121.321279	N
hsa-mir-140	8880	2517.133087	N
