miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	10688	7249.940477	N
hsa-let-7a-2	10692	7252.653778	N
hsa-let-7a-3	10756	7296.066595	N
hsa-let-7b	3283	2226.941859	N
hsa-let-7c	1419	962.543557	N
hsa-let-7d	405	274.721734	N
hsa-let-7e	1647	1117.201718	N
hsa-let-7f-1	5350	3629.040190	N
hsa-let-7f-2	5518	3742.998835	N
hsa-let-7g	792	537.233613	N
hsa-let-7i	314	212.994135	N
hsa-mir-1-1	5	3.391626	N
hsa-mir-1-2	6	4.069952	N
hsa-mir-100	2150	1458.399329	N
hsa-mir-101-1	5845	3964.811198	N
hsa-mir-101-2	6033	4092.336349	N
hsa-mir-103a-1	41630	28238.680956	Y
hsa-mir-103a-2	41804	28356.709553	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	182	123.455199	N
hsa-mir-105-2	179	121.420223	N
hsa-mir-106a	14	9.496554	Y
hsa-mir-106b	1635	1109.061815	N
hsa-mir-107	201	136.343379	Y
hsa-mir-10a	9132	6194.466358	N
hsa-mir-10b	40309	27342.613275	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	49	33.237938	N
hsa-mir-1181	1	0.678325	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	16003	10855.239283	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.678325	N
hsa-mir-1226	6	4.069952	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	6.104927	N
hsa-mir-1229	3	2.034976	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.678325	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	9	6.104927	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	5	3.391626	N
hsa-mir-1252	0	0.000000	N
