miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	58342	9423.504490	N
hsa-let-7a-2	58407	9434.003406	Y
hsa-let-7a-3	59869	9670.148269	N
hsa-let-7b	42121	6803.459474	N
hsa-let-7c	10323	1667.389477	Y
hsa-let-7d	927	149.730703	N
hsa-let-7e	4688	757.214169	N
hsa-let-7f-1	12600	2035.174601	N
hsa-let-7f-2	12749	2059.241348	N
hsa-let-7g	1099	177.512451	N
hsa-let-7i	907	146.500267	N
hsa-mir-1-1	33	5.330219	N
hsa-mir-1-2	54	8.722177	N
hsa-mir-100	17632	2847.952267	Y
hsa-mir-101-1	26996	4360.442344	N
hsa-mir-101-2	27419	4428.766062	N
hsa-mir-103a-1	57932	9357.280554	Y
hsa-mir-103a-2	57713	9321.907282	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	0.807609	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	28	4.522610	Y
hsa-mir-106b	3947	637.526520	N
hsa-mir-107	514	83.022202	Y
hsa-mir-10a	366870	59257.500466	N
hsa-mir-10b	7711	1245.494551	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.484565	N
hsa-mir-1180	145	23.420660	N
hsa-mir-1181	3	0.484565	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	515	83.183724	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	1.292174	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	8	1.292174	N
hsa-mir-1229	2	0.323044	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.969131	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	37	5.976306	N
hsa-mir-1248	7	1.130653	N
hsa-mir-1249	0	0.000000	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	32	5.168697	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.323044	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.323044	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1485	239.859864	N
hsa-mir-125b-1	1263	204.002025	N
hsa-mir-125b-2	1408	227.422686	N
hsa-mir-126	11406	1842.317579	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.323044	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	37	5.976306	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11511	1859.277368	N
hsa-mir-1269b	4	0.646087	N
hsa-mir-127	3481	562.257364	N
hsa-mir-1270	6	0.969131	N
hsa-mir-1271	2	0.323044	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.161522	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	607	98.043729	N
hsa-mir-128-2	400	64.608717	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	143	23.097617	N
hsa-mir-1288	7	1.130653	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	8	1.292174	N
hsa-mir-129-2	3	0.484565	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.161522	N
hsa-mir-1292	3	0.484565	N
hsa-mir-1293	1	0.161522	N
hsa-mir-1294	2	0.323044	N
hsa-mir-1295a	5	0.807609	N
hsa-mir-1295b	11	1.776740	N
hsa-mir-1296	9	1.453696	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	79	12.760222	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	63	10.175873	N
hsa-mir-1307	6426	1037.939047	N
hsa-mir-130a	96	15.506092	N
hsa-mir-130b	143	23.097617	N
hsa-mir-132	443	71.554155	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	19	3.068914	Y
hsa-mir-133a-2	3	0.484565	N
hsa-mir-133b	7	1.130653	Y
hsa-mir-134	1742	281.370965	N
hsa-mir-1343	3	0.484565	N
hsa-mir-135a-1	37	5.976306	N
hsa-mir-135a-2	38	6.137828	N
hsa-mir-135b	191	30.850663	N
hsa-mir-136	69	11.145004	N
hsa-mir-137	1	0.161522	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	4	0.646087	N
hsa-mir-139	205	33.111968	N
hsa-mir-140	8920	1440.774400	N
hsa-mir-141	27	4.361088	N
hsa-mir-142	2953	476.973857	N
hsa-mir-143	801833	129513.504433	N
hsa-mir-144	86	13.890874	N
hsa-mir-145	5710	922.289442	N
hsa-mir-1468	25	4.038045	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	136	21.966964	N
hsa-mir-146b	4235	684.044796	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	191798	30979.556994	N
hsa-mir-148b	1086	175.412668	N
hsa-mir-149	99	15.990658	N
hsa-mir-150	1082	174.766581	N
hsa-mir-151a	17274	2790.127465	N
hsa-mir-151b	8	1.292174	N
hsa-mir-152	2901	468.574724	N
hsa-mir-153-1	3	0.484565	N
hsa-mir-153-2	25	4.038045	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	15	2.422827	N
hsa-mir-155	497	80.276331	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	703	113.549821	N
hsa-mir-15b	930	150.215268	N
hsa-mir-16-1	953	153.930269	N
hsa-mir-16-2	1010	163.137012	N
hsa-mir-17	4369	705.688717	Y
hsa-mir-181a-1	4637	748.976558	N
hsa-mir-181a-2	10596	1711.484926	N
hsa-mir-181b-1	1302	210.301375	N
hsa-mir-181b-2	1217	196.572023	N
hsa-mir-181c	209	33.758055	N
hsa-mir-181d	63	10.175873	N
hsa-mir-182	155413	25102.586529	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	64688	10448.521793	N
hsa-mir-184	3	0.484565	N
hsa-mir-185	542	87.544812	N
hsa-mir-186	908	146.661789	N
hsa-mir-187	246	39.734361	N
hsa-mir-188	14	2.261305	N
hsa-mir-18a	100	16.152179	Y
hsa-mir-18b	4	0.646087	Y
hsa-mir-1908	1	0.161522	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	11	1.776740	N
hsa-mir-190b	5	0.807609	N
hsa-mir-191	1103	178.158538	N
hsa-mir-1910	1	0.161522	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.161522	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	147714	23859.030239	Y
hsa-mir-193a	4439	716.995242	N
hsa-mir-193b	862	139.231786	N
