miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	14191	6007.657424	N
hsa-let-7a-2	14431	6109.259692	N
hsa-let-7a-3	14544	6157.097426	N
hsa-let-7b	11478	4859.128456	N
hsa-let-7c	2006	849.225621	N
hsa-let-7d	502	212.518077	N
hsa-let-7e	1361	576.169527	N
hsa-let-7f-1	3149	1333.106422	N
hsa-let-7f-2	3057	1294.158886	N
hsa-let-7g	755	319.623801	N
hsa-let-7i	535	226.488389	N
hsa-mir-1-1	3	1.270028	N
hsa-mir-1-2	3	1.270028	N
hsa-mir-100	12238	5180.868970	N
hsa-mir-101-1	27173	11503.493425	N
hsa-mir-101-2	27397	11598.322208	N
hsa-mir-103a-1	37844	16020.984255	Y
hsa-mir-103a-2	37934	16059.085105	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	365	154.520116	N
hsa-mir-105-2	374	158.330201	N
hsa-mir-106a	26	11.006912	Y
hsa-mir-106b	991	419.532697	N
hsa-mir-107	442	187.117510	Y
hsa-mir-10a	37558	15899.908219	N
hsa-mir-10b	108448	45910.678060	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.423343	N
hsa-mir-1180	89	37.677508	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	74059	31352.343118	N
hsa-mir-1224	1	0.423343	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	1.693371	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	5.503456	N
hsa-mir-1229	4	1.693371	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	15	6.350142	N
hsa-mir-1248	5	2.116714	N
hsa-mir-1249	2	0.846686	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.846686	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.846686	N
hsa-mir-1255a	1	0.423343	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.423343	N
hsa-mir-125a	865	366.191507	N
hsa-mir-125b-1	645	273.056095	N
hsa-mir-125b-2	734	310.733602	N
hsa-mir-126	22035	9328.358209	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	2.963399	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2706	1145.565569	N
hsa-mir-1269b	1	0.423343	N
hsa-mir-127	1201	508.434682	N
hsa-mir-1270	2	0.846686	N
hsa-mir-1271	4	1.693371	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.423343	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	0.846686	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	301	127.426177	N
hsa-mir-128-2	204	86.361928	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.423343	Y
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	83	35.137451	N
hsa-mir-1288	1	0.423343	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.846686	N
hsa-mir-129-2	1	0.423343	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	1.270028	N
hsa-mir-1292	1	0.423343	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	8	3.386742	N
hsa-mir-1295b	32	13.546969	N
hsa-mir-1296	13	5.503456	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	35	14.816997	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	49	20.743796	N
hsa-mir-1307	7538	3191.157893	N
hsa-mir-130a	240	101.602268	N
hsa-mir-130b	162	68.581531	N
hsa-mir-132	314	132.929634	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	5	2.116714	Y
hsa-mir-133a-2	3	1.270028	Y
hsa-mir-133b	2	0.846686	Y
hsa-mir-134	358	151.556716	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	1	0.423343	N
hsa-mir-135a-2	4	1.693371	N
hsa-mir-135b	5	2.116714	N
hsa-mir-136	70	29.633995	N
hsa-mir-137	2	0.846686	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	395	167.220399	N
hsa-mir-140	3514	1487.626537	N
hsa-mir-141	13	5.503456	N
hsa-mir-142	8821	3734.306683	N
hsa-mir-143	116950	49509.938395	N
hsa-mir-144	150	63.501417	N
hsa-mir-145	3413	1444.868916	N
hsa-mir-1468	44	18.627082	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1309	554.155702	N
hsa-mir-146b	1868	790.804317	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.423343	N
hsa-mir-148a	277805	117606.741649	N
hsa-mir-148b	609	257.815754	N
hsa-mir-149	47	19.897111	N
hsa-mir-150	2435	1030.839675	N
hsa-mir-151a	8973	3798.654786	N
hsa-mir-151b	6	2.540057	N
hsa-mir-152	1403	593.949924	N
hsa-mir-153-1	1	0.423343	N
hsa-mir-153-2	31	13.123626	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	19	8.043513	N
hsa-mir-155	984	416.569298	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	456	193.044309	N
hsa-mir-15b	402	170.183799	N
hsa-mir-16-1	457	193.467652	N
hsa-mir-16-2	416	176.110597	N
hsa-mir-17	5268	2230.169777	Y
hsa-mir-181a-1	1669	706.559104	N
hsa-mir-181a-2	2670	1130.325229	N
hsa-mir-181b-1	268	113.455866	N
hsa-mir-181b-2	248	104.989010	N
hsa-mir-181c	97	41.064250	N
hsa-mir-181d	19	8.043513	N
hsa-mir-182	27614	11690.187592	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	13768	5828.583427	N
hsa-mir-184	0	0.000000	N
hsa-mir-185	223	94.405440	N
hsa-mir-186	609	257.815754	N
hsa-mir-187	4	1.693371	N
hsa-mir-188	4	1.693371	N
hsa-mir-18a	105	44.450992	Y
hsa-mir-18b	5	2.116714	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	1	0.423343	N
hsa-mir-190b	3	1.270028	N
hsa-mir-191	1646	696.822220	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.423343	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	1	0.423343	N
hsa-mir-192	77167	32668.092485	Y
hsa-mir-193a	1015	429.692924	N
hsa-mir-193b	768	325.127257	N
hsa-mir-194-1	18091	7658.694275	N
hsa-mir-194-2	19991	8463.045562	N
hsa-mir-195	76	32.174051	N
hsa-mir-196a-1	1	0.423343	N
hsa-mir-196a-2	0	0.000000	N
hsa-mir-196b	20	8.466856	N
hsa-mir-197	884	374.235020	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	22	9.313541	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	2332	987.235368	Y
hsa-mir-199a-2	3564	1508.793676	Y
hsa-mir-199b	3628	1535.887614	Y
hsa-mir-19a	149	63.078075	N
hsa-mir-19b-1	357	151.133373	N
hsa-mir-19b-2	304	128.696206	N
hsa-mir-200a	246	104.142324	N
hsa-mir-200b	224	94.828783	N
hsa-mir-200c	59	24.977224	N
hsa-mir-202	1	0.423343	N
hsa-mir-203a	4931	2087.503260	N
hsa-mir-203b	1	0.423343	N
hsa-mir-204	70	29.633995	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
