miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	74439	13980.714468	N
hsa-let-7a-2	75032	14092.088394	Y
hsa-let-7a-3	74379	13969.445606	N
hsa-let-7b	42885	8054.419592	N
hsa-let-7c	12411	2330.964243	Y
hsa-let-7d	1735	325.857945	N
hsa-let-7e	4614	866.575539	N
hsa-let-7f-1	48908	9185.625589	N
hsa-let-7f-2	49468	9290.801641	N
hsa-let-7g	6361	1194.687257	N
hsa-let-7i	1527	286.792555	N
hsa-mir-1-1	34	6.385689	N
hsa-mir-1-2	25	4.695359	N
hsa-mir-100	89591	16826.477921	N
hsa-mir-101-1	90903	17072.890384	N
hsa-mir-101-2	91408	17167.736645	N
hsa-mir-103a-1	30629	5752.566577	Y
hsa-mir-103a-2	31032	5828.255772	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	448	84.140841	N
hsa-mir-105-2	459	86.206799	N
hsa-mir-106a	61	11.456677	Y
hsa-mir-106b	2775	521.184898	N
hsa-mir-107	1064	199.834498	Y
hsa-mir-10a	48137	9040.820704	N
hsa-mir-10b	151726	28496.324285	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	47	8.827276	N
hsa-mir-1181	1	0.187814	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	145839	27390.661043	N
hsa-mir-1224	2	0.375629	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.563443	N
hsa-mir-1227	2	0.375629	N
hsa-mir-1228	7	1.314701	N
hsa-mir-1229	2	0.375629	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.187814	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.187814	N
hsa-mir-1247	22	4.131916	N
hsa-mir-1248	5	0.939072	N
hsa-mir-1249	6	1.126886	N
