miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	31685	12270.150096	N
hsa-let-7a-2	31495	12196.571793	N
hsa-let-7a-3	31575	12227.552131	N
hsa-let-7b	13055	5055.603898	N
hsa-let-7c	2652	1026.998203	N
hsa-let-7d	1391	538.670626	N
hsa-let-7e	1401	542.543168	N
hsa-let-7f-1	28139	10896.946617	N
hsa-let-7f-2	28887	11186.612776	N
hsa-let-7g	2009	777.993737	N
hsa-let-7i	906	350.852327	N
hsa-mir-1-1	2	0.774508	N
hsa-mir-1-2	4	1.549017	N
hsa-mir-100	7679	2973.725188	N
hsa-mir-101-1	15032	5821.205499	N
hsa-mir-101-2	15047	5827.014313	N
hsa-mir-103a-1	31434	12172.949286	Y
hsa-mir-103a-2	31684	12269.762842	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	1.161763	N
hsa-mir-105-2	3	1.161763	N
hsa-mir-106a	74	28.656813	Y
hsa-mir-106b	3446	1334.478057	N
hsa-mir-107	564	218.411382	Y
hsa-mir-10a	7766	3007.416306	N
hsa-mir-10b	52370	20280.503725	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	198	76.676336	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	1	0.387254	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	41412	16036.971935	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.387254	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	11	4.259796	N
hsa-mir-1229	1	0.387254	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
