miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	17121	5182.248928	N
hsa-let-7a-2	17282	5230.981016	N
hsa-let-7a-3	17267	5226.440760	N
hsa-let-7b	6668	2018.295418	N
hsa-let-7c	812	245.779226	N
hsa-let-7d	502	151.947256	N
hsa-let-7e	2018	610.815860	N
hsa-let-7f-1	13788	4173.403903	N
hsa-let-7f-2	13981	4231.821872	N
hsa-let-7g	2626	794.847596	N
hsa-let-7i	967	292.695211	N
hsa-mir-1-1	43	13.015402	N
hsa-mir-1-2	24	7.264411	N
hsa-mir-100	7342	2222.304283	N
hsa-mir-101-1	21626	6545.839339	N
hsa-mir-101-2	22005	6660.556490	N
hsa-mir-103a-1	170339	51558.851715	Y
hsa-mir-103a-2	169372	51266.156503	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.908051	N
hsa-mir-105-2	6	1.816103	N
hsa-mir-106a	97	29.360326	Y
hsa-mir-106b	2205	667.417726	N
hsa-mir-107	879	266.059039	Y
hsa-mir-10a	27547	8338.029977	N
hsa-mir-10b	60752	18388.644758	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	86	26.030805	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	34	10.291248	N
hsa-mir-1185-2	4	1.210735	N
hsa-mir-1193	3	0.908051	N
hsa-mir-1197	9	2.724154	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	73215	22160.992657	N
hsa-mir-1224	1	0.302684	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	2.118786	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	3.026838	N
hsa-mir-1229	3	0.908051	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.302684	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	4	1.210735	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.302684	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	18	5.448308	N
hsa-mir-1248	2	0.605368	N
hsa-mir-1249	9	2.724154	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.908051	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.908051	N
hsa-mir-1254-2	5	1.513419	N
hsa-mir-1255a	1	0.302684	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.302684	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	648	196.139087	N
hsa-mir-125b-1	345	104.425903	N
hsa-mir-125b-2	332	100.491014	N
hsa-mir-126	9821	2972.657364	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	3.632205	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	430	130.154024	N
hsa-mir-1269b	524	158.606299	N
hsa-mir-127	18319	5544.864092	N
hsa-mir-1270	12	3.632205	N
hsa-mir-1271	4	1.210735	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.302684	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	6	1.816103	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	259	78.395098	N
hsa-mir-128-2	129	39.046207	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.302684	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	33	9.988565	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.302684	N
hsa-mir-129-2	2	0.605368	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.605368	N
hsa-mir-1292	10	3.026838	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.302684	N
hsa-mir-1295b	28	8.475146	N
hsa-mir-1296	13	3.934889	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	37	11.199300	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.302684	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.302684	N
hsa-mir-1304	17	5.145624	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	19	5.750992	N
hsa-mir-1307	6579	1991.356562	N
hsa-mir-130a	123	37.230104	N
hsa-mir-130b	564	170.713650	N
hsa-mir-132	206	62.352858	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	11	3.329522	Y
hsa-mir-133a-2	7	2.118786	N
hsa-mir-133b	2	0.605368	Y
hsa-mir-134	9642	2918.476968	N
hsa-mir-1343	1	0.302684	N
hsa-mir-135a-1	2	0.605368	N
hsa-mir-135a-2	1	0.302684	N
hsa-mir-135b	94	28.452275	N
hsa-mir-136	1600	484.294042	N
hsa-mir-137	2	0.605368	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.302684	N
hsa-mir-139	136	41.164994	N
hsa-mir-140	8334	2522.566589	N
hsa-mir-141	24	7.264411	N
hsa-mir-142	8819	2669.368220	N
hsa-mir-143	143558	43452.677510	N
hsa-mir-144	592	179.188795	N
hsa-mir-145	2595	785.464399	N
hsa-mir-1468	12	3.632205	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	832	251.832902	N
hsa-mir-146b	11944	3615.255020	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.605368	N
hsa-mir-148a	389964	118035.776012	N
hsa-mir-148b	867	262.426834	N
hsa-mir-149	41	12.410035	N
hsa-mir-150	3389	1025.795317	N
hsa-mir-151a	12394	3751.462719	N
hsa-mir-151b	7	2.118786	N
hsa-mir-152	412	124.705716	N
hsa-mir-153-1	2	0.605368	N
hsa-mir-153-2	10	3.026838	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.302684	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	570	172.529752	N
hsa-mir-155	4628	1400.820515	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1092	330.530683	N
hsa-mir-15b	1572	475.818896	N
hsa-mir-16-1	1037	313.883076	N
hsa-mir-16-2	1004	303.894511	N
hsa-mir-17	14242	4310.822337	Y
hsa-mir-181a-1	3017	913.196952	N
hsa-mir-181a-2	3455	1045.772446	N
hsa-mir-181b-1	460	139.234537	N
hsa-mir-181b-2	428	129.548656	N
hsa-mir-181c	92	27.846907	N
hsa-mir-181d	14	4.237573	N
hsa-mir-182	3910	1183.493564	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	602	182.215633	N
hsa-mir-184	5	1.513419	N
hsa-mir-185	399	120.770827	N
hsa-mir-186	1346	407.412362	N
hsa-mir-187	14	4.237573	N
hsa-mir-188	22	6.659043	N
hsa-mir-18a	590	178.583428	Y
hsa-mir-18b	1	0.302684	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	10	3.026838	N
hsa-mir-190b	1	0.302684	N
hsa-mir-191	2579	780.621458	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.302684	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	99611	30150.633608	Y
hsa-mir-193a	1322	400.147952	N
hsa-mir-193b	726	219.748421	N
hsa-mir-194-1	18288	5535.480895	N
hsa-mir-194-2	21150	6401.761862	N
