miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	69505	11905.186040	N
hsa-let-7a-2	68337	11705.124788	Y
hsa-let-7a-3	69512	11906.385037	N
hsa-let-7b	52918	9064.076467	N
hsa-let-7c	4297	736.013012	Y
hsa-let-7d	5047	864.477001	N
hsa-let-7e	6366	1090.402336	N
hsa-let-7f-1	54269	9295.482932	N
hsa-let-7f-2	54663	9362.969347	N
hsa-let-7g	6259	1072.074806	N
hsa-let-7i	1154	197.663257	N
hsa-mir-1-1	43	7.365269	N
hsa-mir-1-2	46	7.879125	N
hsa-mir-100	39968	6845.931597	N
hsa-mir-101-1	36481	6248.659692	N
hsa-mir-101-2	36775	6299.017576	N
hsa-mir-103a-1	94364	16163.167764	Y
hsa-mir-103a-2	94446	16177.213160	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	29	4.967274	Y
hsa-mir-106b	6783	1161.828313	N
hsa-mir-107	931	159.466631	Y
hsa-mir-10a	191530	32806.276990	N
hsa-mir-10b	12224	2093.791729	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.171285	N
hsa-mir-1180	316	54.126161	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.856427	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.171285	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	58081	9948.422565	N
hsa-mir-1224	11	1.884138	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	2.226709	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.685141	N
hsa-mir-1229	5	0.856427	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.171285	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.171285	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	1.884138	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.171285	N
hsa-mir-1247	70	11.989972	N
hsa-mir-1248	11	1.884138	N
hsa-mir-1249	9	1.541568	N
hsa-mir-1250	2	0.342571	N
hsa-mir-1251	21	3.596992	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.171285	N
hsa-mir-1254-2	1	0.171285	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.171285	N
hsa-mir-125a	1790	306.600720	N
hsa-mir-125b-1	1152	197.320687	N
hsa-mir-125b-2	1211	207.426520	N
hsa-mir-126	28891	4948.604127	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	46	7.879125	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6	1.027712	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6033	1033.364325	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	15	2.569280	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	6	1.027712	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	0.342571	N
hsa-mir-1278	1	0.171285	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1041	178.308016	N
hsa-mir-128-2	743	127.264991	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.342571	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	254	43.506471	N
hsa-mir-1288	9	1.541568	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.342571	N
hsa-mir-129-2	7	1.198997	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.513856	N
hsa-mir-1292	4	0.685141	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	58	9.934548	N
hsa-mir-1296	32	5.481130	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	94	16.100820	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.171285	N
hsa-mir-1304	4	0.685141	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	99	16.957246	N
hsa-mir-1307	15347	2628.715778	N
hsa-mir-130a	398	68.171557	N
hsa-mir-130b	214	36.655058	N
hsa-mir-132	628	107.567180	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	13	2.226709	N
hsa-mir-133a-2	6	1.027712	Y
hsa-mir-133b	1	0.171285	Y
hsa-mir-134	2206	377.855412	N
hsa-mir-1343	3	0.513856	N
hsa-mir-135a-1	35	5.994986	N
hsa-mir-135a-2	33	5.652415	N
hsa-mir-135b	10	1.712853	N
hsa-mir-136	508	87.012942	N
hsa-mir-137	1	0.171285	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	254	43.506471	N
hsa-mir-140	4068	696.788674	N
hsa-mir-141	11165	1912.400577	N
hsa-mir-142	4179	715.801345	N
hsa-mir-143	675881	115768.492134	N
hsa-mir-144	204	34.942205	N
hsa-mir-145	5819	996.709266	N
hsa-mir-1468	53	9.078122	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	162	27.748222	N
hsa-mir-146b	3212	550.168442	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
