miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	38352	9709.664524	N
hsa-let-7a-2	38145	9657.257855	N
hsa-let-7a-3	38546	9758.779952	N
hsa-let-7b	16944	4289.751661	N
hsa-let-7c	8548	2164.116926	N
hsa-let-7d	1520	384.821915	N
hsa-let-7e	2971	752.174940	N
hsa-let-7f-1	22378	5665.490006	N
hsa-let-7f-2	22876	5791.569818	N
hsa-let-7g	2472	625.841956	N
hsa-let-7i	923	233.678044	N
hsa-mir-1-1	7	1.772206	N
hsa-mir-1-2	10	2.531723	N
hsa-mir-100	81856	20723.672801	N
hsa-mir-101-1	43421	10992.994975	N
hsa-mir-101-2	43436	10996.792560	N
hsa-mir-103a-1	67261	17028.622902	Y
hsa-mir-103a-2	66696	16885.580546	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.253172	N
hsa-mir-106a	11	2.784895	Y
hsa-mir-106b	1598	404.569355	N
hsa-mir-107	466	117.978298	Y
hsa-mir-10a	50063	12674.565474	N
hsa-mir-10b	83728	21197.611370	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	30	7.595169	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	169830	42996.253809	N
hsa-mir-1224	1	0.253172	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	1.012689	N
hsa-mir-1229	1	0.253172	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.506345	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	1.012689	N
hsa-mir-1248	3	0.759517	N
hsa-mir-1249	2	0.506345	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.253172	N
hsa-mir-1254-2	1	0.253172	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.253172	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1012	256.210380	N
hsa-mir-125b-1	1901	481.280566	N
hsa-mir-125b-2	2051	519.256413	N
hsa-mir-126	53605	13571.301804	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.506345	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	14	3.544412	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7203	1823.600166	N
hsa-mir-1269b	4	1.012689	N
hsa-mir-127	1593	403.303494	N
hsa-mir-1270	1	0.253172	N
hsa-mir-1271	4	1.012689	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.253172	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	0.759517	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	234	59.242321	N
hsa-mir-128-2	189	47.849567	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	1	0.253172	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.506345	N
hsa-mir-1287	18	4.557102	N
hsa-mir-1288	5	1.265862	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	1.012689	N
hsa-mir-129-2	2	0.506345	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.253172	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	1	0.253172	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	14	3.544412	N
hsa-mir-1295b	105	26.583093	N
hsa-mir-1296	8	2.025378	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	36	9.114203	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.253172	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	13	3.291240	N
hsa-mir-1307	4508	1141.300784	N
hsa-mir-130a	89	22.532336	N
hsa-mir-130b	78	19.747440	N
hsa-mir-132	628	158.992212	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	0.759517	N
hsa-mir-133a-2	2	0.506345	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	274	69.369214	N
hsa-mir-1343	2	0.506345	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	1	0.253172	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	170	43.039293	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.253172	N
hsa-mir-138-2	2	0.506345	N
hsa-mir-139	1228	310.895600	N
hsa-mir-140	10743	2719.830152	N
hsa-mir-141	16	4.050757	N
hsa-mir-142	2956	748.377355	N
hsa-mir-143	263790	66784.324279	N
hsa-mir-144	1052	266.337273	N
hsa-mir-145	3478	880.533302	N
hsa-mir-1468	92	23.291853	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	86	21.772819	N
hsa-mir-146b	5048	1278.013833	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	284600	72052.840100	N
hsa-mir-148b	620	156.966834	N
hsa-mir-149	2	0.506345	N
hsa-mir-150	494	125.067122	N
hsa-mir-151a	6193	1567.896130	N
hsa-mir-151b	9	2.278551	N
hsa-mir-152	565	143.042356	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	7	1.772206	N
hsa-mir-1537	1	0.253172	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	7	1.772206	N
hsa-mir-155	304	76.964383	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	697	176.461102	N
hsa-mir-15b	438	110.889473	N
hsa-mir-16-1	863	218.487706	N
hsa-mir-16-2	839	212.411570	N
hsa-mir-17	1913	484.318634	Y
hsa-mir-181a-1	1969	498.496283	N
hsa-mir-181a-2	2753	696.983376	N
hsa-mir-181b-1	376	95.192789	N
hsa-mir-181b-2	375	94.939617	N
hsa-mir-181c	75	18.987923	N
hsa-mir-181d	20	5.063446	N
hsa-mir-182	1349	341.529449	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	274	69.369214	N
hsa-mir-184	2	0.506345	N
hsa-mir-185	444	112.408507	N
hsa-mir-186	702	177.726963	N
hsa-mir-187	0	0.000000	N
hsa-mir-188	24	6.076135	N
hsa-mir-18a	15	3.797585	Y
hsa-mir-18b	2	0.506345	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	16	4.050757	N
hsa-mir-190b	3	0.759517	N
hsa-mir-191	1372	347.352413	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	1	0.253172	N
hsa-mir-192	383435	97075.125592	Y
hsa-mir-193a	2277	576.473355	N
hsa-mir-193b	140	35.444124	N
hsa-mir-194-1	43323	10968.184089	N
hsa-mir-194-2	48786	12351.264431	N
hsa-mir-195	95	24.051370	N
hsa-mir-196a-1	1	0.253172	N
hsa-mir-196a-2	0	0.000000	N
hsa-mir-196b	44	11.139582	N
hsa-mir-197	541	136.966221	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	14	3.544412	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	718	181.777720	Y
hsa-mir-199a-2	1154	292.160848	Y
hsa-mir-199b	1366	345.833379	Y
hsa-mir-19a	120	30.380677	N
hsa-mir-19b-1	274	69.369214	N
hsa-mir-19b-2	231	58.482804	N
hsa-mir-200a	16	4.050757	N
hsa-mir-200b	33	8.354686	N
hsa-mir-200c	120	30.380677	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	73	18.481579	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	1995	505.078763	N
hsa-mir-205	1	0.253172	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1182	299.249673	N
hsa-mir-20b	30	7.595169	N
hsa-mir-21	299433	75808.145009	N
hsa-mir-210	1445	365.833991	N
hsa-mir-211	1	0.253172	N
hsa-mir-2110	4	1.012689	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	9	2.278551	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	27	6.835652	N
hsa-mir-214	17	4.303929	N
hsa-mir-215	859	217.475016	Y
hsa-mir-216a	1	0.253172	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	10	2.531723	N
hsa-mir-218-1	13	3.291240	N
hsa-mir-218-2	21	5.316619	N
hsa-mir-219a-1	14	3.544412	N
hsa-mir-219a-2	1	0.253172	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	1127965	285569.507319	N
hsa-mir-221	844	213.677432	N
hsa-mir-222	244	61.774044	N
hsa-mir-223	443	112.155334	N
hsa-mir-224	65	16.456200	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	4	1.012689	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	114	28.861644	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	5516	1396.498475	Y
hsa-mir-23b	5450	1379.789102	Y
hsa-mir-23c	2	0.506345	N
hsa-mir-24-1	3093	783.061962	N
hsa-mir-24-2	2970	751.921768	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	32947	8341.268176	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	4439	1123.831895	N
hsa-mir-26a-2	4306	1090.159977	N
hsa-mir-26b	5920	1498.780089	N
hsa-mir-27a	1698	429.886586	Y
hsa-mir-27b	4235	1072.184743	Y
hsa-mir-28	9458	2394.503730	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	4	1.012689	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	11	2.784895	N
hsa-mir-29a	37289	9440.542356	N
hsa-mir-29b-1	1464	370.644265	N
hsa-mir-29b-2	1585	401.278115	N
hsa-mir-29c	11971	3030.725751	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	28	7.088825	N
hsa-mir-301b	2	0.506345	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.253172	N
hsa-mir-3065	1317	333.427935	N
hsa-mir-3074	20	5.063446	N
hsa-mir-30a	171399	43393.481167	Y
hsa-mir-30b	1620	410.139146	N
hsa-mir-30c-1	1145	289.882298	N
hsa-mir-30c-2	1345	340.516760	N
hsa-mir-30d	50570	12802.923836	N
hsa-mir-30e	65275	16525.822690	Y
hsa-mir-31	0	0.000000	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	2	0.506345	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	10	2.531723	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	0	0.000000	N
hsa-mir-3130-1	11	2.784895	N
hsa-mir-3130-2	10	2.531723	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	1	0.253172	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	0	0.000000	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.253172	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	1	0.253172	N
hsa-mir-3158-1	2	0.506345	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	1	0.253172	N
hsa-mir-3161	3	0.759517	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	2	0.506345	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	1	0.253172	N
hsa-mir-3174	0	0.000000	N
