miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	26000	6349.426525	N
hsa-let-7a-2	25939	6334.529793	N
hsa-let-7a-3	26224	6404.129276	N
hsa-let-7b	12409	3030.385913	N
hsa-let-7c	6863	1676.004394	N
hsa-let-7d	1101	268.873792	N
hsa-let-7e	4373	1067.924700	N
hsa-let-7f-1	11799	2881.418599	N
hsa-let-7f-2	11985	2926.841419	N
hsa-let-7g	2233	545.318055	N
hsa-let-7i	711	173.632395	N
hsa-mir-1-1	7	1.709461	N
hsa-mir-1-2	4	0.976835	N
hsa-mir-100	6513	1590.531344	N
hsa-mir-101-1	18226	4450.947994	N
hsa-mir-101-2	18259	4459.006881	N
hsa-mir-103a-1	84531	20643.206675	Y
hsa-mir-103a-2	84209	20564.571470	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	124	30.281880	N
hsa-mir-105-2	115	28.084002	N
hsa-mir-106a	60	14.652523	Y
hsa-mir-106b	8167	1994.452555	N
hsa-mir-107	696	169.969264	Y
hsa-mir-10a	38523	9407.652231	N
hsa-mir-10b	726302	177369.276297	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.244209	N
hsa-mir-1180	1023	249.825513	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.976835	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.244209	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	50431	12315.689579	N
hsa-mir-1224	12	2.930505	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	62	15.140940	N
hsa-mir-1227	2	0.488417	N
hsa-mir-1228	43	10.500975	N
hsa-mir-1229	6	1.465252	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.244209	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	1.465252	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.244209	N
hsa-mir-1247	118	28.816628	N
hsa-mir-1248	2	0.488417	N
hsa-mir-1249	4	0.976835	N
hsa-mir-1250	9	2.197878	N
hsa-mir-1251	29	7.082053	N
hsa-mir-1252	2	0.488417	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.244209	N
hsa-mir-1254-2	6	1.465252	N
hsa-mir-1255a	5	1.221044	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.488417	N
hsa-mir-125a	1243	303.551430	N
hsa-mir-125b-1	545	133.093748	N
hsa-mir-125b-2	720	175.830273	N
hsa-mir-126	18275	4462.914221	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	66	16.117775	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	228	55.679586	N
hsa-mir-1269b	148	36.142889	N
hsa-mir-127	2355	575.111518	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	29	7.082053	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.488417	N
hsa-mir-1276	4	0.976835	N
hsa-mir-1277	10	2.442087	N
hsa-mir-1278	1	0.244209	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1388	338.961693	N
hsa-mir-128-2	1038	253.488644	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	6	1.465252	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	78	19.048280	N
hsa-mir-1288	18	4.395757	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.244209	N
hsa-mir-129-2	2	0.488417	N
hsa-mir-1290	3	0.732626	N
hsa-mir-1291	4	0.976835	N
hsa-mir-1292	7	1.709461	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.244209	N
hsa-mir-1295a	12	2.930505	N
hsa-mir-1295b	11	2.686296	N
hsa-mir-1296	130	31.747133	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	188	45.911238	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	5	1.221044	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	89	21.734575	N
hsa-mir-1307	22837	5576.994367	N
hsa-mir-130a	499	121.860148	N
hsa-mir-130b	973	237.615077	N
hsa-mir-132	597	145.792601	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.488417	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	9	2.197878	N
hsa-mir-133a-2	10	2.442087	Y
hsa-mir-133b	1	0.244209	Y
