miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	19710	5578.695553	N
hsa-let-7a-2	19494	5517.559164	N
hsa-let-7a-3	19901	5632.755972	N
hsa-let-7b	13390	3789.890079	N
hsa-let-7c	9247	2617.260161	N
hsa-let-7d	1429	404.462504	N
hsa-let-7e	1448	409.840242	N
hsa-let-7f-1	8332	2358.279622	N
hsa-let-7f-2	8878	2512.818829	N
hsa-let-7g	2771	784.300628	N
hsa-let-7i	760	215.109519	N
hsa-mir-1-1	16	4.528621	N
hsa-mir-1-2	27	7.642049	N
hsa-mir-100	25605	7247.209520	N
hsa-mir-101-1	31974	9049.883897	N
hsa-mir-101-2	32725	9262.446067	N
hsa-mir-103a-1	49206	13927.209203	Y
hsa-mir-103a-2	49208	13927.775281	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	36	10.189398	Y
hsa-mir-106b	1006	284.737074	N
hsa-mir-107	392	110.951226	Y
hsa-mir-10a	44553	12610.229477	N
hsa-mir-10b	12281	3476.000005	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.283039	N
hsa-mir-1180	33	9.340282	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	227530	64399.827460	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.849117	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	1.132155	N
hsa-mir-1229	1	0.283039	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.566078	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.283039	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.283039	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	7	1.981272	N
hsa-mir-1248	2	0.566078	N
hsa-mir-1249	5	1.415194	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.283039	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.283039	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	2.547350	N
hsa-mir-125a	1256	355.496784	N
hsa-mir-125b-1	1782	504.375214	N
hsa-mir-125b-2	1844	521.923623	N
hsa-mir-126	25435	7199.092917	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.566078	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	18	5.094699	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11	3.113427	N
hsa-mir-1269b	664	187.937790	N
hsa-mir-127	845	239.167821	N
hsa-mir-1270	0	0.000000	N
hsa-mir-1271	3	0.849117	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.283039	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	8	2.264311	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	359	101.610944	N
hsa-mir-128-2	151	42.738865	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
