miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	140763	12799.827011	N
hsa-let-7a-2	139994	12729.900490	Y
hsa-let-7a-3	140300	12757.725608	N
hsa-let-7b	129067	11736.289173	N
hsa-let-7c	14277	1298.232705	Y
hsa-let-7d	5941	540.225573	N
hsa-let-7e	14759	1342.061812	N
hsa-let-7f-1	106289	9665.045596	N
hsa-let-7f-2	106686	9701.145504	N
hsa-let-7g	8697	790.833497	N
hsa-let-7i	3571	324.717307	N
hsa-mir-1-1	207	18.822874	N
hsa-mir-1-2	201	18.277283	N
hsa-mir-100	43618	3966.261408	Y
hsa-mir-101-1	37483	3408.395074	N
hsa-mir-101-2	38055	3460.408040	N
hsa-mir-103a-1	71430	6495.255454	Y
hsa-mir-103a-2	71786	6527.627159	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	187	17.004239	Y
hsa-mir-106b	6146	558.866583	N
hsa-mir-107	604	54.922782	Y
hsa-mir-10a	501102	45566.085655	N
hsa-mir-10b	199464	18137.612121	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	111	10.093425	N
hsa-mir-1181	4	0.363727	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.090932	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	51842	4714.084184	N
hsa-mir-1224	2	0.181864	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	0.545591	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	0.636522	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.090932	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	1.000249	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	293	26.643005	N
hsa-mir-1248	14	1.273045	N
hsa-mir-1249	10	0.909318	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.090932	N
hsa-mir-1254-2	1	0.090932	N
hsa-mir-1255a	1	0.090932	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.272795	N
hsa-mir-125a	5953	541.316754	N
hsa-mir-125b-1	2474	224.965169	N
hsa-mir-125b-2	2555	232.330641	N
hsa-mir-126	51049	4641.975300	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	0.727454	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	119	10.820879	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	35	3.182612	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5863	533.132895	N
hsa-mir-1270	17	1.545840	N
hsa-mir-1271	32	2.909816	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.272795	N
hsa-mir-1277	33	3.000748	N
hsa-mir-1278	3	0.272795	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	828	75.291495	N
hsa-mir-128-2	596	54.195328	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.363727	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	244	22.187349	N
hsa-mir-1288	9	0.818386	N
hsa-mir-1289-1	1	0.090932	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	0.636522	N
hsa-mir-129-2	2	0.181864	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.454659	N
hsa-mir-1292	4	0.363727	N
hsa-mir-1293	5	0.454659	N
hsa-mir-1294	2	0.181864	N
hsa-mir-1295a	23	2.091430	N
hsa-mir-1295b	32	2.909816	N
hsa-mir-1296	16	1.454908	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	95	8.638517	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	7	0.636522	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	84	7.638268	N
hsa-mir-1307	8505	773.374599	N
hsa-mir-130a	513	46.647992	N
hsa-mir-130b	308	28.006981	N
hsa-mir-132	1369	124.485576	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	85	7.729199	Y
hsa-mir-133a-2	95	8.638517	Y
hsa-mir-133b	26	2.364226	Y
hsa-mir-134	2201	200.140799	N
hsa-mir-1343	9	0.818386	N
hsa-mir-135a-1	2	0.181864	N
hsa-mir-135a-2	3	0.272795	N
hsa-mir-135b	929	84.475603	N
hsa-mir-136	169	15.367467	N
hsa-mir-137	1	0.090932	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	326	29.643753	N
hsa-mir-140	16882	1535.109934	N
hsa-mir-141	112	10.184357	N
hsa-mir-142	19855	1805.450049	N
hsa-mir-143	2426168	220615.720755	N
hsa-mir-144	219	19.914055	N
hsa-mir-145	48408	4401.824528	N
hsa-mir-1468	15	1.363976	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1015	92.295734	N
hsa-mir-146b	5030	457.386741	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	16	1.454908	N
hsa-mir-148a	654863	59547.843653	N
hsa-mir-148b	2593	235.786048	N
hsa-mir-149	100	9.093176	N
hsa-mir-150	2375	215.962925	N
hsa-mir-151a	25211	2292.480544	N
hsa-mir-151b	19	1.727703	N
hsa-mir-152	9958	905.498443	N
hsa-mir-153-1	11	1.000249	N
hsa-mir-153-2	214	19.459396	N
hsa-mir-1537	6	0.545591	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	1	0.090932	N
hsa-mir-154	26	2.364226	N
hsa-mir-155	3484	316.806244	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1208	109.845563	N
hsa-mir-15b	5362	487.576085	N
hsa-mir-16-1	4059	369.092005	N
hsa-mir-16-2	4140	376.457477	N
hsa-mir-17	3330	302.802753	Y
hsa-mir-181a-1	5959	541.862344	N
hsa-mir-181a-2	14646	1331.786524	N
hsa-mir-181b-1	1490	135.488319	N
hsa-mir-181b-2	1399	127.213529	N
hsa-mir-181c	653	59.378438	N
hsa-mir-181d	149	13.548832	N
hsa-mir-182	128820	11713.829029	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	54513	4956.962908	N
hsa-mir-184	14	1.273045	N
hsa-mir-185	543	49.375944	N
hsa-mir-186	2243	203.959933	N
hsa-mir-187	572	52.012965	N
hsa-mir-188	21	1.909567	N
hsa-mir-18a	46	4.182861	Y
hsa-mir-18b	5	0.454659	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	13	1.182113	N
hsa-mir-190b	30	2.727953	N
hsa-mir-191	4663	424.014786	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.090932	N
hsa-mir-1914	2	0.181864	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	105656	9607.485793	Y
hsa-mir-193a	5981	543.862843	N
hsa-mir-193b	1217	110.663949	N
hsa-mir-194-1	17212	1565.117414	N
hsa-mir-194-2	18692	1699.696415	N
hsa-mir-195	608	55.286509	N
hsa-mir-196a-1	29	2.637021	N
hsa-mir-196a-2	25	2.273294	N
hsa-mir-196b	2566	233.330890	N
hsa-mir-197	2781	252.881218	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	36	3.273543	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	10134	921.502433	Y
hsa-mir-199a-2	16047	1459.181916	Y
hsa-mir-199b	17678	1607.491613	Y
hsa-mir-19a	65	5.910564	N
hsa-mir-19b-1	290	26.370210	N
hsa-mir-19b-2	238	21.641758	N
hsa-mir-200a	2208	200.777321	N
hsa-mir-200b	2214	201.322912	N
hsa-mir-200c	942	85.657716	N
hsa-mir-202	1	0.090932	N
hsa-mir-203a	21255	1932.754510	N
hsa-mir-203b	1257	114.301219	N
hsa-mir-204	131	11.912060	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	2	0.181864	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	2	0.181864	N
hsa-mir-20a	1328	120.757374	N
hsa-mir-20b	494	44.920288	N
hsa-mir-21	3337993	303529.570735	N
hsa-mir-210	9380	852.939887	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	10	0.909318	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.090932	N
hsa-mir-2115	5	0.454659	N
hsa-mir-2116	8	0.727454	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	76	6.910814	N
hsa-mir-214	341	31.007729	N
hsa-mir-215	1095	99.570275	Y
hsa-mir-216a	480	43.647244	N
hsa-mir-216b	445	40.464632	N
hsa-mir-217	21419	1947.667319	N
hsa-mir-218-1	243	22.096417	N
hsa-mir-218-2	208	18.913806	N
hsa-mir-219a-1	48	4.364724	N
hsa-mir-219a-2	1	0.090932	N
hsa-mir-219b	7	0.636522	N
hsa-mir-22	882578	80254.368862	N
hsa-mir-221	1954	177.680655	N
hsa-mir-222	570	51.831102	N
hsa-mir-223	2966	269.703593	N
hsa-mir-224	48	4.364724	N
hsa-mir-2276	1	0.090932	N
hsa-mir-2277	5	0.454659	N
hsa-mir-2278	1	0.090932	N
hsa-mir-2355	516	46.920787	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	32366	2943.097270	Y
hsa-mir-23b	13460	1223.941459	Y
hsa-mir-23c	1	0.090932	N
hsa-mir-24-1	12446	1131.736657	N
hsa-mir-24-2	12532	1139.556788	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	76616	6966.827549	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	17782	1616.948516	N
hsa-mir-26a-2	17980	1634.953004	N
hsa-mir-26b	11201	1018.526618	N
hsa-mir-27a	14616	1329.058571	Y
hsa-mir-27b	19321	1756.892491	Y
hsa-mir-28	42748	3887.150779	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	3	0.272795	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	40	3.637270	N
hsa-mir-29a	80162	7289.271562	N
hsa-mir-29b-1	2545	231.421323	Y
hsa-mir-29b-2	2587	235.240457	Y
hsa-mir-29c	10853	986.882366	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	120	10.911811	N
hsa-mir-301b	18	1.636772	N
hsa-mir-302a	1	0.090932	N
