miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	22983	8489.382639	N
hsa-let-7a-2	22749	8402.948512	N
hsa-let-7a-3	23270	8595.393726	N
hsa-let-7b	2795	1032.407626	N
hsa-let-7c	1455	537.442968	N
hsa-let-7d	223	82.370984	N
hsa-let-7e	9412	3476.572658	N
hsa-let-7f-1	7528	2780.667124	N
hsa-let-7f-2	7719	2851.218056	N
hsa-let-7g	700	258.563627	N
hsa-let-7i	223	82.370984	N
hsa-mir-1-1	16	5.910026	N
hsa-mir-1-2	17	6.279402	N
hsa-mir-100	18770	6933.198979	N
hsa-mir-101-1	23102	8533.338455	N
hsa-mir-101-2	23342	8621.988842	N
hsa-mir-103a-1	53487	19756.846765	Y
hsa-mir-103a-2	53642	19814.100139	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1618	597.651356	N
hsa-mir-105-2	1553	573.641876	N
hsa-mir-106a	27	9.973168	Y
hsa-mir-106b	1923	710.311222	N
hsa-mir-107	708	261.518640	Y
hsa-mir-10a	10297	3803.470958	N
hsa-mir-10b	39182	14472.914352	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	213	78.677218	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	1.846883	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.738753	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	61558	22738.085388	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	2.585636	N
hsa-mir-1227	2	0.738753	N
hsa-mir-1228	8	2.955013	N
hsa-mir-1229	3	1.108130	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	1.477506	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1	0.369377	N
hsa-mir-1248	13	4.801896	N
hsa-mir-1249	3	1.108130	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	9	3.324389	N
hsa-mir-1252	1	0.369377	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	1.477506	N
hsa-mir-1254-2	3	1.108130	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2223	821.124205	N
hsa-mir-125b-1	440	162.525709	N
hsa-mir-125b-2	539	199.093993	N
hsa-mir-126	8880	3280.064301	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	9	3.324389	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	101	37.307038	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.369377	N
hsa-mir-1269b	873	322.465781	N
hsa-mir-127	3609	1333.080187	N
hsa-mir-1270	8	2.955013	N
hsa-mir-1271	2	0.738753	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.369377	N
hsa-mir-1275	1	0.369377	N
hsa-mir-1276	4	1.477506	N
hsa-mir-1277	6	2.216260	N
hsa-mir-1278	1	0.369377	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	256	94.560412	N
hsa-mir-128-2	131	48.388336	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	3	1.108130	N
hsa-mir-1283-2	3	1.108130	Y
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	92	33.982648	N
hsa-mir-1288	3	1.108130	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.369377	N
hsa-mir-129-2	2	0.738753	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	1.846883	N
hsa-mir-1292	4	1.477506	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.738753	N
hsa-mir-1295a	10	3.693766	N
hsa-mir-1295b	108	39.892674	N
hsa-mir-1296	9	3.324389	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	77	28.441999	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	26	9.603792	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.369377	N
hsa-mir-1304	11	4.063143	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	31	11.450675	N
hsa-mir-1307	20256	7482.092622	N
hsa-mir-130a	48	17.730077	N
hsa-mir-130b	188	69.442803	N
hsa-mir-132	170	62.794024	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	25	9.234415	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	6	2.216260	N
hsa-mir-133a-2	4	1.477506	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	2184	806.718517	N
hsa-mir-1343	5	1.846883	N
hsa-mir-135a-1	17	6.279402	N
hsa-mir-135a-2	10	3.693766	N
hsa-mir-135b	538	198.724616	N
hsa-mir-136	304	112.290490	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	101	37.307038	N
hsa-mir-140	7887	2913.273327	N
hsa-mir-141	52	19.207584	N
hsa-mir-142	708	261.518640	N
hsa-mir-143	149880	55362.166379	N
hsa-mir-144	313	115.614879	N
hsa-mir-145	2168	800.808492	N
hsa-mir-1468	21	7.756909	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	252	93.082906	N
hsa-mir-146b	1656	611.687667	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	406449	150132.753954	N
hsa-mir-148b	1626	600.606369	N
hsa-mir-149	6	2.216260	N
hsa-mir-150	54	19.946337	N
hsa-mir-151a	7798	2880.398809	N
hsa-mir-151b	11	4.063143	N
