miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	244151	19746.060954	N
hsa-let-7a-2	242502	19612.695723	Y
hsa-let-7a-3	244734	19793.211912	N
hsa-let-7b	286890	23202.638642	N
hsa-let-7c	65615	5306.706872	Y
hsa-let-7d	8062	652.025769	N
hsa-let-7e	19230	1555.253725	N
hsa-let-7f-1	190667	15420.466039	N
hsa-let-7f-2	194522	15732.244672	N
hsa-let-7g	12840	1038.453345	N
hsa-let-7i	6859	554.731425	N
hsa-mir-1-1	233	18.844208	N
hsa-mir-1-2	249	20.138231	N
hsa-mir-100	134914	10911.362507	Y
hsa-mir-101-1	73058	5908.670131	N
hsa-mir-101-2	74070	5990.517077	N
hsa-mir-103a-1	121218	9803.678939	Y
hsa-mir-103a-2	121782	9849.293245	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.080876	N
hsa-mir-105-2	1	0.080876	N
hsa-mir-106a	200	16.175286	Y
hsa-mir-106b	6133	496.015137	N
hsa-mir-107	868	70.200740	Y
hsa-mir-10a	623159	50398.874459	N
hsa-mir-10b	122511	9908.252162	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.161753	N
hsa-mir-1180	167	13.506364	N
hsa-mir-1181	1	0.080876	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	2	0.161753	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.080876	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	11196	905.492496	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.404382	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	26	2.102787	N
hsa-mir-1229	1	0.080876	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.080876	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.161753	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	3	0.242629	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	39	3.154181	N
hsa-mir-1245b	2	0.161753	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1121	90.662477	N
hsa-mir-1248	5	0.404382	N
hsa-mir-1249	24	1.941034	N
hsa-mir-1250	1	0.080876	N
hsa-mir-1251	6	0.485259	N
hsa-mir-1252	2	0.161753	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.080876	N
hsa-mir-1254-2	1	0.080876	N
hsa-mir-1255a	4	0.323506	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	23	1.860158	N
hsa-mir-125a	6099	493.265339	N
hsa-mir-125b-1	4317	349.143543	N
hsa-mir-125b-2	4598	371.869819	N
hsa-mir-126	23022	1861.937143	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.080876	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	17	1.374899	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	48	3.882069	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	57	4.609956	N
hsa-mir-1269b	1750	141.533750	N
hsa-mir-127	15126	1223.336861	N
hsa-mir-1270	19	1.536652	N
hsa-mir-1271	15	1.213146	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.242629	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	3	0.242629	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1335	107.970032	N
hsa-mir-128-2	1046	84.596744	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.080876	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	228	18.439826	N
hsa-mir-1288	1	0.080876	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.080876	N
hsa-mir-129-2	1	0.080876	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.161753	N
hsa-mir-1292	6	0.485259	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	29	2.345416	N
hsa-mir-1295b	142	11.484453	N
hsa-mir-1296	39	3.154181	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	87	7.036249	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	68	5.499597	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	70	5.661350	N
hsa-mir-1307	10099	816.771054	N
hsa-mir-130a	404	32.674077	N
hsa-mir-130b	193	15.609151	N
hsa-mir-132	1191	96.323827	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	70	5.661350	Y
hsa-mir-133a-2	63	5.095215	Y
hsa-mir-133b	18	1.455776	Y
hsa-mir-134	4533	366.612851	N
hsa-mir-1343	3	0.242629	N
hsa-mir-135a-1	55	4.448204	N
hsa-mir-135a-2	45	3.639439	N
hsa-mir-135b	33	2.668922	N
hsa-mir-136	342	27.659739	N
hsa-mir-137	3	0.242629	N
hsa-mir-138-1	9	0.727888	N
hsa-mir-138-2	10	0.808764	N
hsa-mir-139	1282	103.683582	N
hsa-mir-140	25582	2068.980800	N
hsa-mir-141	163	13.182858	N
hsa-mir-142	25841	2089.927795	N
hsa-mir-143	2121681	171593.982211	N
hsa-mir-144	1040	84.111486	N
hsa-mir-145	15527	1255.768309	N
hsa-mir-1468	75	6.065732	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	3696	298.919281	N
hsa-mir-146b	7857	635.446101	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	19	1.536652	N
hsa-mir-148a	964078	77971.185669	N
hsa-mir-148b	1470	118.888350	N
hsa-mir-149	155	12.535846	N
hsa-mir-150	36033	2914.220357	N
hsa-mir-151a	29434	2380.516804	N
hsa-mir-151b	11	0.889641	N
hsa-mir-152	10234	827.689372	N
hsa-mir-153-1	5	0.404382	N
hsa-mir-153-2	97	7.845014	N
hsa-mir-1537	4	0.323506	N
hsa-mir-1538	3	0.242629	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	68	5.499597	N
hsa-mir-155	10123	818.712088	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1981	160.216205	N
hsa-mir-15b	4317	349.143543	N
hsa-mir-16-1	3050	246.673108	N
hsa-mir-16-2	3125	252.738840	N
hsa-mir-17	3979	321.807310	Y
hsa-mir-181a-1	8858	716.403406	N
hsa-mir-181a-2	16079	1300.412098	N
hsa-mir-181b-1	1689	136.600288	N
hsa-mir-181b-2	1594	128.917027	N
hsa-mir-181c	747	60.414692	N
