miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	59995	10218.597421	N
hsa-let-7a-2	59220	10086.596205	N
hsa-let-7a-3	59782	10182.318377	N
hsa-let-7b	45371	7727.777042	N
hsa-let-7c	3668	624.748985	N
hsa-let-7d	10611	1807.309563	N
hsa-let-7e	3319	565.305856	N
hsa-let-7f-1	61544	10482.429531	N
hsa-let-7f-2	61857	10535.740990	N
hsa-let-7g	4659	793.540218	N
hsa-let-7i	2621	446.419599	N
hsa-mir-1-1	4	0.681297	N
hsa-mir-1-2	5	0.851621	N
hsa-mir-100	35877	6110.719555	Y
hsa-mir-101-1	54723	9320.648499	N
hsa-mir-101-2	55355	9428.293362	N
hsa-mir-103a-1	169544	28877.437807	Y
hsa-mir-103a-2	169475	28865.685441	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.170324	N
hsa-mir-105-2	2	0.340648	N
hsa-mir-106a	208	35.427423	Y
hsa-mir-106b	7385	1257.843853	N
hsa-mir-107	1941	330.599177	Y
hsa-mir-10a	58717	10000.923157	N
hsa-mir-10b	192301	32753.504505	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	207	35.257099	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	79771	13586.927826	N
hsa-mir-1224	4	0.681297	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	25	4.258104	N
hsa-mir-1227	1	0.170324	N
hsa-mir-1228	100	17.032415	N
hsa-mir-1229	3	0.510972	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.340648	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.340648	N
hsa-mir-124-1	1	0.170324	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.340648	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1264	215.289726	N
hsa-mir-1248	1	0.170324	N
hsa-mir-1249	14	2.384538	N
hsa-mir-1250	3	0.510972	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	2	0.340648	N
hsa-mir-1255a	5	0.851621	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.170324	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1071	182.417165	N
hsa-mir-125b-1	1132	192.806939	N
hsa-mir-125b-2	1147	195.361801	N
hsa-mir-126	21755	3705.401899	N
hsa-mir-1260a	1	0.170324	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.170324	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	124	21.120195	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	347	59.102480	N
hsa-mir-1269b	3	0.510972	N
hsa-mir-127	1447	246.459046	N
hsa-mir-1270	2	0.340648	N
hsa-mir-1271	7	1.192269	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.681297	N
hsa-mir-1276	5	0.851621	N
hsa-mir-1277	11	1.873566	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	875	149.033632	N
hsa-mir-128-2	682	116.161071	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.170324	N
hsa-mir-1284	9	1.532917	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	441	75.112950	N
hsa-mir-1288	18	3.065835	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	0.851621	N
hsa-mir-129-2	6	1.021945	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	5	0.851621	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.681297	N
hsa-mir-1295a	1	0.170324	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	73	12.433663	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
