miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	43916	4526.135298	N
hsa-let-7a-2	44119	4547.057182	N
hsa-let-7a-3	44229	4558.394164	N
hsa-let-7b	36340	3745.326458	N
hsa-let-7c	3664	377.624550	N
hsa-let-7d	2372	244.466548	N
hsa-let-7e	9919	1022.286548	N
hsa-let-7f-1	26150	2695.109711	N
hsa-let-7f-2	27129	2796.008847	N
hsa-let-7g	3416	352.064810	N
hsa-let-7i	2870	295.792156	N
hsa-mir-1-1	78	8.038951	N
hsa-mir-1-2	103	10.615537	N
hsa-mir-100	45391	4678.153915	N
hsa-mir-101-1	38309	3948.258428	N
hsa-mir-101-2	39507	4071.728464	N
hsa-mir-103a-1	114184	11768.199128	Y
hsa-mir-103a-2	114280	11778.093221	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	69	7.111379	Y
hsa-mir-106b	3866	398.443371	N
hsa-mir-107	622	64.105478	Y
hsa-mir-10a	271534	27985.235952	N
hsa-mir-10b	79301	8173.036144	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.103063	N
hsa-mir-1180	42	4.328666	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.515317	N
hsa-mir-1185-2	1	0.103063	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.103063	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	19996	2060.857123	N
hsa-mir-1224	4	0.412254	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.412254	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	15	1.545952	N
hsa-mir-1229	6	0.618381	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.103063	N
hsa-mir-124-2	1	0.103063	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.103063	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	18	1.855142	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	7	0.721444	N
hsa-mir-1247	214	22.055582	N
hsa-mir-1248	32	3.298031	N
hsa-mir-1249	7	0.721444	N
hsa-mir-1250	8	0.824508	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.309190	N
hsa-mir-1254-2	8	0.824508	N
hsa-mir-1255a	6	0.618381	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.103063	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	0.824508	N
hsa-mir-125a	6201	639.096570	N
hsa-mir-125b-1	1946	200.561510	N
hsa-mir-125b-2	2044	210.661730	N
hsa-mir-126	38372	3954.751427	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.206127	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.206127	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	131	13.501314	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	19	1.958206	N
hsa-mir-1269b	5	0.515317	N
hsa-mir-127	7891	813.273833	N
hsa-mir-1270	33	3.401094	N
hsa-mir-1271	12	1.236762	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.103063	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	7	0.721444	N
hsa-mir-1278	1	0.103063	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	696	71.732174	N
hsa-mir-128-2	409	42.152959	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.103063	N
hsa-mir-1284	4	0.412254	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	172	17.726917	N
hsa-mir-1288	1	0.103063	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	10	1.030635	N
hsa-mir-129-2	8	0.824508	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.309190	N
hsa-mir-1292	6	0.618381	N
hsa-mir-1293	2	0.206127	N
hsa-mir-1294	1	0.103063	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	32	3.298031	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	127	13.089061	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	55	5.668491	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	40	4.122539	N
hsa-mir-1307	15741	1622.322063	N
hsa-mir-130a	667	68.743334	N
hsa-mir-130b	128	13.192124	N
hsa-mir-132	714	73.587317	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.103063	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	64	6.596062	Y
hsa-mir-133a-2	76	7.832824	Y
hsa-mir-133b	13	1.339825	Y
hsa-mir-134	2902	299.090187	N
hsa-mir-1343	4	0.412254	N
hsa-mir-135a-1	2	0.206127	N
hsa-mir-135a-2	7	0.721444	N
hsa-mir-135b	14	1.442889	N
hsa-mir-136	391	40.297816	N
hsa-mir-137	1	0.103063	N
hsa-mir-138-1	7	0.721444	N
hsa-mir-138-2	7	0.721444	N
hsa-mir-139	491	50.604163	N
hsa-mir-140	10948	1128.338857	N
hsa-mir-141	5374	553.863082	N
hsa-mir-142	7702	793.794837	N
hsa-mir-143	719541	74158.391443	N
hsa-mir-144	552	56.891035	N
hsa-mir-145	18811	1938.726913	N
hsa-mir-1468	47	4.843983	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	268	27.621010	N
hsa-mir-146b	3778	389.373785	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	5	0.515317	N
hsa-mir-148a	339251	34964.384872	N
hsa-mir-148b	1434	147.793014	N
hsa-mir-149	556	57.303289	N
hsa-mir-150	2953	304.346424	N
hsa-mir-151a	13674	1409.289873	N
hsa-mir-151b	4	0.412254	N
hsa-mir-152	2859	294.658457	N
hsa-mir-153-1	3	0.309190	N
hsa-mir-153-2	50	5.153173	N
hsa-mir-1537	3	0.309190	N
hsa-mir-1538	3	0.309190	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	94	9.687966	N
hsa-mir-155	1832	188.812275	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1856	191.285798	N
hsa-mir-15b	4964	511.607059	N
hsa-mir-16-1	2624	270.438542	N
hsa-mir-16-2	2639	271.984494	N
hsa-mir-17	12255	1263.042811	Y
hsa-mir-181a-1	8156	840.585652	N
hsa-mir-181a-2	20138	2075.492136	N
hsa-mir-181b-1	1438	148.205268	N
hsa-mir-181b-2	1387	142.949031	N
hsa-mir-181c	935	96.364343	N
hsa-mir-181d	168	17.314663	N
hsa-mir-182	309127	31859.700937	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	127353	13125.441949	N
hsa-mir-184	68	7.008316	N
hsa-mir-185	736	75.854713	N
hsa-mir-186	1455	149.957347	N
hsa-mir-187	100	10.306347	N
hsa-mir-188	61	6.286872	N
hsa-mir-18a	163	16.799345	N
hsa-mir-18b	1	0.103063	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	0.103063	N
hsa-mir-190a	11	1.133698	N
hsa-mir-190b	3	0.309190	N
hsa-mir-191	3749	386.384945	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.103063	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	107050	11032.944341	Y
hsa-mir-193a	4747	489.242287	N
hsa-mir-193b	3076	317.023230	N
hsa-mir-194-1	24527	2527.837701	N
hsa-mir-194-2	28136	2899.793760	N
hsa-mir-195	213	21.952519	N
hsa-mir-196a-1	1	0.103063	N
hsa-mir-196a-2	3	0.309190	N
hsa-mir-196b	29	2.988841	N
hsa-mir-197	1864	192.110306	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	48	4.947047	N
hsa-mir-198	1	0.103063	N
hsa-mir-199a-1	13573	1398.880463	Y
hsa-mir-199a-2	20883	2152.274420	Y
hsa-mir-199b	23220	2393.133747	Y
hsa-mir-19a	274	28.239390	N
hsa-mir-19b-1	1188	122.439401	N
hsa-mir-19b-2	1119	115.328022	N
hsa-mir-200a	5975	615.804226	N
hsa-mir-200b	5714	588.904661	N
hsa-mir-200c	32460	3345.440199	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	20257	2087.756689	N
hsa-mir-203b	352	36.278341	N
hsa-mir-204	78	8.038951	N
hsa-mir-205	19	1.958206	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
