miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	31341	4044.418010	N
hsa-let-7a-2	31501	4065.065305	N
hsa-let-7a-3	31717	4092.939154	N
hsa-let-7b	21462	2769.576572	N
hsa-let-7c	2216	285.965040	N
hsa-let-7d	849	109.559711	N
hsa-let-7e	10126	1306.715701	N
hsa-let-7f-1	16427	2119.831998	N
hsa-let-7f-2	16787	2166.288413	N
hsa-let-7g	1638	211.376686	N
hsa-let-7i	1196	154.338532	N
hsa-mir-1-1	6	0.774274	N
hsa-mir-1-2	10	1.290456	N
hsa-mir-100	15536	2004.852372	N
hsa-mir-101-1	44896	5793.631058	N
hsa-mir-101-2	44791	5780.081270	N
hsa-mir-103a-1	98892	12761.577035	Y
hsa-mir-103a-2	99706	12866.620150	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1490	192.277937	N
hsa-mir-105-2	1530	197.439761	N
hsa-mir-106a	54	6.968462	Y
hsa-mir-106b	11173	1441.826439	N
hsa-mir-107	884	114.076306	Y
hsa-mir-10a	145440	18768.391417	N
hsa-mir-10b	45487	5869.897005	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	255	32.906627	N
hsa-mir-1181	1	0.129046	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	1.161410	N
hsa-mir-1185-2	4	0.516182	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	8	1.032365	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	234154	30216.542381	N
hsa-mir-1224	23	2.968049	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	41	5.290869	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	30	3.871368	N
hsa-mir-1229	45	5.807052	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.258091	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.258091	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	45	5.807052	N
hsa-mir-1248	7	0.903319	N
hsa-mir-1249	13	1.677593	N
hsa-mir-1250	19	2.451866	N
hsa-mir-1251	77	9.936511	N
hsa-mir-1252	2	0.258091	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	0.774274	N
hsa-mir-1254-2	7	0.903319	N
hsa-mir-1255a	4	0.516182	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.129046	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	3608	465.596509	N
hsa-mir-125b-1	508	65.555163	N
hsa-mir-125b-2	565	72.910761	N
hsa-mir-126	34642	4470.397521	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.258091	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	1.935684	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	82	10.581739	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3714	479.275342	N
hsa-mir-1269b	1834	236.669622	N
hsa-mir-127	3689	476.049202	N
hsa-mir-1270	2	0.258091	N
hsa-mir-1271	16	2.064730	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.516182	N
hsa-mir-1276	4	0.516182	N
hsa-mir-1277	13	1.677593	N
hsa-mir-1278	5	0.645228	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	838	108.140209	N
hsa-mir-128-2	704	90.848099	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	7	0.903319	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	70	9.033192	N
hsa-mir-1288	2	0.258091	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	8	1.032365	N
hsa-mir-129-2	9	1.161410	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.387137	N
hsa-mir-1292	11	1.419502	N
hsa-mir-1293	4	0.516182	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	24	3.097094	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	284	36.648949	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.258091	N
