miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	76751	8663.350970	N
hsa-let-7a-2	76403	8624.070099	Y
hsa-let-7a-3	76851	8674.638576	N
hsa-let-7b	42978	4851.187580	N
hsa-let-7c	57249	6462.041924	Y
hsa-let-7d	6041	681.884317	N
hsa-let-7e	14998	1692.915243	N
hsa-let-7f-1	59287	6692.083347	N
hsa-let-7f-2	60006	6773.241239	N
hsa-let-7g	6109	689.559889	N
hsa-let-7i	9450	1066.678827	N
hsa-mir-1-1	141	15.915525	N
hsa-mir-1-2	102	11.513359	N
hsa-mir-100	168462	19015.327893	Y
hsa-mir-101-1	67103	7574.322682	N
hsa-mir-101-2	67719	7643.854338	N
hsa-mir-103a-1	110435	12465.468389	Y
hsa-mir-103a-2	111062	12536.241683	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	245	27.654636	Y
hsa-mir-106b	3152	355.785361	N
hsa-mir-107	2843	320.906657	Y
hsa-mir-10a	213945	24149.270019	N
hsa-mir-10b	148902	16807.472034	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.338628	N
hsa-mir-1180	242	27.316008	N
hsa-mir-1181	1	0.112876	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	265	29.912158	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	15	1.693141	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	13	1.467389	N
hsa-mir-1229	4	0.451504	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.112876	N
hsa-mir-1243	2	0.225752	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	1.128761	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	3	0.338628	N
hsa-mir-1248	10	1.128761	N
hsa-mir-1249	25	2.821902	N
hsa-mir-1250	3	0.338628	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.451504	N
hsa-mir-1254-2	3	0.338628	N
hsa-mir-1255a	3	0.338628	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.112876	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	7754	875.241019	N
hsa-mir-125b-1	10304	1163.074988	N
hsa-mir-125b-2	11148	1258.342388	N
hsa-mir-126	78071	8812.347377	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.112876	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	0.790132	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	12	1.354513	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.225752	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	520	58.695555	N
hsa-mir-1270	14	1.580265	N
hsa-mir-1271	40	4.515043	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	10	1.128761	N
hsa-mir-1278	2	0.225752	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1042	117.616861	N
hsa-mir-128-2	730	82.399528	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	6	0.677256	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	590	66.596879	N
hsa-mir-1288	2	0.225752	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6	0.677256	N
hsa-mir-129-2	2	0.225752	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.338628	N
hsa-mir-1292	3	0.338628	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.225752	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	5	0.564380	N
hsa-mir-1296	31	3.499158	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	71	8.014201	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.112876	N
hsa-mir-1304	4	0.451504	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	35	3.950662	N
hsa-mir-1307	20490	2312.830600	N
hsa-mir-130a	850	95.944656	N
hsa-mir-130b	121	13.658004	N
hsa-mir-132	1020	115.133588	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.112876	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	100	11.287607	Y
hsa-mir-133a-2	93	10.497474	Y
hsa-mir-133b	17	1.918893	Y
hsa-mir-134	107	12.077739	N
hsa-mir-1343	7	0.790132	N
hsa-mir-135a-1	1	0.112876	N
hsa-mir-135a-2	1	0.112876	N
hsa-mir-135b	3	0.338628	N
hsa-mir-136	11	1.241637	N
hsa-mir-137	14	1.580265	N
hsa-mir-138-1	13	1.467389	N
hsa-mir-138-2	9	1.015885	N
hsa-mir-139	3318	374.522788	N
hsa-mir-140	31213	3523.200660	N
hsa-mir-141	16	1.806017	N
hsa-mir-142	15949	1800.260383	N
