miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	59698	10319.668045	N
hsa-let-7a-2	59753	10329.175595	Y
hsa-let-7a-3	59803	10337.818823	N
hsa-let-7b	43053	7442.337571	N
hsa-let-7c	16232	2805.937413	Y
hsa-let-7d	2234	386.179410	N
hsa-let-7e	7027	1214.719209	N
hsa-let-7f-1	43010	7434.904396	N
hsa-let-7f-2	43774	7566.972914	N
hsa-let-7g	6795	1174.614633	N
hsa-let-7i	1655	286.090834	N
hsa-mir-1-1	20	3.457291	N
hsa-mir-1-2	12	2.074375	N
hsa-mir-100	87272	15086.235211	N
hsa-mir-101-1	50448	8720.670936	N
hsa-mir-101-2	50894	8797.768526	N
hsa-mir-103a-1	50793	8780.309206	Y
hsa-mir-103a-2	50801	8781.692123	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	455	78.653371	N
hsa-mir-105-2	393	67.935769	N
hsa-mir-106a	26	4.494478	Y
hsa-mir-106b	2394	413.837738	N
hsa-mir-107	807	139.501694	Y
hsa-mir-10a	66688	11527.991265	N
hsa-mir-10b	20143	3482.010677	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	55	9.507550	N
hsa-mir-1181	1	0.172865	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.345729	N
hsa-mir-1185-2	1	0.172865	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	148545	25678.164925	N
hsa-mir-1224	1	0.172865	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.037187	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	12	2.074375	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
