miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	46910	10401.745524	N
hsa-let-7a-2	46589	10330.567517	Y
hsa-let-7a-3	46813	10380.236905	N
hsa-let-7b	53003	11752.797229	N
hsa-let-7c	18157	4026.103037	Y
hsa-let-7d	2768	613.771725	N
hsa-let-7e	2269	503.124293	N
hsa-let-7f-1	22080	4895.982545	N
hsa-let-7f-2	22796	5054.747196	N
hsa-let-7g	3620	802.692790	N
hsa-let-7i	1777	394.029030	N
hsa-mir-1-1	16	3.547813	N
hsa-mir-1-2	20	4.434767	N
hsa-mir-100	74622	16546.558399	N
hsa-mir-101-1	61026	13531.803930	N
hsa-mir-101-2	61961	13739.129278	N
hsa-mir-103a-1	67136	14886.625187	Y
hsa-mir-103a-2	67646	14999.711740	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.221738	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	38	8.426057	Y
hsa-mir-106b	3669	813.557969	N
hsa-mir-107	854	189.364542	Y
hsa-mir-10a	38629	8565.530332	N
hsa-mir-10b	58322	12932.223459	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.221738	N
hsa-mir-1180	40	8.869534	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	93213	20668.895876	N
hsa-mir-1224	2	0.443477	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	2.439122	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	24	5.321720	N
hsa-mir-1229	4	0.886953	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.221738	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.221738	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.443477	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	8	1.773907	N
hsa-mir-1248	2	0.443477	N
hsa-mir-1249	6	1.330430	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	19	4.213028	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.443477	N
hsa-mir-1254-2	2	0.443477	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	20	4.434767	N
hsa-mir-125a	951	210.873161	N
hsa-mir-125b-1	1941	430.394118	N
hsa-mir-125b-2	2027	449.463615	N
hsa-mir-126	24273	5382.254724	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.221738	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	64	14.191254	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	19	4.213028	N
hsa-mir-1269b	1788	396.468152	N
hsa-mir-127	1106	245.242604	N
hsa-mir-1270	5	1.108692	N
hsa-mir-1271	3	0.665215	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.665215	N
hsa-mir-1276	2	0.443477	N
hsa-mir-1277	11	2.439122	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1764	391.146432	N
hsa-mir-128-2	1061	235.264379	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	1	0.221738	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	40	8.869534	N
hsa-mir-1288	5	1.108692	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.221738	N
hsa-mir-1292	5	1.108692	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.443477	N
hsa-mir-1295a	4	0.886953	N
hsa-mir-1295b	112	24.834694	N
hsa-mir-1296	9	1.995645	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
