miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	77183	12579.826966	N
hsa-let-7a-2	76656	12493.932808	Y
hsa-let-7a-3	76809	12518.869822	N
hsa-let-7b	87761	14303.903637	N
hsa-let-7c	37402	6096.040426	Y
hsa-let-7d	2554	416.268843	N
hsa-let-7e	4759	775.655216	N
hsa-let-7f-1	49891	8131.585287	N
hsa-let-7f-2	50890	8294.409317	N
hsa-let-7g	7580	1235.441592	N
hsa-let-7i	1738	283.271436	N
hsa-mir-1-1	43	7.008442	N
hsa-mir-1-2	39	6.356494	N
hsa-mir-100	52070	8486.733998	Y
hsa-mir-101-1	145928	23784.369480	N
hsa-mir-101-2	146230	23833.591559	N
hsa-mir-103a-1	40280	6565.117062	Y
hsa-mir-103a-2	40293	6567.235893	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	64	10.431169	Y
hsa-mir-106b	2365	385.464296	N
hsa-mir-107	717	116.861691	Y
hsa-mir-10a	174002	28360.067007	N
hsa-mir-10b	9275	1511.704587	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	38	6.193507	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.488961	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.162987	N
hsa-mir-1197	1	0.162987	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	252758	41196.272552	N
hsa-mir-1224	1	0.162987	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.325974	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	14	2.281818	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.814935	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	363	59.164287	N
hsa-mir-1248	23	3.748701	N
hsa-mir-1249	19	3.096753	N
hsa-mir-1250	1	0.162987	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.162987	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	2	0.325974	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.162987	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	123	20.047403	N
hsa-mir-125a	3228	526.122092	N
hsa-mir-125b-1	3442	561.001314	N
hsa-mir-125b-2	3824	623.262355	N
hsa-mir-126	49702	8100.780740	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.977922	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	17	2.770779	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11	1.792857	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	6932	1129.826005	N
hsa-mir-1270	4	0.651948	N
hsa-mir-1271	14	2.281818	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.325974	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	20	3.259740	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	568	92.576626	N
hsa-mir-128-2	447	72.855197	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.651948	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.325974	N
hsa-mir-1287	148	24.122079	N
hsa-mir-1288	1	0.162987	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	4	0.651948	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	10	1.629870	N
hsa-mir-1292	2	0.325974	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	128	20.862338	N
hsa-mir-1296	53	8.638312	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	41	6.682468	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.162987	N
hsa-mir-1304	2	0.325974	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	68	11.083117	N
hsa-mir-1307	5141	837.916257	N
hsa-mir-130a	944	153.859744	N
hsa-mir-130b	143	23.307143	N
hsa-mir-132	364	59.327274	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	15	2.444805	Y
hsa-mir-133a-2	10	1.629870	Y
hsa-mir-133b	2	0.325974	Y
hsa-mir-134	3183	518.787676	N
hsa-mir-1343	4	0.651948	N
hsa-mir-135a-1	5	0.814935	N
hsa-mir-135a-2	2	0.325974	N
hsa-mir-135b	6	0.977922	N
hsa-mir-136	383	62.424028	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	10	1.629870	N
hsa-mir-138-2	5	0.814935	N
hsa-mir-139	2723	443.813648	N
hsa-mir-140	6033	983.300676	N
hsa-mir-141	203	33.086365	N
hsa-mir-142	15274	2489.463704	N
hsa-mir-143	445523	72614.464967	N
hsa-mir-144	1831	298.429229	N
hsa-mir-145	17470	2847.383195	N
hsa-mir-1468	120	19.558442	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1017	165.757797	N
hsa-mir-146b	8424	1373.002635	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.325974	N
hsa-mir-148a	987768	160993.360235	N
hsa-mir-148b	787	128.270783	N
hsa-mir-149	28	4.563636	N
hsa-mir-150	2090	340.642866	N
hsa-mir-151a	11948	1947.368884	N
hsa-mir-151b	23	3.748701	N
hsa-mir-152	5534	901.970154	N
hsa-mir-153-1	7	1.140909	N
hsa-mir-153-2	84	13.690909	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.162987	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	57	9.290260	N
hsa-mir-155	782	127.455848	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	807	131.530523	N
hsa-mir-15b	1404	228.833772	N
hsa-mir-16-1	2318	377.803906	N
hsa-mir-16-2	2424	395.080530	N
hsa-mir-17	3856	628.477939	Y
hsa-mir-181a-1	2338	381.063647	N
hsa-mir-181a-2	6489	1057.622756	N
hsa-mir-181b-1	430	70.084417	N
hsa-mir-181b-2	380	61.935067	N
hsa-mir-181c	191	31.130520	N
hsa-mir-181d	22	3.585714	N
hsa-mir-182	5200	847.532491	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	1354	220.684422	N
hsa-mir-184	7	1.140909	N
hsa-mir-185	394	64.216885	N
hsa-mir-186	1695	276.262995	N
hsa-mir-187	28	4.563636	N
hsa-mir-188	20	3.259740	N
hsa-mir-18a	47	7.660390	Y
hsa-mir-18b	3	0.488961	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	29	4.726624	N
hsa-mir-190b	4	0.651948	N
hsa-mir-191	4601	749.903267	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	335869	54742.286558	Y
hsa-mir-193a	4965	809.230542	N
hsa-mir-193b	1423	231.930526	N
hsa-mir-194-1	55995	9126.458041	N
hsa-mir-194-2	59525	9701.802213	N
hsa-mir-195	945	154.022731	N
hsa-mir-196a-1	0	0.000000	N
hsa-mir-196a-2	0	0.000000	N
hsa-mir-196b	53	8.638312	N
hsa-mir-197	2957	481.952611	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	41	6.682468	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	7928	1292.161074	Y
hsa-mir-199a-2	13356	2176.854605	Y
hsa-mir-199b	16665	2716.178646	Y
hsa-mir-19a	110	17.928572	N
hsa-mir-19b-1	453	73.833119	N
hsa-mir-19b-2	384	62.587015	N
hsa-mir-200a	893	145.547407	N
hsa-mir-200b	907	147.829225	N
hsa-mir-200c	745	121.425328	N
hsa-mir-202	9	1.466883	N
hsa-mir-203a	8087	1318.076010	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	251	40.909741	N
hsa-mir-205	4	0.651948	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.162987	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	1575	256.704552	N
hsa-mir-20b	11	1.792857	N
hsa-mir-21	309804	50494.029949	N
hsa-mir-210	1704	277.729878	N
hsa-mir-211	1	0.162987	N
hsa-mir-2110	15	2.444805	N
hsa-mir-2113	2	0.325974	N
hsa-mir-2114	4	0.651948	N
hsa-mir-2115	1	0.162987	N
hsa-mir-2116	15	2.444805	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	21	3.422727	N
hsa-mir-214	235	38.301949	N
hsa-mir-215	1440	234.701305	Y
hsa-mir-216a	89	14.505845	N
hsa-mir-216b	59	9.616234	N
hsa-mir-217	1386	225.900006	N
hsa-mir-218-1	93	15.157793	N
hsa-mir-218-2	96	15.646754	N
hsa-mir-219a-1	12	1.955844	N
hsa-mir-219a-2	3	0.488961	N
hsa-mir-219b	2	0.325974	N
hsa-mir-22	1134796	184957.015434	N
hsa-mir-221	328	53.459742	N
hsa-mir-222	101	16.461689	N
hsa-mir-223	1255	204.548707	N
hsa-mir-224	76	12.387013	N
hsa-mir-2276	1	0.162987	N
hsa-mir-2277	1	0.162987	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	146	23.796105	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	8911	1452.377312	Y
hsa-mir-23b	14258	2323.868895	Y
hsa-mir-23c	21	3.422727	N
hsa-mir-24-1	8921	1454.007183	N
hsa-mir-24-2	7877	1283.848736	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	31184	5082.587152	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	16527	2693.686437	N
hsa-mir-26a-2	16517	2692.056567	N
hsa-mir-26b	25440	4146.389723	N
hsa-mir-27a	6028	982.485741	Y
hsa-mir-27b	39840	6493.402774	Y
hsa-mir-28	30495	4970.289097	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	37	6.030520	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	65	10.594156	N
hsa-mir-29a	106878	17419.726449	N
hsa-mir-29b-1	1954	318.476632	Y
hsa-mir-29b-2	2079	338.850009	Y
hsa-mir-29c	36551	5957.338474	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	17	2.770779	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.162987	N
hsa-mir-3065	307	50.037014	N
hsa-mir-3074	28	4.563636	N
hsa-mir-30a	242031	39447.910816	Y
hsa-mir-30b	9982	1626.936408	Y
hsa-mir-30c-1	3544	577.625990	Y
hsa-mir-30c-2	4158	677.700018	Y
hsa-mir-30d	48862	7963.871646	N
hsa-mir-30e	217515	35452.121097	Y
hsa-mir-31	16	2.607792	N
hsa-mir-3115	2	0.325974	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	3	0.488961	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	9	1.466883	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	2	0.325974	N
hsa-mir-3130-1	36	5.867533	N
hsa-mir-3130-2	39	6.356494	N
hsa-mir-3131	2	0.325974	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	4	0.651948	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	1	0.162987	N
hsa-mir-3150b	0	0.000000	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	0	0.000000	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	6	0.977922	N
hsa-mir-3158-1	1	0.162987	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	4	0.651948	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	1	0.162987	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	17	2.770779	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	1	0.162987	N
hsa-mir-3174	0	0.000000	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	0	0.000000	N
hsa-mir-3177	1	0.162987	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	3	0.488961	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	4	0.651948	N
hsa-mir-3188	1	0.162987	N
hsa-mir-3189	0	0.000000	N
hsa-mir-3190	0	0.000000	N
hsa-mir-3191	3	0.488961	N
hsa-mir-3192	0	0.000000	N
hsa-mir-3193	1	0.162987	N
hsa-mir-3194	6	0.977922	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
