miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	99365	11391.061035	N
hsa-let-7a-2	99811	11442.189835	Y
hsa-let-7a-3	99808	11441.845919	N
hsa-let-7b	92855	10644.763975	N
hsa-let-7c	47301	5422.518774	Y
hsa-let-7d	2865	328.439489	N
hsa-let-7e	6507	745.953144	N
hsa-let-7f-1	40653	4660.401593	N
hsa-let-7f-2	41533	4761.283530	N
hsa-let-7g	6237	715.000731	N
hsa-let-7i	2674	306.543523	N
hsa-mir-1-1	22	2.522048	N
hsa-mir-1-2	22	2.522048	N
hsa-mir-100	67462	7733.746888	Y
hsa-mir-101-1	316295	36259.604992	N
hsa-mir-101-2	318945	36563.397190	N
hsa-mir-103a-1	82115	9413.545785	Y
hsa-mir-103a-2	83378	9558.334292	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	85	9.744278	Y
hsa-mir-106b	2943	337.381297	N
hsa-mir-107	903	103.518624	Y
hsa-mir-10a	221039	25339.593822	N
hsa-mir-10b	9521	1091.473780	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.114639	N
hsa-mir-1180	50	5.731928	N
hsa-mir-1181	3	0.343916	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.114639	N
hsa-mir-1185-2	2	0.229277	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.114639	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	201669	23119.044813	N
hsa-mir-1224	3	0.343916	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.343916	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	15	1.719578	N
hsa-mir-1229	1	0.114639	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.114639	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	0.687831	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	584	66.948922	N
hsa-mir-1248	14	1.604940	N
hsa-mir-1249	10	1.146386	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.229277	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	1	0.114639	N
hsa-mir-1255b-1	0	0.000000	N
