miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	56881	10612.705020	N
hsa-let-7a-2	56741	10586.584195	N
hsa-let-7a-3	57444	10717.748056	N
hsa-let-7b	52391	9774.972816	N
hsa-let-7c	28000	5224.165197	N
hsa-let-7d	2729	509.169529	N
hsa-let-7e	4112	767.205975	N
hsa-let-7f-1	25934	4838.696436	N
hsa-let-7f-2	26327	4912.021327	N
hsa-let-7g	3394	633.243453	N
hsa-let-7i	1488	277.627065	N
hsa-mir-1-1	12	2.238928	N
hsa-mir-1-2	26	4.851011	N
hsa-mir-100	32232	6013.760451	N
hsa-mir-101-1	84000	15672.495591	N
hsa-mir-101-2	85600	15971.019317	N
hsa-mir-103a-1	69279	12925.890739	Y
hsa-mir-103a-2	69174	12906.300119	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	93	17.351692	Y
hsa-mir-106b	2153	401.700988	N
hsa-mir-107	814	151.873945	Y
hsa-mir-10a	129589	24178.369419	N
hsa-mir-10b	8968	1673.225482	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.373155	N
hsa-mir-1180	78	14.553032	N
hsa-mir-1181	1	0.186577	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.373155	N
hsa-mir-1185-2	2	0.373155	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.186577	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	234394	43732.606329	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.186577	N
hsa-mir-1226	4	0.746309	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	19	3.544969	N
hsa-mir-1229	4	0.746309	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	1.119464	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	514	95.900747	N
hsa-mir-1248	7	1.306041	N
hsa-mir-1249	14	2.612083	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.559732	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.186577	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	112	20.896661	N
hsa-mir-125a	3289	613.652833	N
hsa-mir-125b-1	3911	729.703932	N
hsa-mir-125b-2	4362	813.850307	N
hsa-mir-126	30371	5666.540043	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.186577	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	1.119464	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	1.679196	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	66	12.314104	N
hsa-mir-127	6664	1243.351317	N
hsa-mir-1270	3	0.559732	N
hsa-mir-1271	22	4.104701	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.559732	N
hsa-mir-1276	1	0.186577	N
hsa-mir-1277	3	0.559732	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	780	145.530316	N
hsa-mir-128-2	535	99.818871	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	83	15.485918	N
hsa-mir-1288	2	0.373155	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.746309	N
hsa-mir-129-2	4	0.746309	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.932887	N
hsa-mir-1292	4	0.746309	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.186577	N
hsa-mir-1295a	1	0.186577	N
hsa-mir-1295b	132	24.628207	N
hsa-mir-1296	68	12.687258	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	33	6.157052	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.186577	N
hsa-mir-1304	2	0.373155	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	49	9.142289	N
hsa-mir-1307	9918	1850.473944	N
hsa-mir-130a	1110	207.100835	N
hsa-mir-130b	190	35.449692	N
hsa-mir-132	285	53.174539	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	13	2.425505	Y
hsa-mir-133a-2	19	3.544969	Y
hsa-mir-133b	3	0.559732	Y
hsa-mir-134	1862	347.406986	N
hsa-mir-1343	3	0.559732	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	224	41.793322	N
hsa-mir-137	1	0.186577	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.186577	N
hsa-mir-139	4284	799.297275	N
hsa-mir-140	9959	1858.123614	N
hsa-mir-141	8	1.492619	N
hsa-mir-142	4688	874.674516	N
hsa-mir-143	230868	43074.734668	N
hsa-mir-144	854	159.337039	N
hsa-mir-145	12533	2338.373658	N
hsa-mir-1468	137	25.561094	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	339	63.249714	N
hsa-mir-146b	11869	2214.486312	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	825266	153975.925554	N
hsa-mir-148b	652	121.648418	N
hsa-mir-149	34	6.343629	N
hsa-mir-150	1527	284.903581	N
hsa-mir-151a	14232	2655.368539	N
hsa-mir-151b	28	5.224165	N
hsa-mir-152	2215	413.268783	N
hsa-mir-153-1	2	0.373155	N
hsa-mir-153-2	41	7.649670	N
hsa-mir-1537	1	0.186577	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	1	0.186577	N
hsa-mir-154	58	10.821485	N
hsa-mir-155	559	104.296727	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1004	187.323638	N
hsa-mir-15b	1064	198.518277	N
hsa-mir-16-1	982	183.218937	N
hsa-mir-16-2	1035	193.107535	N
hsa-mir-17	6208	1158.272055	Y
hsa-mir-181a-1	4439	828.216761	N
hsa-mir-181a-2	7694	1435.525965	N
hsa-mir-181b-1	578	107.841696	N
hsa-mir-181b-2	557	103.923572	N
hsa-mir-181c	174	32.464455	N
