miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	55762	5025.756982	N
hsa-let-7a-2	55461	4998.628241	Y
hsa-let-7a-3	55277	4982.044559	N
hsa-let-7b	60234	5428.812561	N
hsa-let-7c	5270	474.978288	Y
hsa-let-7d	8567	772.132636	N
hsa-let-7e	13604	1226.110935	N
hsa-let-7f-1	24902	2244.385072	N
hsa-let-7f-2	25529	2300.895771	N
hsa-let-7g	4267	384.579194	N
hsa-let-7i	2762	248.935490	N
hsa-mir-1-1	39	3.515020	N
hsa-mir-1-2	32	2.884119	N
hsa-mir-100	43650	3934.118078	N
hsa-mir-101-1	58783	5298.035807	N
hsa-mir-101-2	58484	5271.087324	N
hsa-mir-103a-1	79437	7159.554130	Y
hsa-mir-103a-2	80250	7232.828769	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.090129	N
hsa-mir-105-2	2	0.180257	N
hsa-mir-106a	77	6.939910	Y
hsa-mir-106b	3340	301.029883	N
hsa-mir-107	620	55.879799	Y
hsa-mir-10a	438403	39512.695710	N
hsa-mir-10b	121630	10962.354681	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	157	14.150207	N
hsa-mir-1181	1	0.090129	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.180257	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	532	47.948472	N
hsa-mir-1224	16	1.442059	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	0.630901	N
hsa-mir-1227	2	0.180257	N
hsa-mir-1228	10	0.901287	N
hsa-mir-1229	7	0.630901	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.090129	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	12	1.081544	N
hsa-mir-1245b	1	0.090129	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	116	10.454930	N
hsa-mir-1248	8	0.721030	N
hsa-mir-1249	17	1.532188	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.090129	N
hsa-mir-1254-2	1	0.090129	N
hsa-mir-1255a	8	0.721030	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	13464	1213.492916	N
hsa-mir-125b-1	2698	243.167253	N
hsa-mir-125b-2	2776	250.197292	N
hsa-mir-126	44398	4001.534351	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	1.081544	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	115	10.364801	N
hsa-mir-1267	2	0.180257	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7	0.630901	N
hsa-mir-1269b	1	0.090129	N
hsa-mir-127	4282	385.931125	N
hsa-mir-1270	3	0.270386	N
hsa-mir-1271	8	0.721030	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	4	0.360515	N
hsa-mir-1276	2	0.180257	N
hsa-mir-1277	25	2.253218	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	485	43.712423	N
hsa-mir-128-2	369	33.257493	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	258	23.253207	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.360515	N
hsa-mir-129-2	8	0.721030	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.450644	N
hsa-mir-1292	0	0.000000	N
hsa-mir-1293	3	0.270386	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	4	0.360515	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	33	2.974247	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.090129	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	279	25.145909	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.090129	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.270386	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	99	8.922742	N
hsa-mir-1307	30682	2765.329000	N
hsa-mir-130a	1107	99.772479	N
hsa-mir-130b	49	4.416307	N
hsa-mir-132	806	72.643738	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.090129	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	31	2.793990	Y
hsa-mir-133a-2	27	2.433475	Y
hsa-mir-133b	4	0.360515	Y
hsa-mir-134	1271	114.553587	N
hsa-mir-1343	6	0.540772	N
hsa-mir-135a-1	3	0.270386	N
hsa-mir-135a-2	5	0.450644	N
hsa-mir-135b	2	0.180257	N
hsa-mir-136	361	32.536463	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.090129	N
hsa-mir-138-2	1	0.090129	N
hsa-mir-139	303	27.308998	N
hsa-mir-140	8997	810.887980	N
hsa-mir-141	65	5.858366	N
hsa-mir-142	7070	637.209961	N
hsa-mir-143	510217	45985.198703	N
hsa-mir-144	50	4.506435	N
hsa-mir-145	18714	1686.668630	N
hsa-mir-1468	63	5.678109	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	459	41.369077	N
hsa-mir-146b	965	86.974203	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	0.270386	N
hsa-mir-148a	89067	8027.493582	N
