miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	64721	12281.453470	N
hsa-let-7a-2	64309	12203.272372	N
hsa-let-7a-3	64767	12290.182428	N
hsa-let-7b	58352	11072.872374	N
hsa-let-7c	7797	1479.558300	N
hsa-let-7d	2280	432.652677	N
hsa-let-7e	3986	756.383145	N
hsa-let-7f-1	39587	7512.026985	N
hsa-let-7f-2	39985	7587.551444	N
hsa-let-7g	5162	979.540842	N
hsa-let-7i	1201	227.901695	N
hsa-mir-1-1	18	3.415679	N
hsa-mir-1-2	15	2.846399	N
hsa-mir-100	19621	3723.279902	N
hsa-mir-101-1	44572	8457.980317	N
hsa-mir-101-2	44863	8513.200461	N
hsa-mir-103a-1	49645	9420.632523	Y
hsa-mir-103a-2	49617	9415.319245	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	22	4.174719	Y
hsa-mir-106b	1701	322.781668	N
hsa-mir-107	1188	225.434816	Y
hsa-mir-10a	53350	10123.693123	N
hsa-mir-10b	16243	3082.270804	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	53	10.057277	N
hsa-mir-1181	1	0.189760	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.189760	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	93400	17723.578964	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.189760	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	1.707840	N
hsa-mir-1229	4	0.759040	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.189760	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	133	25.238073	N
hsa-mir-1248	10	1.897599	N
hsa-mir-1249	7	1.328320	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.379520	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	3	0.569280	N
hsa-mir-1255a	14	2.656639	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.189760	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	824	156.362196	N
hsa-mir-125b-1	592	112.337888	N
hsa-mir-125b-2	626	118.789726	N
hsa-mir-126	16998	3225.539563	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.189760	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	121	22.960953	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5	0.948800	N
hsa-mir-1269b	17	3.225919	N
hsa-mir-127	3063	581.234715	N
hsa-mir-1270	1	0.189760	N
hsa-mir-1271	5	0.948800	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.189760	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	7	1.328320	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	665	126.190364	N
hsa-mir-128-2	538	102.090851	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.379520	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	41	7.780158	N
hsa-mir-1288	4	0.759040	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.379520	N
hsa-mir-1292	1	0.189760	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.189760	N
hsa-mir-1295a	2	0.379520	N
hsa-mir-1295b	292	55.409904	N
hsa-mir-1296	16	3.036159	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.189760	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	44	8.349438	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.189760	N
hsa-mir-1304	4	0.759040	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	55	10.436797	N
hsa-mir-1307	11038	2094.570285	N
hsa-mir-130a	188	35.674870	N
hsa-mir-130b	163	30.930871	N
hsa-mir-132	306	58.066543	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.379520	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	15	2.846399	Y
hsa-mir-133a-2	4	0.759040	N
hsa-mir-133b	2	0.379520	Y
hsa-mir-134	1130	214.428739	N
hsa-mir-1343	3	0.569280	N
hsa-mir-135a-1	7	1.328320	N
hsa-mir-135a-2	10	1.897599	N
hsa-mir-135b	1	0.189760	N
hsa-mir-136	197	37.382709	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.189760	N
hsa-mir-138-2	1	0.189760	N
hsa-mir-139	707	134.160282	N
hsa-mir-140	8092	1535.537484	N
hsa-mir-141	20	3.795199	N
hsa-mir-142	7705	1462.100385	N
hsa-mir-143	268402	50931.949047	N
hsa-mir-144	267	50.665906	N
hsa-mir-145	3332	632.280140	N
hsa-mir-1468	87	16.509115	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	697	132.262682	N
hsa-mir-146b	12058	2288.125430	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	7	1.328320	N
hsa-mir-148a	252505	47915.335184	N
hsa-mir-148b	1844	349.917341	N
hsa-mir-149	25	4.743999	N
hsa-mir-150	3124	592.810072	N
hsa-mir-151a	22138	4200.905686	N
hsa-mir-151b	30	5.692798	N
hsa-mir-152	1754	332.838945	N
hsa-mir-153-1	2	0.379520	N
hsa-mir-153-2	18	3.415679	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	19	3.605439	N
hsa-mir-155	623	118.220446	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	628	119.169246	N
hsa-mir-15b	847	160.726674	N
hsa-mir-16-1	743	140.991640	N
hsa-mir-16-2	809	153.515796	N
hsa-mir-17	3121	592.240792	Y
hsa-mir-181a-1	1870	354.851099	N
hsa-mir-181a-2	4205	797.940573	N
hsa-mir-181b-1	426	80.837737	N
hsa-mir-181b-2	408	77.422058	N
hsa-mir-181c	73	13.852476	N
hsa-mir-181d	16	3.036159	N
hsa-mir-182	60380	11457.705544	N
hsa-mir-1825	1	0.189760	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	19225	3648.134963	N
hsa-mir-184	4	0.759040	N
hsa-mir-185	854	162.054994	N
hsa-mir-186	2077	394.131408	N
hsa-mir-187	2	0.379520	N
hsa-mir-188	23	4.364479	N
hsa-mir-18a	45	8.539198	N
hsa-mir-18b	1	0.189760	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	0.189760	N
hsa-mir-190a	9	1.707840	N
hsa-mir-190b	15	2.846399	N
hsa-mir-191	2132	404.568205	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	1	0.189760	N
hsa-mir-192	361785	68652.302092	Y
hsa-mir-193a	1814	344.224542	N
hsa-mir-193b	792	150.289877	N
hsa-mir-194-1	48282	9161.989717	N
hsa-mir-194-2	54740	10387.459448	N
hsa-mir-195	120	22.771194	N
hsa-mir-196a-1	0	0.000000	N
hsa-mir-196a-2	0	0.000000	N
hsa-mir-196b	1059	200.955783	N
hsa-mir-197	1127	213.859459	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	34	6.451838	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	2762	524.116971	Y
hsa-mir-199a-2	4549	863.217995	Y
hsa-mir-199b	5139	975.176363	Y
hsa-mir-19a	151	28.653752	N
hsa-mir-19b-1	337	63.949102	N
hsa-mir-19b-2	321	60.912943	N
hsa-mir-200a	189	35.864630	N
hsa-mir-200b	199	37.762229	N
hsa-mir-200c	75	14.231996	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	4976	944.245492	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	113	21.442874	N
hsa-mir-205	1	0.189760	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	2	0.379520	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	938	177.994829	N
hsa-mir-20b	54	10.247037	N
hsa-mir-21	1714645	325370.942743	N
hsa-mir-210	180	34.156790	N
hsa-mir-211	1	0.189760	N
hsa-mir-2110	14	2.656639	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	4	0.759040	N
hsa-mir-2115	1	0.189760	N
hsa-mir-2116	3	0.569280	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	16	3.036159	N
hsa-mir-214	86	16.319355	N
hsa-mir-215	3659	694.331643	Y
hsa-mir-216a	2	0.379520	N
hsa-mir-216b	3	0.569280	N
hsa-mir-217	142	26.945912	N
hsa-mir-218-1	69	13.093436	N
hsa-mir-218-2	66	12.524156	N
hsa-mir-219a-1	28	5.313278	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	1	0.189760	N
hsa-mir-22	984985	186910.700487	N
hsa-mir-221	1209	229.419775	N
hsa-mir-222	285	54.081585	N
hsa-mir-223	881	167.178512	N
hsa-mir-224	1683	319.365989	N
hsa-mir-2276	8	1.518080	N
hsa-mir-2277	8	1.518080	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	106	20.114554	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	5996	1137.800637	Y
hsa-mir-23b	4332	822.040086	Y
hsa-mir-23c	3	0.569280	N
hsa-mir-24-1	3111	590.343192	N
hsa-mir-24-2	3143	596.415511	N
hsa-mir-2467	1	0.189760	N
hsa-mir-25	37085	7037.247600	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	5885	1116.737283	N
hsa-mir-26a-2	5981	1134.954237	N
hsa-mir-26b	4488	851.642638	N
hsa-mir-27a	3202	607.611347	Y
hsa-mir-27b	9144	1735.164947	Y
hsa-mir-28	25194	4780.812081	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	9	1.707840	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	30	5.692798	N
hsa-mir-29a	61845	11735.703865	N
hsa-mir-29b-1	3094	587.117273	Y
hsa-mir-29b-2	3342	634.177740	N
hsa-mir-29c	18833	3573.749064	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	32	6.072318	N
hsa-mir-301b	4	0.759040	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	4	0.759040	N
hsa-mir-3065	34	6.451838	N
hsa-mir-3074	17	3.225919	N
hsa-mir-30a	95844	18187.352272	Y
hsa-mir-30b	2123	402.860366	Y
hsa-mir-30c-1	1195	226.763136	Y
hsa-mir-30c-2	1247	236.630653	N
hsa-mir-30d	63918	12129.076233	N
hsa-mir-30e	100506	19072.013140	Y
hsa-mir-31	1	0.189760	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	1	0.189760	N
hsa-mir-3117	3	0.569280	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	17	3.225919	N
hsa-mir-3128	1	0.189760	N
hsa-mir-3129	4	0.759040	N
hsa-mir-3130-1	53	10.057277	N
hsa-mir-3130-2	51	9.677757	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	2	0.379520	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	5	0.948800	N
hsa-mir-3137	4	0.759040	N
hsa-mir-3138	1	0.189760	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	1	0.189760	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	5	0.948800	N
hsa-mir-3146	0	0.000000	N
