miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	30729	7109.438949	N
hsa-let-7a-2	30728	7109.207590	N
hsa-let-7a-3	30520	7061.084862	N
hsa-let-7b	23993	5551.002919	N
hsa-let-7c	7908	1829.589092	N
hsa-let-7d	4135	956.670574	N
hsa-let-7e	3206	741.737813	N
hsa-let-7f-1	20247	4684.331101	N
hsa-let-7f-2	20446	4730.371595	N
hsa-let-7g	5415	1252.810437	N
hsa-let-7i	1506	348.427058	N
hsa-mir-1-1	11	2.544952	N
hsa-mir-1-2	11	2.544952	N
hsa-mir-100	5049	1168.132945	N
hsa-mir-101-1	29449	6813.299086	N
hsa-mir-101-2	29595	6847.077539	N
hsa-mir-103a-1	111968	25904.834530	Y
hsa-mir-103a-2	111697	25842.136168	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	470	108.738856	N
hsa-mir-105-2	524	121.232256	N
hsa-mir-106a	89	20.590975	Y
hsa-mir-106b	6158	1424.710373	N
hsa-mir-107	803	185.781492	Y
hsa-mir-10a	109788	25400.471325	N
hsa-mir-10b	16174	3742.004802	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	144	33.315735	N
hsa-mir-1181	2	0.462719	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.694078	N
hsa-mir-1185-2	1	0.231359	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	111251	25738.949934	N
hsa-mir-1224	4	0.925437	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	49	11.336604	N
hsa-mir-1227	2	0.462719	N
hsa-mir-1228	20	4.627185	N
hsa-mir-1229	35	8.097574	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.231359	N
hsa-mir-1236	3	0.694078	N
hsa-mir-1237	1	0.231359	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.231359	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	16	3.701748	N
hsa-mir-1248	10	2.313593	N
hsa-mir-1249	14	3.239030	N
hsa-mir-1250	1	0.231359	N
hsa-mir-1251	46	10.642526	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.925437	N
hsa-mir-1254-2	1	0.231359	N
hsa-mir-1255a	2	0.462719	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.462719	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.231359	N
hsa-mir-125a	1126	260.510536	N
hsa-mir-125b-1	735	170.049062	N
hsa-mir-125b-2	832	192.490911	N
hsa-mir-126	27956	6467.879699	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.231359	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.925437	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	30	6.940778	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11813	2733.047034	N
hsa-mir-1269b	1913	442.590280	N
hsa-mir-127	2813	650.813621	N
hsa-mir-1270	15	3.470389	N
hsa-mir-1271	15	3.470389	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.462719	N
hsa-mir-1276	3	0.694078	N
hsa-mir-1277	10	2.313593	N
hsa-mir-1278	1	0.231359	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	665	153.853913	N
hsa-mir-128-2	522	120.769538	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	134	31.002142	N
hsa-mir-1288	7	1.619515	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.231359	N
hsa-mir-129-2	2	0.462719	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.925437	N
hsa-mir-1292	3	0.694078	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.231359	N
hsa-mir-1295a	8	1.850874	N
hsa-mir-1295b	15	3.470389	N
hsa-mir-1296	30	6.940778	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	50	11.567963	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	1	0.231359	N
hsa-mir-1304	6	1.388156	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	134	31.002142	N
hsa-mir-1307	27883	6450.990472	N
hsa-mir-130a	225	52.055835	N
hsa-mir-130b	492	113.828760	N
hsa-mir-132	529	122.389053	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	7	1.619515	Y
hsa-mir-133a-2	2	0.462719	N
hsa-mir-133b	2	0.462719	Y
hsa-mir-134	896	207.297904	N
hsa-mir-1343	6	1.388156	N
hsa-mir-135a-1	6	1.388156	N
hsa-mir-135a-2	12	2.776311	N
hsa-mir-135b	5	1.156796	N
hsa-mir-136	77	17.814664	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.231359	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	283	65.474673	N
hsa-mir-140	9640	2230.303344	N
hsa-mir-141	93	21.516412	N
hsa-mir-142	8945	2069.508653	N
hsa-mir-143	249724	57775.961865	N
hsa-mir-144	462	106.887982	N
hsa-mir-145	4529	1047.826125	N
hsa-mir-1468	13	3.007670	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	295	68.250984	N
hsa-mir-146b	16505	3818.584720	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	1.388156	N
hsa-mir-148a	218730	50605.212709	N
hsa-mir-148b	1112	257.271506	N
hsa-mir-149	416	96.245456	N
hsa-mir-150	602	139.278279	N
hsa-mir-151a	41274	9549.122431	N
hsa-mir-151b	21	4.858545	N
hsa-mir-152	1506	348.427058	N
hsa-mir-153-1	3	0.694078	N
