miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	28283	10739.691863	N
hsa-let-7a-2	28436	10797.789407	N
hsa-let-7a-3	28373	10773.866889	N
hsa-let-7b	9092	3452.437097	N
hsa-let-7c	2955	1122.080029	N
hsa-let-7d	432	164.040126	N
hsa-let-7e	4862	1846.210863	N
hsa-let-7f-1	9051	3436.868474	N
hsa-let-7f-2	9300	3531.419380	N
hsa-let-7g	1049	398.328917	N
hsa-let-7i	542	205.809603	N
hsa-mir-1-1	14	5.316115	N
hsa-mir-1-2	7	2.658058	N
hsa-mir-100	1328	504.271499	N
hsa-mir-101-1	8246	3131.191850	N
hsa-mir-101-2	8285	3146.001028	N
hsa-mir-103a-1	97517	37029.400395	Y
hsa-mir-103a-2	97388	36980.416191	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	249	94.550906	N
hsa-mir-105-2	239	90.753681	N
hsa-mir-106a	68	25.821131	Y
hsa-mir-106b	2040	774.633929	N
hsa-mir-107	376	142.775665	Y
hsa-mir-10a	12814	4865.764294	N
hsa-mir-10b	41378	15712.158183	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	107	40.630309	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	30	11.391675	N
hsa-mir-1185-2	7	2.658058	N
hsa-mir-1193	4	1.518890	N
hsa-mir-1197	19	7.214728	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	43391	16476.539604	N
hsa-mir-1224	2	0.759445	N
