miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	41447	9802.201150	N
hsa-let-7a-2	41527	9821.121122	N
hsa-let-7a-3	41670	9854.940572	N
hsa-let-7b	20855	4932.200279	N
hsa-let-7c	4780	1130.468345	N
hsa-let-7d	8356	1976.191107	N
hsa-let-7e	2452	579.897151	N
hsa-let-7f-1	57064	13495.616242	N
hsa-let-7f-2	56849	13444.768817	N
hsa-let-7g	3613	854.473249	N
hsa-let-7i	1011	239.101150	N
hsa-mir-1-1	5	1.182498	N
hsa-mir-1-2	7	1.655498	N
hsa-mir-100	6319	1494.441312	Y
hsa-mir-101-1	21225	5019.705151	N
hsa-mir-101-2	21500	5084.742556	N
hsa-mir-103a-1	70569	16689.544067	Y
hsa-mir-103a-2	70835	16752.452974	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.236500	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	48	11.351983	Y
hsa-mir-106b	3540	837.208774	N
hsa-mir-107	413	97.674357	Y
hsa-mir-10a	29024	6864.165951	N
hsa-mir-10b	52555	12429.239304	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	426	100.748853	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	18	4.256994	N
hsa-mir-1185-2	10	2.364997	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	34	8.040988	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	29297	6928.730356	N
hsa-mir-1224	2	0.472999	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	51	12.061482	N
hsa-mir-1227	7	1.655498	N
hsa-mir-1228	67	15.845477	N
hsa-mir-1229	4	0.945999	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.472999	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.236500	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	489	115.648331	N
hsa-mir-1248	3	0.709499	N
hsa-mir-1249	31	7.331489	N
hsa-mir-1250	1	0.236500	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.236500	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	6	1.418998	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.472999	N
hsa-mir-1257	1	0.236500	N
hsa-mir-1258	4	0.945999	N
hsa-mir-125a	577	136.460300	N
hsa-mir-125b-1	267	63.145408	N
hsa-mir-125b-2	346	81.828880	N
hsa-mir-126	14062	3325.658131	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.236500	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.472999	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	220	52.029924	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	254	60.070912	N
hsa-mir-1269b	3	0.709499	N
hsa-mir-127	18884	4466.059462	N
hsa-mir-1270	36	8.513988	N
hsa-mir-1271	4	0.945999	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	8	1.891997	N
hsa-mir-1276	6	1.418998	N
hsa-mir-1277	5	1.182498	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1603	379.108945	N
hsa-mir-128-2	1207	285.455082	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	8	1.891997	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	67	15.845477	N
hsa-mir-1288	1	0.236500	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.472999	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-1292	5	1.182498	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	0	0.000000	N
hsa-mir-1295b	17	4.020494	N
hsa-mir-1296	103	24.359464	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	53	12.534482	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	14	3.310995	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	149	35.238448	N
hsa-mir-1307	24739	5850.764934	N
hsa-mir-130a	388	91.761866	N
hsa-mir-130b	416	98.383856	N
hsa-mir-132	227	53.685421	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	5	1.182498	Y
hsa-mir-133a-2	2	0.472999	N
hsa-mir-133b	1	0.236500	Y
hsa-mir-134	13005	3075.677997	N
hsa-mir-1343	9	2.128497	N
hsa-mir-135a-1	1	0.236500	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	3	0.709499	N
hsa-mir-136	317	74.970390	N
hsa-mir-137	115	27.197460	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.236500	N
hsa-mir-139	276	65.273904	N
hsa-mir-140	7308	1728.339470	N
hsa-mir-141	30	7.094990	N
hsa-mir-142	1602	378.872445	N
hsa-mir-143	273510	64685.020301	N
hsa-mir-144	462	109.262840	N
hsa-mir-145	2335	552.226692	N
hsa-mir-1468	109	25.778462	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	409	96.728358	N
hsa-mir-146b	6368	1506.029795	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	419530	99218.699744	N
hsa-mir-148b	1136	268.663607	N
hsa-mir-149	26	6.148991	N
hsa-mir-150	366	86.558873	N
hsa-mir-151a	41930	9916.430482	N
hsa-mir-151b	2	0.472999	N
hsa-mir-152	3032	717.066950	N
hsa-mir-153-1	4	0.945999	N
hsa-mir-153-2	38	8.986987	N
hsa-mir-1537	1	0.236500	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	155	36.657446	N
hsa-mir-155	462	109.262840	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	349	82.538379	N
hsa-mir-15b	1339	316.673036	N
hsa-mir-16-1	450	106.424844	N
hsa-mir-16-2	483	114.229333	N
hsa-mir-17	6183	1462.277359	Y
hsa-mir-181a-1	1414	334.410510	N
hsa-mir-181a-2	5473	1294.362605	N
hsa-mir-181b-1	333	78.754385	N
hsa-mir-181b-2	350	82.774879	N
hsa-mir-181c	72	17.027975	N
hsa-mir-181d	20	4.729993	N
hsa-mir-182	5721	1353.014519	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	3335	788.726345	N
hsa-mir-184	2	0.472999	N
hsa-mir-185	631	149.231282	N
hsa-mir-186	1776	420.023385	N
hsa-mir-187	0	0.000000	N
hsa-mir-188	49	11.588483	N
hsa-mir-18a	235	55.577419	Y
hsa-mir-18b	7	1.655498	Y
hsa-mir-1908	3	0.709499	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	23	5.439492	N
hsa-mir-190b	3	0.709499	N
hsa-mir-191	2062	487.662286	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.236500	N
hsa-mir-1915	7	1.655498	N
hsa-mir-192	196490	46469.816968	Y
hsa-mir-193a	3380	799.368830	N
hsa-mir-193b	683	161.529264	N
hsa-mir-194-1	43404	10265.030972	N
hsa-mir-194-2	47133	11146.938181	N
hsa-mir-195	87	20.575470	N
hsa-mir-196a-1	2	0.472999	N
hsa-mir-196a-2	1	0.236500	N
hsa-mir-196b	10	2.364997	N
hsa-mir-197	2771	655.340541	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	11	2.601496	N
