miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	17572	5268.725383	N
hsa-let-7a-2	17220	5163.182967	N
hsa-let-7a-3	17441	5229.446814	N
hsa-let-7b	7705	2310.239533	N
hsa-let-7c	10837	3249.327167	N
hsa-let-7d	419	125.631455	N
hsa-let-7e	1059	317.526757	N
hsa-let-7f-1	5389	1615.818409	N
hsa-let-7f-2	5493	1647.001396	N
hsa-let-7g	1206	361.602710	N
hsa-let-7i	384	115.137181	N
hsa-mir-1-1	7	2.098855	N
hsa-mir-1-2	4	1.199346	N
hsa-mir-100	21733	6516.344682	N
hsa-mir-101-1	88189	26442.273096	N
hsa-mir-101-2	89342	26787.984476	N
hsa-mir-103a-1	24027	7204.169405	Y
hsa-mir-103a-2	23673	7098.027316	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	25	7.495910	Y
hsa-mir-106b	1123	336.716288	N
hsa-mir-107	339	101.644543	Y
hsa-mir-10a	12600	3777.938757	N
hsa-mir-10b	29439	8826.884052	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	5	1.499182	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.299836	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	16023	4804.278785	N
hsa-mir-1224	1	0.299836	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.599673	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	132	39.578406	N
hsa-mir-1248	1	0.299836	N
hsa-mir-1249	3	0.899509	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.299836	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.899509	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	18	5.397055	N
hsa-mir-125a	238	71.361065	N
hsa-mir-125b-1	2231	668.935029	N
hsa-mir-125b-2	2472	741.195604	N
hsa-mir-126	16539	4958.994373	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.299836	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	1.799018	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1923	576.585415	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	563	168.807898	N
hsa-mir-1270	4	1.199346	N
hsa-mir-1271	4	1.199346	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.299836	N
hsa-mir-1277	2	0.599673	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	680	203.888758	N
hsa-mir-128-2	443	132.827529	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
