miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	40022	10825.220909	N
hsa-let-7a-2	39714	10741.912528	Y
hsa-let-7a-3	40214	10877.153407	N
hsa-let-7b	63739	17240.236758	N
hsa-let-7c	2459	665.114642	Y
hsa-let-7d	1799	486.596682	N
hsa-let-7e	5129	1387.300936	N
hsa-let-7f-1	15348	4151.354018	N
hsa-let-7f-2	15255	4126.199215	N
hsa-let-7g	2309	624.542379	N
hsa-let-7i	995	269.129349	N
hsa-mir-1-1	13	3.516263	N
hsa-mir-1-2	21	5.680117	N
hsa-mir-100	10341	2797.051857	N
hsa-mir-101-1	22350	6045.267286	N
hsa-mir-101-2	22126	5984.679372	N
hsa-mir-103a-1	31954	8642.974088	Y
hsa-mir-103a-2	31954	8642.974088	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	29	7.843971	Y
hsa-mir-106b	1974	533.930990	N
hsa-mir-107	388	104.946922	Y
hsa-mir-10a	54499	14740.985316	N
hsa-mir-10b	4682	1266.395590	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	56	15.146978	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.270482	N
hsa-mir-1185-2	2	0.540964	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	78363	21195.761984	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.352409	N
hsa-mir-1227	2	0.540964	N
hsa-mir-1228	13	3.516263	N
hsa-mir-1229	4	1.081927	N
hsa-mir-1231	0	0.000000	N
