miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	20835	4760.367422	N
hsa-let-7a-2	20841	4761.738298	N
hsa-let-7a-3	20971	4791.440615	N
hsa-let-7b	13924	3181.346580	N
hsa-let-7c	1896	433.196863	N
hsa-let-7d	2092	477.978817	N
hsa-let-7e	902	206.088381	N
hsa-let-7f-1	10882	2486.312373	N
hsa-let-7f-2	11114	2539.319584	N
hsa-let-7g	2413	551.320691	N
hsa-let-7i	1143	261.151906	N
hsa-mir-1-1	4	0.913917	N
hsa-mir-1-2	3	0.685438	N
hsa-mir-100	7892	1803.159093	N
hsa-mir-101-1	33968	7760.986830	N
hsa-mir-101-2	34393	7858.090557	N
hsa-mir-103a-1	32043	7321.164066	Y
hsa-mir-103a-2	31763	7257.189846	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.456959	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	87	19.877704	Y
hsa-mir-106b	1568	358.255633	N
hsa-mir-107	279	63.745741	Y
hsa-mir-10a	78248	17878.052798	N
hsa-mir-10b	47837	10929.767045	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	181	41.354764	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.228479	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	66891	15283.212731	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.228479	N
hsa-mir-1226	3	0.685438	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	15	3.427190	N
hsa-mir-1229	3	0.685438	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	3	0.685438	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	0.913917	N
hsa-mir-1248	14	3.198711	N
hsa-mir-1249	9	2.056314	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	9	2.056314	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	445	101.673314	N
hsa-mir-125b-1	584	133.431945	N
hsa-mir-125b-2	593	135.488259	N
hsa-mir-126	13968	3191.399671	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.685438	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	13	2.970232	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5604	1280.398322	N
hsa-mir-1269b	2786	636.543491	N
hsa-mir-127	1886	430.912069	N
hsa-mir-1270	2	0.456959	N
hsa-mir-1271	8	1.827835	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.228479	N
hsa-mir-1277	1	0.228479	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	257	58.719195	N
hsa-mir-128-2	161	36.785177	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	48	10.967009	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.456959	N
hsa-mir-129-2	6	1.370876	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.228479	N
hsa-mir-1292	4	0.913917	N
hsa-mir-1293	1	0.228479	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	4	0.913917	N
hsa-mir-1295b	61	13.937241	N
hsa-mir-1296	15	3.427190	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	17	3.884149	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	2	0.456959	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	44	10.053092	N
hsa-mir-1307	9558	2183.805703	N
hsa-mir-130a	135	30.844713	N
hsa-mir-130b	54	12.337885	N
hsa-mir-132	292	66.715973	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1	0.228479	N
hsa-mir-133a-2	2	0.456959	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	498	113.782720	N
hsa-mir-1343	3	0.685438	N
hsa-mir-135a-1	17	3.884149	N
hsa-mir-135a-2	22	5.026546	N
hsa-mir-135b	1	0.228479	N
hsa-mir-136	66	15.079638	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.228479	N
hsa-mir-139	138	31.530151	N
hsa-mir-140	7429	1697.373150	N
hsa-mir-141	5	1.142397	N
hsa-mir-142	3888	888.327744	N
hsa-mir-143	98710	22553.197420	N
hsa-mir-144	38	8.682216	N
hsa-mir-145	2450	559.774427	N
hsa-mir-1468	37	8.453736	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	59	13.480282	N
hsa-mir-146b	873	199.462479	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	0.685438	N
hsa-mir-148a	519030	118587.641140	N
hsa-mir-148b	722	164.962096	N
hsa-mir-149	76	17.364431	N
hsa-mir-150	1162	265.493014	N
hsa-mir-151a	14858	3394.746300	N
hsa-mir-151b	6	1.370876	N
hsa-mir-152	2067	472.266833	N
hsa-mir-153-1	3	0.685438	N
hsa-mir-153-2	33	7.539819	N
hsa-mir-1537	1	0.228479	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	26	5.940463	N
hsa-mir-155	421	96.189810	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1300	297.023165	N
hsa-mir-15b	1170	267.320849	N
hsa-mir-16-1	1194	272.804353	N
hsa-mir-16-2	1248	285.142239	N
hsa-mir-17	15399	3518.353633	Y
hsa-mir-181a-1	2450	559.774427	N
hsa-mir-181a-2	2519	575.539503	N
hsa-mir-181b-1	289	66.030534	N
hsa-mir-181b-2	278	63.517262	N
hsa-mir-181c	122	27.874482	N
hsa-mir-181d	24	5.483505	N
hsa-mir-182	41893	9571.685741	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	13570	3100.464887	N
hsa-mir-184	7	1.599356	N
hsa-mir-185	320	73.113395	N
hsa-mir-186	771	176.157585	N
hsa-mir-187	1	0.228479	N
hsa-mir-188	26	5.940463	N
hsa-mir-18a	309	70.600122	Y
hsa-mir-18b	11	2.513273	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	4	0.913917	N
hsa-mir-190b	3	0.685438	N
hsa-mir-191	2194	501.283711	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	166	37.927573	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	1	0.228479	N
hsa-mir-192	350058	79981.027074	Y
hsa-mir-193a	4381	1000.968067	N
hsa-mir-193b	1494	341.348161	N
hsa-mir-194-1	50128	11453.213254	N
hsa-mir-194-2	56528	12915.481144	N
hsa-mir-195	42	9.596133	N
hsa-mir-196a-1	1	0.228479	N
hsa-mir-196a-2	0	0.000000	N
hsa-mir-196b	483	110.355530	N
hsa-mir-197	1361	310.960406	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	27	6.168943	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	1287	294.052934	Y
hsa-mir-199a-2	2021	461.756782	Y
hsa-mir-199b	2268	518.191184	Y
hsa-mir-19a	495	113.097282	N
hsa-mir-19b-1	1354	309.361051	N
hsa-mir-19b-2	1156	264.122138	N
hsa-mir-200a	21	4.798067	N
hsa-mir-200b	22	5.026546	N
hsa-mir-200c	60	13.708761	N
hsa-mir-202	10	2.284794	N
hsa-mir-203a	4263	974.007503	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	38	8.682216	N
hsa-mir-205	0	0.000000	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	9897	2261.260205	N
hsa-mir-20b	7	1.599356	N
hsa-mir-21	1563837	357304.473649	N
hsa-mir-210	6308	1441.247790	N
hsa-mir-211	5	1.142397	N
hsa-mir-2110	11	2.513273	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	8	1.827835	N
hsa-mir-2115	3	0.685438	N
hsa-mir-2116	3	0.685438	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	14	3.198711	N
hsa-mir-214	32	7.311339	N
hsa-mir-215	1511	345.232310	Y
hsa-mir-216a	123	28.102961	N
hsa-mir-216b	101	23.076415	N
hsa-mir-217	7039	1608.266200	N
hsa-mir-218-1	18	4.112628	N
hsa-mir-218-2	29	6.625901	N
hsa-mir-219a-1	17	3.884149	N
hsa-mir-219a-2	1	0.228479	N
hsa-mir-219b	2	0.456959	N
hsa-mir-22	476357	108837.741500	N
hsa-mir-221	344	78.596899	N
hsa-mir-222	88	20.106183	N
hsa-mir-223	306	69.914684	N
hsa-mir-224	511	116.752952	N
hsa-mir-2276	1	0.228479	N
hsa-mir-2277	7	1.599356	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	52	11.880927	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	18567	4242.176238	Y
hsa-mir-23b	3666	837.605326	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	3224	736.617450	N
hsa-mir-24-2	3199	730.905466	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	24063	5497.898790	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	4353	994.570645	N
hsa-mir-26a-2	4473	1021.988168	N
hsa-mir-26b	1930	440.965161	N
hsa-mir-27a	6486	1481.917115	Y
hsa-mir-27b	6530	1491.970207	Y
hsa-mir-28	9948	2272.912653	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	30	6.854381	N
hsa-mir-297	0	0.000000	N
