miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	25622	9743.713191	N
hsa-let-7a-2	25534	9710.247936	N
hsa-let-7a-3	25453	9679.444690	N
hsa-let-7b	29566	11243.565069	N
hsa-let-7c	6835	2599.261559	N
hsa-let-7d	3042	1156.833016	N
hsa-let-7e	1927	732.813025	N
hsa-let-7f-1	12373	4705.290895	N
hsa-let-7f-2	12495	4751.685907	N
hsa-let-7g	1948	740.799051	N
hsa-let-7i	1019	387.512440	N
hsa-mir-1-1	5	1.901435	N
hsa-mir-1-2	4	1.521148	N
hsa-mir-100	6502	2472.625992	N
hsa-mir-101-1	21518	8183.015394	N
hsa-mir-101-2	21165	8048.774088	N
hsa-mir-103a-1	36226	13776.276405	Y
hsa-mir-103a-2	36238	13780.839849	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	32	12.169184	Y
hsa-mir-106b	5079	1931.477609	N
hsa-mir-107	475	180.636319	Y
hsa-mir-10a	29885	11364.876618	N
hsa-mir-10b	1936	736.235608	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	372	141.466759	N
hsa-mir-1181	1	0.380287	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.760574	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	73765	28051.869624	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	1.140861	N
hsa-mir-1227	1	0.380287	N
hsa-mir-1228	13	4.943731	N
hsa-mir-1229	9	3.422583	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.380287	N
hsa-mir-1243	1	0.380287	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.380287	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	6	2.281722	N
hsa-mir-1248	3	1.140861	N
hsa-mir-1249	4	1.521148	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	12	4.563444	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
