miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12907	3232.456903	N
hsa-let-7a-2	12863	3221.437448	N
hsa-let-7a-3	13062	3271.275437	N
hsa-let-7b	4663	1167.811772	N
hsa-let-7c	1916	479.847170	N
hsa-let-7d	392	98.173325	N
hsa-let-7e	445	111.446759	N
hsa-let-7f-1	5525	1383.692910	N
hsa-let-7f-2	5602	1402.976956	N
hsa-let-7g	894	223.895287	N
hsa-let-7i	453	113.450296	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	1	0.250442	N
hsa-mir-100	163	40.822071	N
hsa-mir-101-1	14523	3637.171426	N
hsa-mir-101-2	14768	3698.529754	N
hsa-mir-103a-1	127979	32051.336635	Y
hsa-mir-103a-2	128478	32176.307270	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.250442	N
hsa-mir-106a	35	8.765475	Y
hsa-mir-106b	4014	1005.274813	N
hsa-mir-107	922	230.907667	Y
hsa-mir-10a	4148	1038.834062	N
hsa-mir-10b	34524	8646.264981	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.250442	N
hsa-mir-1180	474	118.709582	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	128759	32246.681516	N
hsa-mir-1224	44	11.019455	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	76	19.033604	N
hsa-mir-1227	1	0.250442	N
hsa-mir-1228	26	6.511496	N
hsa-mir-1229	27	6.761938	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.751326	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	6	1.502653	N
hsa-mir-1249	11	2.754864	N
hsa-mir-1250	1	0.250442	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	1.001769	N
hsa-mir-1254-2	3	0.751326	N
